"","year","mnsprt","misprt","mxsprt","mnwint","miwint","mxwint","lat","long"
"1",1951,1.70054344025076,-9.00999979861081,13.1149997068569,-1.40749996853992,-10.9899997543544,9.10499979648739,46.8167,12.8
"2",1952,3.36103253357072,-8.00999982096255,10.609999762848,-3.29115886683422,-14.5999996736646,8.41999981179833,46.8167,12.8
"3",1953,3.67239122226348,-6.50999985449016,14.4499996770173,-2.0069535975252,-16.0499996412545,10.8249997580424,46.8167,12.8
"4",1954,1.98032604269278,-6.12499986309558,10.1449997732416,-1.30407281853382,-12.4699997212738,8.04499982018024,46.8167,12.8
"5",1955,1.25396736327599,-9.23499979358166,11.3999997451901,-3.1317104563166,-18.9649995760992,8.11499981861562,46.8167,12.8
"6",1956,1.50576083590884,-12.7249997155741,13.3549997014925,-1.96407280378167,-14.4399996772408,11.624999740161,46.8167,12.8
"7",1957,2.49505429205728,-8.39499981235713,9.05499979760498,-1.00774832184593,-14.089999685064,9.28499979246408,46.8167,12.8
"8",1958,1.47108692364038,-12.2899997252971,14.5199996754527,-0.961225144077858,-13.034999708645,12.0099997315556,46.8167,12.8
"9",1959,4.37945642385065,-4.34999990276992,11.7749997368082,-1.75990127645261,-17.4049996109679,8.8999998010695,46.8167,12.8
"10",1960,3.26559775309516,-5.44999987818301,12.5849997187033,-1.24178805171407,-10.0399997755885,10.5799997635186,46.8167,12.8
"11",1961,4.00467382353204,-6.67999985069036,10.6199997626245,-1.1302979879809,-14.2249996820465,13.7199996933341,46.8167,12.8
"12",1962,0.640326072644119,-12.4649997213855,11.0399997532368,-3.89148997924358,-18.8049995796755,11.7449997374788,46.8167,12.8
"13",1963,2.79913037221717,-12.9499997105449,12.349999723956,-0.931973663379291,-12.9949997095391,8.31999981403351,46.8167,12.8
"14",1964,3.79228252393153,-7.49999983236194,12.7299997154623,-2.17910591155809,-13.7349996929988,10.1099997740239,46.8167,12.8
"15",1965,1.63244561568591,-9.39999978989363,10.3799997679889,-1.33341056622244,-16.0699996408075,10.9299997556955,46.8167,12.8
"16",1966,3.19211949386796,-7.49999983236194,11.5349997421727,-1.5922185074575,-14.1349996840581,12.8949997117743,46.8167,12.8
"17",1967,2.92826080411349,-4.38999990187585,13.9799996875226,-0.987664451608188,-16.514999630861,12.3049997249618,46.8167,12.8
"18",1968,3.24293471012345,-10.5099997650832,12.5849997187033,-1.4938410262127,-15.6049996512011,11.5899997409433,46.8167,12.8
"19",1969,3.34478253393393,-5.49999987706542,16.1699996385723,-1.91238406321515,-13.1749997055158,9.98499977681786,46.8167,12.8
"20",1970,0.24690216839435,-10.4049997674301,8.67499980609864,-1.09470196228647,-12.6999997161329,11.5749997412786,46.8167,12.8
"21",1971,2.72896733030717,-17.9549995986745,13.3899997007102,-0.183881574837295,-10.4749997658655,10.9499997552484,46.8167,12.8
"22",1972,3.34744557735267,-2.53499994333833,10.6499997619539,-1.29132447444791,-9.1299997959286,8.90999980084598,46.8167,12.8
"23",1973,1.7747282212013,-10.31999976933,12.8049997137859,-0.484999989159406,-14.9299996662885,10.5649997638538,46.8167,12.8
"24",1974,2.96298906420681,-5.26499988231808,10.3049997696653,-1.45096023246917,-8.34499981347471,5.77499987091869,46.8167,12.8
"25",1975,2.6954890701859,-6.08499986398965,13.344999701716,-1.11003286992567,-12.8749997122213,13.2699997033924,46.8167,12.8
"26",1976,2.49489124858266,-10.1499997731298,11.6699997391552,-1.10341057136334,-11.9999997317791,12.349999723956,46.8167,12.8
"27",1977,3.14798906007174,-6.93499984499067,10.6949997609481,-1.20417215851512,-10.9149997560307,10.0749997748062,46.8167,12.8
"28",1978,1.84179343709358,-5.51499987673014,8.01499982085079,-1.57943705078955,-15.9299996439368,10.3349997689947,46.8167,12.8
"29",1979,2.16130429951717,-10.0549997752532,14.5649996744469,-1.6940460147667,-14.8899996671826,9.95999977737665,46.8167,12.8
"30",1980,1.26820649339251,-6.24499986041337,7.37999983504415,-3.33314562086263,-15.6849996494129,8.72499980498105,46.8167,12.8
"31",1981,4.06489121349043,-8.85499980207533,12.9399997107685,-2.09288074792246,-13.8449996905401,10.4049997674301,46.8167,12.8
"32",1982,1.88076082752694,-5.50499987695366,11.4749997435138,-0.664536408987513,-11.7749997368082,9.82999978028238,46.8167,12.8
"33",1983,3.53820644265405,-4.33999990299344,11.2299997489899,-1.86282890573095,-11.5699997413903,12.8249997133389,46.8167,12.8
"34",1984,0.608206508144655,-9.58499978575855,8.95999979972839,-1.61350989771008,-20.2899995464832,8.7549998043105,46.8167,12.8
"35",1985,2.23282603704897,-6.94499984476715,12.0249997312203,-2.49821186469041,-16.4249996328726,13.0599997080863,46.8167,12.8
"36",1986,3.52874992112629,-9.36999979056418,15.2899996582419,-1.40735096192074,-16.9899996202439,11.9799997322261,46.8167,12.8
"37",1987,0.700652158252246,-13.2499997038394,9.88999977894127,-0.12585526034481,-8.22499981615692,10.8199997581542,46.8167,12.8
"38",1988,2.95277167313084,-8.31499981414527,12.2449997263029,0.521423829404871,-12.8599997125566,11.8999997340143,46.8167,12.8
"39",1989,4.12722816861882,-4.33999990299344,10.049999775365,0.299503304563857,-8.70999980531633,9.97999977692962,46.8167,12.8
"40",1990,4.06304338744477,-5.51999987661839,11.5449997419491,-1.95456949273581,-13.3199997022748,11.479999743402,46.8167,12.8
"41",1991,2.24891299321114,-5.97999986633658,9.21999979391694,-1.39046049523657,-10.3549997685477,10.5349997645244,46.8167,12.8
"42",1992,3.30005427406413,-4.06499990914017,11.4549997439608,-0.817218524780099,-14.899999666959,8.72999980486929,46.8167,12.8
"43",1993,3.60315209337632,-10.464999766089,14.7149996710941,-1.10417216075029,-11.3899997454137,10.8199997581542,46.8167,12.8
"44",1994,3.98994556299168,-4.164999906905,12.0999997295439,-0.145827811310031,-12.7299997154623,12.889999711886,46.8167,12.8
"45",1995,2.30005429641587,-7.47499983292073,13.4149997001514,-0.870328927915053,-11.2699997480959,11.8749997345731,46.8167,12.8
"46",1996,2.93353254312609,-10.2349997712299,11.7749997368082,-0.142847678926311,-15.0149996643886,9.65999978408217,46.8167,12.8
"47",1997,3.34157601226647,-5.5699998755008,12.929999710992,0.245298007762196,-8.33499981369823,12.2749997256324,46.8167,12.8
"48",1998,3.02722819320574,-8.04999982006848,13.1299997065216,-2.08970194004649,-13.3949997005984,8.82499980274588,46.8167,12.8
"49",1999,4.08103251747746,-5.86499986890703,13.9899996872991,-1.60157891157034,-14.5899996738881,9.79999978095293,46.8167,12.8
"50",2000,4.4413042485552,-6.1149998633191,12.4249997222796,0.286754960477944,-9.17499979492277,11.8399997353554,46.8167,12.8
"51",2001,4.18532599340719,-6.96499984432012,16.2499996367842,-0.314072840662044,-14.0399996861815,12.6599997170269,46.8167,12.8
"52",2002,4.35695642435357,-4.63999989628792,13.4549996992573,-0.942384084896339,-11.6999997384846,8.68499980587512,46.8167,12.8
"53",2003,4.48048903028805,-9.17999979481101,15.3249996574596,-1.1980262890115,-12.8249997133389,11.5699997413903,46.8167,12.8
"54",2004,2.58108689882995,-10.1349997734651,11.5399997420609,-1.13715229246346,-12.7199997156858,11.9599997326732,46.8167,12.8
"55",2005,3.64798904889587,-14.4599996767938,16.9249996216968,-1.79506618504271,-12.22499972675,10.1199997738004,46.8167,12.8
