person_checking,datasetID,study,Entered.By,fig.table,n,resp_error,error.type
Ailene,falusi03,exp1,TS,fig 1,,,
Dan,falusi90,exp1,TS,fig 1,,,
Dan,falusi90,exp1,TS,Table 2,,,
Cat,falusi96,exp3,TS,fig4,,,
Nacho,basler12,exp1,TS,fig3,,4.34,SD
Nacho,basler12,exp1,TS,fig4,,31.408,SD
Tim,basler14,exp1,TS,fig 2,,,
Tim,basler14,exp1,TS,fig 4,,,
Ailene,caffarra11a,exp3,TS,fig 1,,10.524,SE
Ailene,caffarra11a,exp2,TS,fig 3,,1.157,SE
Dan,caffarra11b,exp2,TS,table 3,,,SE
Cat,ghelardini10,exp1,TS,fig 2,,,
Cat,ghelardini10,exp2,TS,fig 4,,,
Nacho,laube14a,exp1,TS,fig 2,,,
Nacho,laube14b,exp1,DF,Fig. 1,,,
Tim,myking95,exp1,TS,fig 2,,,
Tim,myking95,exp1,TS,fig 4,,,
Ailene,myking97,exp1,EF,fig1,,0.52,SE
Dan,myking98,exp1,EW,"fig3 -- did not take last point for each species (date of field budbreak) as very tricky to estimate well; monthly mean, max, min temps given in Table 1 if needed. Elevation taken from Heide 1993a paper.",,0.971,SE
Cat,partanen01,exp1,JAS,Table 1,,,
Nacho,worrall67,exp 3,TS,fig 5,,,
Nacho,worrall67,exp 3,TS,fig 4,,,
Nacho,worrall67,exp 4,TS,fig 7,,,
Ailene,falusi97,exp2,EF,fig2,15,,
Ailene,falusi97,exp1,EF,fig1,8,,
Tim,heide93,exp1,TLS,fig2,5,,
Tim,heide93,exp2,TLS,fig2,5,,
Dan,li05,exp1,EF,,5,"cant see bars, very small",SE
Cat,rinne94,exp1,JAS,Figure2A,12 to 16,,
Cat,rinne94,exp1,JAS,Figure2B,12 to 16,,
Ailene,Sanz-Perez09,exp1,AE,fig 1,50,,
Tim,calme94,exp1,TS,fig 5,15,,
Ailene,campbell75,exp3,EW,fig5,5,,
Dan,heide93,exp3,TLS,fig5,5,,
Cat,heide93a,exp1,EW,table1,15,,
Cat,heide93a,exp3,EW,fig2,15,,
Nacho,partanen98,exp1,JAS,Table 1,90,,
Nacho,partanen98,exp2,JAS,Table 2,97,,
Nacho,partanen98,exp3,JAS,Table 3,97,,
Ailene,skuterud94,exp1,TLS,fig4,12,,
Ailene,skuterud94,exp1,AE,fig3,12,,
Ailene,skuterud94,exp1,TLS,fig5,48,,
Ailene,thielges75,exp1,AE,fig1,230,,
Tim,webb78,exp2,TS,fig 1,12,,
Tim,webb78,exp1,TS,fig 1,12,,
Dan,zohner16,Exp1,DB,,8,,
