"","sprtemp.0","sprtemp.1","sprtemp.2","sprtemp.3","sprtemp.4","sprtemp.5","sprtemp.6","sprtemp.7","sprtemp.8","sprtemp.9","sprtemp.10","sprtemp.11","sprtemp.12","sprtemp.13","sprtemp.14","sprtemp.15","sprtemp.16","sprtemp.17","sprtemp.18","sprtemp.19","sprtemp.20","sprtemp.21","sprtemp.22","sprtemp.23","sprtemp.24","sprtemp.25","sprtemp.26","sprtemp.27","sprtemp.28","sprtemp.29","sprtemp.30","sprtemp.31","sprtemp.32"
"wintemp.0",60.7014593539032,59.8469112498488,58.9923631457943,58.1378150417399,57.2832669376854,56.428718833631,55.5741707295765,54.719622625522,53.8650745214676,53.0105264174131,52.1559783133587,51.3014302093042,50.4468821052497,49.5923340011953,48.7377858971408,47.8832377930864,47.0286896890319,46.1741415849775,45.319593480923,44.4650453768686,43.6104972728141,42.7559491687596,41.9014010647052,41.0468529606507,40.1923048565963,39.3377567525418,38.4832086484873,37.6286605444329,36.7741124403784,35.919564336324,35.0650162322695,34.2104681282151,33.3559200241606
"wintemp.1",56.1790626477682,55.3245145437138,54.4699664396593,53.6154183356049,52.7608702315504,51.906322127496,51.0517740234415,50.1972259193871,49.3426778153326,48.4881297112781,47.6335816072237,46.7790335031692,45.9244853991148,45.0699372950603,44.2153891910058,43.3608410869514,42.5062929828969,41.6517448788425,40.797196774788,39.9426486707336,39.0881005666791,38.2335524626247,37.3790043585702,36.5244562545157,35.6699081504613,34.8153600464068,33.9608119423524,33.1062638382979,32.2517157342434,31.397167630189,30.5426195261345,29.6880714220801,28.8335233180256
"wintemp.2",51.5209678856142,50.6664197815597,49.8118716775052,48.9573235734508,48.1027754693963,47.2482273653419,46.3936792612874,45.539131157233,44.6845830531785,43.830034949124,42.9754868450696,42.1209387410151,41.2663906369607,40.4118425329062,39.5572944288518,38.7027463247973,37.8481982207428,36.9936501166884,36.1391020126339,35.2845539085795,34.430005804525,33.5754577004706,32.7209095964161,31.8663614923616,31.0118133883072,30.1572652842527,29.3027171801983,28.4481690761438,27.5936209720894,26.7390728680349,25.8845247639804,25.029976659926,24.1754285558715
"wintemp.3",51.105376217859,50.2508281138046,49.3962800097501,48.5417319056957,47.6871838016412,46.8326356975868,45.9780875935323,45.1235394894778,44.2689913854234,43.4144432813689,42.5598951773145,41.70534707326,40.8507989692055,39.9962508651511,39.1417027610966,38.2871546570422,37.4326065529877,36.5780584489333,35.7235103448788,34.8689622408244,34.0144141367699,33.1598660327154,32.305317928661,31.4507698246065,30.5962217205521,29.7416736164976,28.8871255124432,28.0325774083887,27.1780293043342,26.3234812002798,25.4689330962253,24.6143849921709,23.7598368881164
"wintemp.4",49.995384867777,49.1408367637225,48.286288659668,47.4317405556136,46.5771924515591,45.7226443475047,44.8680962434502,44.0135481393958,43.1590000353413,42.3044519312868,41.4499038272324,40.5953557231779,39.7408076191235,38.886259515069,38.0317114110146,37.1771633069601,36.3226152029056,35.4680670988512,34.6135189947967,33.7589708907423,32.9044227866878,32.0498746826334,31.1953265785789,30.3407784745244,29.48623037047,28.6316822664155,27.7771341623611,26.9225860583066,26.0680379542522,25.2134898501977,24.3589417461432,23.5043936420888,22.6498455380343
"wintemp.5",48.8390645212994,47.9845164172449,47.1299683131905,46.275420209136,45.4208721050815,44.5663240010271,43.7117758969726,42.8572277929182,42.0026796888637,41.1481315848093,40.2935834807548,39.4390353767003,38.5844872726459,37.7299391685914,36.875391064537,36.0208429604825,35.1662948564281,34.3117467523736,33.4571986483191,32.6026505442647,31.7481024402102,30.8935543361558,30.0390062321013,29.1844581280469,28.3299100239924,27.4753619199379,26.6208138158835,25.766265711829,24.9117176077746,24.0571695037201,23.2026213996657,22.3480732956112,21.4935251915567
"wintemp.6",48.2390361092501,47.3844880051956,46.5299399011412,45.6753917970867,44.8208436930323,43.9662955889778,43.1117474849233,42.2571993808689,41.4026512768144,40.54810317276,39.6935550687055,38.8390069646511,37.9844588605966,37.1299107565421,36.2753626524877,35.4208145484332,34.5662664443788,33.7117183403243,32.8571702362699,32.0026221322154,31.1480740281609,30.2935259241065,29.438977820052,28.5844297159976,27.7298816119431,26.8753335078887,26.0207854038342,25.1662372997797,24.3116891957253,23.4571410916708,22.6025929876164,21.7480448835619,20.8934967795075
"wintemp.7",47.965136230694,47.1105881266396,46.2560400225851,45.4014919185307,44.5469438144762,43.6923957104218,42.8378476063673,41.9832995023128,41.1287513982584,40.2742032942039,39.4196551901495,38.565107086095,37.7105589820406,36.8560108779861,36.0014627739316,35.1469146698772,34.2923665658227,33.4378184617683,32.5832703577138,31.7287222536594,30.8741741496049,30.0196260455504,29.165077941496,28.3105298374415,27.4559817333871,26.6014336293326,25.7468855252782,24.8923374212237,24.0377893171692,23.1832412131148,22.3286931090603,21.4741450050059,20.6195969009514
"wintemp.8",48.154984025953,47.3004359218985,46.4458878178441,45.5913397137896,44.7367916097351,43.8822435056807,43.0276954016262,42.1731472975718,41.3185991935173,40.4640510894629,39.6095029854084,38.754954881354,37.9004067772995,37.045858673245,36.1913105691906,35.3367624651361,34.4822143610817,33.6276662570272,32.7731181529727,31.9185700489183,31.0640219448638,30.2094738408094,29.3549257367549,28.5003776327005,27.645829528646,26.7912814245916,25.9367333205371,25.0821852164826,24.2276371124282,23.3730890083737,22.5185409043193,21.6639928002648,20.8094446962104
"wintemp.9",48.3472360749414,47.492687970887,46.6381398668325,45.783591762778,44.9290436587236,44.0744955546691,43.2199474506147,42.3653993465602,41.5108512425058,40.6563031384513,39.8017550343968,38.9472069303424,38.0926588262879,37.2381107222335,36.383562618179,35.5290145141246,34.6744664100701,33.8199183060156,32.9653702019612,32.1108220979067,31.2562739938523,30.4017258897978,29.5471777857434,28.6926296816889,27.8380815776344,26.98353347358,26.1289853695255,25.2744372654711,24.4198891614166,23.5653410573622,22.7107929533077,21.8562448492532,21.0016967451988
"wintemp.10",49.2117416200723,48.3571935160179,47.5026454119634,46.6480973079089,45.7935492038545,44.9390010998,44.0844529957456,43.2299048916911,42.3753567876367,41.5208086835822,40.6662605795277,39.8117124754733,38.9571643714188,38.1026162673644,37.2480681633099,36.3935200592555,35.538971955201,34.6844238511465,33.8298757470921,32.9753276430376,32.1207795389832,31.2662314349287,30.4116833308743,29.5571352268198,28.7025871227653,27.8480390187109,26.9934909146564,26.138942810602,25.2843947065475,24.4298466024931,23.5752984984386,22.7207503943841,21.8662022903297
"wintemp.11",50.1165977218574,49.2620496178029,48.4075015137485,47.552953409694,46.6984053056395,45.8438572015851,44.9893090975306,44.1347609934762,43.2802128894217,42.4256647853673,41.5711166813128,40.7165685772583,39.8620204732039,39.0074723691494,38.152924265095,37.2983761610405,36.4438280569861,35.5892799529316,34.7347318488771,33.8801837448227,33.0256356407682,32.1710875367138,31.3165394326593,30.4619913286049,29.6074432245504,28.7528951204959,27.8983470164415,27.043798912387,26.1892508083326,25.3347027042781,24.4801546002237,23.6256064961692,22.7710583921147
"wintemp.12",52.1391160007098,51.2845678966554,50.4300197926009,49.5754716885465,48.720923584492,47.8663754804375,47.0118273763831,46.1572792723286,45.3027311682742,44.4481830642197,43.5936349601653,42.7390868561108,41.8845387520563,41.0299906480019,40.1754425439474,39.320894439893,38.4663463358385,37.6117982317841,36.7572501277296,35.9027020236751,35.0481539196207,34.1936058155662,33.3390577115118,32.4845096074573,31.6299615034029,30.7754133993484,29.9208652952939,29.0663171912395,28.211769087185,27.3572209831306,26.5026728790761,25.6481247750217,24.7935766709672
"wintemp.13",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
