,now_ni,now_wi,jul_ni,jul_wi,jun_ni,jun_wi
a_sp,76,81,74,74,72,94
mu_b_force,-1.6,-1.5,-1.4,-1.1,-1.1,-1.9
mu_b_photo,-0.2,-0.2,-0.3,0.3,-0.6,-1.2
mu_b_chill,-2.6,-4.6,-2.5,-5,-2.8,-6.8
cf,,0.05,,0.1,,0.1
cp,,0.07,,0.1,,0.1
fp,,-0.03,,-0.06,,0.002
nrow,2253,2253,2061,2061,1899,1899
unique_sp,41,41,39,39,36,36
