paper,assignee,strength_utah,weak_utah,thresh_utah,strength_chillport,weak_chillport,thresh_chill,species,test_utah_cp,other_notes
Anderson1992,Ailene,,,,,,,,,
Harrington,Ailene,,,,,,,,,
Luedeling2015,Ailene,,,,,,,,,
Darbyshire2016,Cat,,,,,,,,,
Harrington2010,Cat,,,,,,,,,
Luedeling2013,Cat,,,,,,,,,
Fu2012,Dan,,,,,,,,,
Luedeling2011,Dan,,,,,,,,,
Maulion2014,Dan,,,,,,,,,
Fu2014,Lizzie,,,,,,,,,
Luedeling2009,Lizzie,,,,,,,,,
Okie2011 ,Lizzie,,,,,,,,,
Gould2015,Nacho,,,,,,,,,
Luedeling2011,Nacho,,,,,,,,,
