datasetID,study,genus,species,cultivar code,varetc,population,material,temp_day,temp_night,temp_transfer,daylength_initial,increased by site characteristics,photoperiod_day,photoperiod_night,fieldchill temp,fieldchill days,number.longdays,irradiance,irradiance units,respvar,ADDED TO DETAILED
basler14,,,,,,,cuttings,9,6,,9.2,,,,,,,,,,Not yet
basler14,,,,,,,cuttings,9,6,,10.8,,,,,,,,,,Not yet
basler14,,,,,,,cuttings,21,21,,16,,,,,,,,,,Not yet
murray89,,,,,,,woody spp 2-years old from seed or cutting,20,15,,,,17,7,,,,,,,Not yet
besford96,,,,,,,"cuttings, seedlings",18,13,,,,16,8,4,98,,250,_mol m_2 s_1 ,,Not yet
besford96,,,,,,,"cuttings, seedlings",16,11,,,,14,10,4,98,,250,_mol m_2 s_1 ,,Not yet
besford96,,,,,,,"cuttings, seedlings",16,11,,,,16,8,4,98,,250,_mol m_2 s_1 ,,Not yet
besford96,,,,,,,"cuttings, seedlings",16,11,,,,12,12,4,98,,250,_mol m_2 s_1 ,,Not yet
blackman11,,,,,,,seedlings,25.5,25.5,,,,8,16,,,,,,,Not yet
blackman11,,,,,,,seedlings,25.5,25.5,,,,12,12,,,,,,,Not yet
blackman11,,,,,,,seedlings,25.5,25.5,,,,16,8,,,,,,,Not yet
cafferra11,,,,,,,cuttings,24,24,,,,16,8,,,,250,_mol m_2 s_1 ,,Not yet
cafferra11,,,,,,,cuttings,24,24,,,,16,8,,,,75,_mol m_2 s_1 ,,Not yet
cafferra11,,,,,,,cuttings,6,6,,,,16,8,3,16,,,,,Not yet
cafferra11,,,,,,,cuttings,12,12,,,,16,8,3,16,,,,,Not yet
cafferra11,,,,,,,cuttings,18,18,,,,16,8,3,16,,,,,Not yet
cafferra11,,,,,,,cuttings,24,24,,,,16,8,3,16,,,,,Not yet
cafferra11,,,,,,,cuttings,32,32,,,,16,8,3,16,,,,,Not yet
cafferra11,,,,,,,cuttings,-3,-3,,,,16,8,3,16,,,,,Not yet
dantec14,,,,,,,cuttings,25,25,,,,16,8,,,,230,_mol m_2 s_1 ,,Not yet
partanen98,,,,,,,cuttings,10,10,,,increasing (astronomically/naturally) photoperiod day length,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,15,5,,,increasing (astronomically/naturally) photoperiod day length,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,20,10,,,increasing (astronomically/naturally) photoperiod day length,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,10,10,,,constant,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,15,5,,,constant,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,20,10,,,constant,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,10,10,,,decreasing photoperiod day length 10 min/day,12,12,,,,,,,Not yet
partanen98,,,,,,,cuttings,15,5,,,decreasing photoperiod day length 10 min/day,12,12,,,,,,,Not yet
partanen98,,,,,,,cuttings,20,10,,,decreasing photoperiod day length 10 min/day,12,12,,,,,,,Not yet
partanen98,,,,,,,cuttings,10,10,,,increasing photoperiod day length 10 min/day,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,15,5,,,increasing photoperiod day length 10 min/day,6,18,,,,,,,Not yet
partanen98,,,,,,,cuttings,20,10,,,increasing photoperiod day length 10 min/day,6,18,,,,,,,Not yet
viheraaarno06,,,,,,,seedlings,18,18,,,Night length ranged from 5-8.5,16,8,,,,,,,Not yet
viheraaarno06,,,,,,,seedlings,18,18,,,Night length ranged from 1-4.5,20,4,,,,,,,Not yet
devries82,,,,,,,seedlings,16,16,,,,,,,,,8,Wm_2,,Done
devries82,,,,,,,seedlings,16,16,,,,,,,,,8,Wm_2,,Done
devries82,,,,,,,seedlings,16,16,,,,,,,,,8,Wm_2,,Done
devries82,,,,,,,seedlings,20,20,,,,,,,,,16,Wm_2,,Done
devries82,,,,,,,seedlings,20,20,,,,,,,,,16,Wm_2,,Done
devries82,,,,,,,seedlings,20,20,,,,,,,,,16,Wm_2,,Done
