"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"167","11b9Soil","11b9","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US25","USA--Walden","USA",1,"20.7_30","PLAMAJ_US25"
"168","11c10Soil","11c10","Soil",NA,NA,NA,"PLAMAJ",30,20.7,"US205","USA--Arnold Arboretum ","USA",0,"20.7_30","PLAMAJ_US205"
"169","11c11Soil","11c11","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"20.7_30","PLAMAJ_EU01"
"171","11c1Soil","11c1","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU22","Europe--Copenhagen, Denmark","Europe",0,"20.7_30","PLALAN_EU22"
"173","11c2Soil","11c2","Soil",2015-12-01,335,8,"PLALAN",30,20.7,"EU38","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"20.7_30","PLALAN_EU38"
"175","11c3Soil","11c3","Soil",2015-12-13,347,20,"PLALAN",30,20.7,"EU22","Europe--Copenhagen, Denmark","Europe",1,"20.7_30","PLALAN_EU22"
"177","11c4Soil","11c4","Soil",2015-11-27,331,4,"PLALAN",30,20.7,"EU46","Europe--Podhom, Slovenia","Europe",1,"20.7_30","PLALAN_EU46"
"179","11c5Soil","11c5","Soil",2015-12-23,357,30,"CHEMAJ",30,20.7,"EU29","Europe--Grenoble, France","Europe",1,"20.7_30","CHEMAJ_EU29"
"181","11c6Soil","11c6","Soil",2015-12-03,337,10,"RUMCRI",30,20.7,"EU03","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU03"
"183","11c7Soil","11c7","Soil",2015-12-05,339,12,"RUMCRI",30,20.7,"EU05","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU05"
"184","11c8Soil","11c8","Soil",2015-12-03,337,10,"TAROFF",30,20.7,"EU11","Europe--Arna, Norway","Europe",1,"20.7_30","TAROFF_EU11"
"185","11c9Soil","11c9","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US25","USA--Walden","USA",1,"20.7_30","PLAMAJ_US25"
"186","11d10Soil","11d10","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US205","USA--Arnold Arboretum ","USA",1,"20.7_30","PLAMAJ_US205"
"187","11d11Soil","11d11","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"20.7_30","PLAMAJ_EU01"
"189","11d1Soil","11d1","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU28","Europe--Zell Am See, Austria","Europe",0,"20.7_30","PLALAN_EU28"
"191","11d2Soil","11d2","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU39","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"20.7_30","PLALAN_EU39"
"193","11d3Soil","11d3","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU22","Europe--Copenhagen, Denmark","Europe",1,"20.7_30","PLALAN_EU22"
"194","11d4Soil","11d4","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU49","Europe--Podhom, Slovenia","Europe",1,"20.7_30","PLALAN_EU49"
"196","11d5Soil","11d5","Soil",NA,NA,NA,"CHEMAJ",30,20.7,"EU29","Europe--Grenoble, France","Europe",0,"20.7_30","CHEMAJ_EU29"
"198","11d6Soil","11d6","Soil",2015-12-03,337,10,"RUMCRI",30,20.7,"EU03","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU03"
"200","11d7Soil","11d7","Soil",2015-12-05,339,12,"TAROFF",30,20.7,"EU01","Europe--Grenoble, France","Europe",1,"20.7_30","TAROFF_EU01"
"201","11d8Soil","11d8","Soil",2015-12-03,337,10,"TAROFF",30,20.7,"EU11","Europe--Arna, Norway","Europe",1,"20.7_30","TAROFF_EU11"
"202","11d9Soil","11d9","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US25","USA--Walden","USA",1,"20.7_30","PLAMAJ_US25"
"203","11e10Soil","11e10","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US205","USA--Arnold Arboretum ","USA",1,"20.7_30","PLAMAJ_US205"
"205","11e1Soil","11e1","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU29","Europe--Zell Am See, Austria","Europe",0,"20.7_30","PLALAN_EU29"
"211","11e2Soil","11e2","Soil",2015-11-27,331,4,"PLALAN",30,20.7,"EU40","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"20.7_30","PLALAN_EU40"
