daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
NA,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
6,DACGLO,30,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
6,CAPBUR,30,16,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
NA,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,0,PLALAN_EU60
6,PLALAN,30,16,EU61,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU61
8,PLALAN,30,16,EU73,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU73
6,PLALAN,30,16,EU78,"Europe--Grenoble, France",Europe,1,PLALAN_EU78
18,CHEMAJ,30,16,US06,USA--Walden,USA,1,CHEMAJ_US06
18,CHEMAJ,30,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,30,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
NA,TAROFF,30,16,US02,USA--Harvard Forest,USA,0,TAROFF_US02
18,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,30,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,CAPBUR,30,16,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
NA,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,0,PLALAN_EU60
NA,PLALAN,30,16,EU61,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU61
8,PLALAN,30,16,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
NA,PLALAN,30,16,EU79,"Europe--Grenoble, France",Europe,0,PLALAN_EU79
18,CHEMAJ,30,16,US06,USA--Walden,USA,1,CHEMAJ_US06
8,RUMCRI,30,16,US01,USA--Walden,USA,1,RUMCRI_US01
6,RUMCRI,30,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
NA,TAROFF,30,16,US02,USA--Harvard Forest,USA,0,TAROFF_US02
6,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,CAPBUR,30,16,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
6,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
8,PLALAN,30,16,EU62,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU62
6,PLALAN,30,16,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
10,PLALAN,30,16,EU80,"Europe--Grenoble, France",Europe,1,PLALAN_EU80
18,CHEMAJ,30,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,30,16,US01,USA--Walden,USA,1,RUMCRI_US01
NA,RUMCRI,30,16,US24,USA--Arnold Arboretum ,USA,0,RUMCRI_US24
4,TAROFF,30,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
8,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,16,EU63,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU63
6,PLALAN,30,16,EU75,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU75
21,CHEMAJ,30,16,US06,USA--Walden,USA,1,CHEMAJ_US06
16,CHEMAJ,30,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,30,16,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,30,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,30,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
6,DACGLO,30,20.7,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
4,CAPBUR,30,20.7,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
4,PLALAN,30,20.7,EU54,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU54
4,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
4,PLALAN,30,20.7,EU64,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU64
8,PLALAN,30,20.7,EU76,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU76
NA,CHEMAJ,30,20.7,US06,USA--Walden,USA,0,CHEMAJ_US06
12,CHEMAJ,30,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,30,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
6,RUMCRI,30,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
NA,TAROFF,30,20.7,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,20.7,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
4,CAPBUR,30,20.7,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
4,PLALAN,30,20.7,EU57,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU57
4,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,20.7,EU70,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU70
4,PLALAN,30,20.7,EU77,"Europe--Grenoble, France",Europe,1,PLALAN_EU77
12,CHEMAJ,30,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
39,CHEMAJ,30,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
10,TAROFF,30,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,CAPBUR,30,20.7,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
4,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
4,PLALAN,30,20.7,EU61,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU61
4,PLALAN,30,20.7,EU73,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU73
4,PLALAN,30,20.7,EU78,"Europe--Grenoble, France",Europe,1,PLALAN_EU78
49,CHEMAJ,30,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
12,CHEMAJ,30,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
4,RUMCRI,30,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,30,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,CAPBUR,30,20.7,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
4,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
4,PLALAN,30,20.7,EU61,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU61
4,PLALAN,30,20.7,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
8,PLALAN,30,20.7,EU79,"Europe--Grenoble, France",Europe,1,PLALAN_EU79
49,CHEMAJ,30,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
10,RUMCRI,30,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
4,RUMCRI,30,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,30,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,TAROFF,30,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,CAPBUR,30,20.7,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
12,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
4,PLALAN,30,20.7,EU62,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU62
4,PLALAN,30,20.7,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
14,PLALAN,30,20.7,EU80,"Europe--Grenoble, France",Europe,1,PLALAN_EU80
12,CHEMAJ,30,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
4,RUMCRI,30,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,PLALAN,30,20.7,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,20.7,EU63,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU63
13,PLALAN,30,20.7,EU75,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU75
12,CHEMAJ,30,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
12,CHEMAJ,30,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
4,RUMCRI,30,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,30,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,30,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,25.3,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
4,CAPBUR,30,25.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
39,PLALAN,30,25.3,EU54,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU54
8,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
4,PLALAN,30,25.3,EU64,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU64
6,PLALAN,30,25.3,EU76,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU76
30,CHEMAJ,30,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
16,CHEMAJ,30,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
8,RUMCRI,30,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,25.3,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
6,CAPBUR,30,25.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
12,PLALAN,30,25.3,EU57,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU57
4,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,25.3,EU70,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU70
4,PLALAN,30,25.3,EU77,"Europe--Grenoble, France",Europe,1,PLALAN_EU77
NA,CHEMAJ,30,25.3,US06,USA--Walden,USA,0,CHEMAJ_US06
NA,CHEMAJ,30,25.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
6,RUMCRI,30,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
NA,TAROFF,30,25.3,US02,USA--Harvard Forest,USA,0,TAROFF_US02
8,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,DACGLO,30,25.3,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
6,CAPBUR,30,25.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
NA,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,0,PLALAN_EU60
6,PLALAN,30,25.3,EU61,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU61
NA,PLALAN,30,25.3,EU73,"Europe--Le Tretien, Switzerland",Europe,0,PLALAN_EU73
6,PLALAN,30,25.3,EU78,"Europe--Grenoble, France",Europe,1,PLALAN_EU78
16,CHEMAJ,30,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
14,CHEMAJ,30,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
8,TAROFF,30,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
8,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,CAPBUR,30,25.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
22,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
6,PLALAN,30,25.3,EU61,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU61
4,PLALAN,30,25.3,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
4,PLALAN,30,25.3,EU79,"Europe--Grenoble, France",Europe,1,PLALAN_EU79
4,CHEMAJ,30,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
6,RUMCRI,30,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
NA,RUMCRI,30,25.3,US24,USA--Arnold Arboretum ,USA,0,RUMCRI_US24
8,TAROFF,30,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,CAPBUR,30,25.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
NA,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,0,PLALAN_EU60
6,PLALAN,30,25.3,EU62,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU62
4,PLALAN,30,25.3,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
6,PLALAN,30,25.3,EU80,"Europe--Grenoble, France",Europe,1,PLALAN_EU80
14,CHEMAJ,30,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,30,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,30,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
12,TAROFF,30,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,30,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
67,PLALAN,30,25.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,25.3,EU63,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU63
4,PLALAN,30,25.3,EU75,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU75
12,CHEMAJ,30,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
18,CHEMAJ,30,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,30,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,30,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
10,TAROFF,30,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,30,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
8,TAROFF,60,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,TAROFF,60,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
18,DACGLO,60,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,11.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,11.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
49,CHEMAJ,60,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
NA,CHEMAJ,60,11.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
14,RUMCRI,60,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,TAROFF,60,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
8,DACGLO,60,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,11.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,11.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
49,CHEMAJ,60,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
12,RUMCRI,60,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,60,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
8,TAROFF,60,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
NA,CAPBUR,60,11.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,11.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
NA,CHEMAJ,60,11.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
NA,RUMCRI,60,11.3,US01,USA--Walden,USA,0,RUMCRI_US01
14,RUMCRI,60,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
NA,DACGLO,60,11.3,US01,USA--Harvard Forest,USA,0,DACGLO_US01
NA,CAPBUR,60,11.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,11.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
NA,CHEMAJ,60,11.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
10,RUMCRI,60,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,60,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
10,TAROFF,60,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
NA,DACGLO,60,11.3,US01,USA--Harvard Forest,USA,0,DACGLO_US01
NA,CAPBUR,60,11.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
49,CHEMAJ,60,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
NA,CHEMAJ,60,11.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
10,RUMCRI,60,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,60,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
12,TAROFF,60,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
8,DACGLO,60,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,11.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
49,CHEMAJ,60,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
49,CHEMAJ,60,11.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
18,RUMCRI,60,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
6,TAROFF,60,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,TAROFF,60,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
NA,TAROFF,60,16,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
4,DACGLO,60,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,16,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
33,CAPBUR,60,16,US02,USA--Harvard Forest,USA,1,CAPBUR_US02
16,CHEMAJ,60,16,US06,USA--Walden,USA,1,CHEMAJ_US06
36,CHEMAJ,60,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
NA,RUMCRI,60,16,US24,USA--Arnold Arboretum ,USA,0,RUMCRI_US24
4,TAROFF,60,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,TAROFF,60,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,60,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
14,CAPBUR,60,16,US01,USA--Harvard Forest,USA,1,CAPBUR_US01
22,CAPBUR,60,16,US02,USA--Harvard Forest,USA,1,CAPBUR_US02
20,CHEMAJ,60,16,US06,USA--Walden,USA,1,CHEMAJ_US06
14,RUMCRI,60,16,US01,USA--Walden,USA,1,RUMCRI_US01
24,RUMCRI,60,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,60,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,TAROFF,60,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
NA,CAPBUR,60,16,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,16,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
18,CHEMAJ,60,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
20,RUMCRI,60,16,US01,USA--Walden,USA,1,RUMCRI_US01
8,RUMCRI,60,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
10,TAROFF,60,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,60,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,16,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,16,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
16,CHEMAJ,60,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,60,16,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,60,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
NA,TAROFF,60,16,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
4,DACGLO,60,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,16,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
18,CHEMAJ,60,16,US06,USA--Walden,USA,1,CHEMAJ_US06
NA,CHEMAJ,60,16,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
10,RUMCRI,60,16,US01,USA--Walden,USA,1,RUMCRI_US01
NA,RUMCRI,60,16,US24,USA--Arnold Arboretum ,USA,0,RUMCRI_US24
8,TAROFF,60,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,60,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,16,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
18,CHEMAJ,60,16,US06,USA--Walden,USA,1,CHEMAJ_US06
18,CHEMAJ,60,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,60,16,US01,USA--Walden,USA,1,RUMCRI_US01
6,TAROFF,60,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,TAROFF,60,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,TAROFF,60,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
4,CAPBUR,60,20.7,US01,USA--Harvard Forest,USA,1,CAPBUR_US01
NA,CAPBUR,60,20.7,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
18,CHEMAJ,60,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
12,CHEMAJ,60,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,60,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,TAROFF,60,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
18,DACGLO,60,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,20.7,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
12,CAPBUR,60,20.7,US02,USA--Harvard Forest,USA,1,CAPBUR_US02
18,CHEMAJ,60,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
6,RUMCRI,60,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
8,RUMCRI,60,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,60,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
NA,TAROFF,60,20.7,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
NA,CAPBUR,60,20.7,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,20.7,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
16,CHEMAJ,60,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,60,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
6,RUMCRI,60,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,DACGLO,60,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,20.7,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,20.7,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
14,CHEMAJ,60,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,60,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
6,RUMCRI,60,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,60,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,20.7,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
18,CHEMAJ,60,20.7,US06,USA--Walden,USA,1,CHEMAJ_US06
14,CHEMAJ,60,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
8,RUMCRI,60,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
6,RUMCRI,60,20.7,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,20.7,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,20.7,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,20.7,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
NA,CHEMAJ,60,20.7,US06,USA--Walden,USA,0,CHEMAJ_US06
12,CHEMAJ,60,20.7,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,60,20.7,US01,USA--Walden,USA,1,RUMCRI_US01
