Lat	Lon	MeanDateLeaf
52.1800	-10.2500	 103.7
52.0100	-10.0900	 103.2
52.1800	-10.0900	 103.1
52.3400	-10.0900	 108.1
51.8400	-9.9200	 104.6
52.0100	-9.9200	 105.3
52.1800	-9.9200	 105.8
52.3400	-9.9200	 107.1
53.5100	-9.9200	 104.7
53.6700	-9.9200	 105.6
54.0000	-9.9200	 108.6
54.3400	-9.9200	 106.5
51.8400	-9.7600	 104.0
52.0100	-9.7600	 107.7
52.1800	-9.7600	 103.4
52.3400	-9.7600	 106.8
53.5100	-9.7600	 105.9
53.6700	-9.7600	 109.3
53.8400	-9.7600	 106.9
54.0000	-9.7600	 109.0
54.1700	-9.7600	 106.1
54.3400	-9.7600	 107.8
51.6800	-9.5900	 101.6
51.8400	-9.5900	 105.5
52.0100	-9.5900	 108.0
52.1800	-9.5900	 104.2
52.3400	-9.5900	 104.7
52.5100	-9.5900	 103.0
52.6700	-9.5900	 102.4
53.5100	-9.5900	 107.6
53.6700	-9.5900	 112.1
53.8400	-9.5900	 110.6
54.0000	-9.5900	 110.0
54.1700	-9.5900	 109.5
54.3400	-9.5900	 109.4
51.6800	-9.4200	 101.1
51.8400	-9.4200	 103.6
52.0100	-9.4200	 104.7
52.1800	-9.4200	 103.6
52.3400	-9.4200	 103.3
52.5100	-9.4200	 103.3
52.6700	-9.4200	 102.1
52.8400	-9.4200	 101.4
53.3400	-9.4200	 103.7
53.5100	-9.4200	 106.9
53.6700	-9.4200	 110.8
53.8400	-9.4200	 108.6
54.0000	-9.4200	 108.6
54.1700	-9.4200	 110.0
54.3400	-9.4200	 110.1
38.9000	-9.2600	  92.7
39.0600	-9.2600	  92.6
39.2300	-9.2600	  92.9
51.6800	-9.2600	 100.6
51.8400	-9.2600	 104.2
52.0100	-9.2600	 107.5
52.1800	-9.2600	 104.0
52.3400	-9.2600	 104.6
52.5100	-9.2600	 102.9
52.6700	-9.2600	 100.8
52.8400	-9.2600	 100.8
53.0100	-9.2600	 101.9
53.3400	-9.2600	 103.3
53.5100	-9.2600	 104.9
53.6700	-9.2600	 105.0
53.8400	-9.2600	 106.0
54.0000	-9.2600	 106.2
54.1700	-9.2600	 107.6
54.3400	-9.2600	 109.1
38.7300	-9.0900	  96.5
38.9000	-9.0900	  95.0
39.0600	-9.0900	  94.2
39.2300	-9.0900	  94.1
39.4000	-9.0900	  94.2
39.5600	-9.0900	  94.4
43.0500	-9.0900	  94.0
43.2100	-9.0900	  94.6
51.6800	-9.0900	 100.2
51.8400	-9.0900	 104.2
52.0100	-9.0900	 105.5
52.1800	-9.0900	 105.2
52.3400	-9.0900	 107.2
52.5100	-9.0900	 103.6
52.6700	-9.0900	 101.5
52.8400	-9.0900	 101.8
53.0100	-9.0900	 101.0
53.1700	-9.0900	 102.5
53.3400	-9.0900	 101.1
53.5100	-9.0900	 101.0
53.6700	-9.0900	 101.2
53.8400	-9.0900	 102.6
54.0000	-9.0900	 104.0
54.1700	-9.0900	 104.6
54.3400	-9.0900	 106.2
38.5600	-8.9300	  97.2
38.7300	-8.9300	  99.1
38.9000	-8.9300	  98.5
39.0600	-8.9300	  96.5
39.2300	-8.9300	  95.7
39.4000	-8.9300	  95.9
39.5600	-8.9300	  96.0
39.7300	-8.9300	  96.6
42.7200	-8.9300	  94.2
