species,collection,Source,day_length_sensitivity,degree days 8h day length,degree days 16h day length
Abies alba,C1,Laube et al. 2014,Low,NL,505
Abies alba,C2,Laube et al. 2014,Low,330,300
Abies alba,C3,Laube et al. 2014,Low,400,400
Abies homolepis,C1,Laube et al. 2014,None,NL,NL
Abies homolepis,C2,Laube et al. 2014,None,360,360
Abies homolepis,C3,Laube et al. 2014,None,400,400
Acer barbinerve,C1,This study,None,350,307
Acer barbinerve,C2,This study,None,284,272
Acer barbinerve,C3,This study,None,,
Acer campestre,C1,This study,None,753,757
Acer campestre,C2,This study,None,434,476
Acer campestre,C3,This study,None,383,377
Acer ginnala,C1,This study,None,404,368
Acer ginnala,C2,This study,None,429,393
Acer ginnala,C3,This study,None,,
Acer negundo,C1,Laube et al. 2014,None,610,670
Acer negundo,C2,Laube et al. 2014,None,270,210
Acer negundo,C3,Laube et al. 2014,None,210,200
Acer platanoides,C1,This study,None,809,809
Acer platanoides,C2,This study,None,566,527
Acer platanoides,C3,This study,None,490.292,483
Acer pseudoplatanus,C1,Laube et al. 2014,Low,NL,665
Acer pseudoplatanus,C2,Laube et al. 2014,Low,540,540
Acer pseudoplatanus,C3,Laube et al. 2014,Low,455,340
Acer saccharum,C1,Laube et al. 2014,High,NL,NL
Acer saccharum,C2,Laube et al. 2014,High,NL,690
Acer saccharum,C3,Laube et al. 2014,High,400,360
Acer tataricum,C1,Laube et al. 2014,Low,420,340
Acer tataricum,C2,Laube et al. 2014,Low,240,240
Acer tataricum,C3,Laube et al. 2014,Low,260,250
Aesculus flava,C1,This study,None,1484,1421
Aesculus flava,C2,This study,None,1110,1132
Aesculus flava,C3,This study,None,611,622
Aesculus hippocastanum,C1,This study,High,652,587
Aesculus hippocastanum,C2,This study,High,620,527
Aesculus hippocastanum,C3,This study,High,514,498
Aesculus parviflora,C1,This study,Low,1353,737
Aesculus parviflora,C2,This study,Low,652,604
Aesculus parviflora,C3,This study,Low,549,514
Alnus incana,C1,This study,None,671,700
Alnus incana,C2,This study,None,608,511
Alnus incana,C3,This study,None,476.713,454
Alnus maximowiczii,C1,This study,Low,803.566,700
Alnus maximowiczii,C2,This study,Low,681.088,665
Alnus maximowiczii,C3,This study,Low,643.719,638
Amelanchier alnifolia,C1,This study,None,599,632
Amelanchier alnifolia,C2,This study,None,461,445
Amelanchier alnifolia,C3,This study,None,398,392
Amelanchier florida,C1,This study,None,584,586
Amelanchier florida,C2,This study,None,434,445
Amelanchier florida,C3,This study,None,383,377
Amelanchier laevis,C1,This study,None,NL,NL
Amelanchier laevis,C2,This study,None,552.775,509
Amelanchier laevis,C3,This study,None,,
Amorpha fruticosa,C1,Laube et al. 2014,None,350,350
Amorpha fruticosa,C2,Laube et al. 2014,None,550,580
Amorpha fruticosa,C3,Laube et al. 2014,None,525,660
Aronia melanocarpa,C1,This study,Low,439.232,327
Aronia melanocarpa,C2,This study,Low,328.393,314
Aronia melanocarpa,C3,This study,Low,,
Berberis dielsiana,C1,This study,None,188.87,188
Berberis dielsiana,C2,This study,None,299.351,285
Berberis dielsiana,C3,This study,None,,
Betula lenta,C1,This study,Low,896.768,737
Betula lenta,C2,This study,Low,665,618
Betula lenta,C3,This study,Low,534.198,498
Betula nana,C1,This study,None,766,719
Betula nana,C2,This study,None,730,716
Betula nana,C3,This study,None,627.572,604
Betula pendula,C1,Laube et al. 2014,None,315,300
Betula pendula,C2,Laube et al. 2014,None,240,210
Betula pendula,C3,Laube et al. 2014,None,190,210
Betula populifolia,C1,This study,Low,439.232,368
Betula populifolia,C2,This study,Low,414.419,391
Betula populifolia,C3,This study,Low,412,412
Buddleja albiflora,C1,This study,None,136.477,150
Buddleja albiflora,C2,This study,None,226.374,225
Buddleja albiflora,C3,This study,None,,
Buddleja alternifolia,C1,This study,None,153.941,150
Buddleja alternifolia,C2,This study,None,299.351,299
Buddleja alternifolia,C3,This study,None,,
Buddleja davidii,C1,This study,None,136.477,149.85
Buddleja davidii,C2,This study,None,240.852,271.793
Buddleja davidii,C3,This study,None,,
Caragana pygmaea,C1,This study,None,136.477,111
Caragana pygmaea,C2,This study,None,226.374,225
Caragana pygmaea,C3,This study,None,,
Carpinus betulus,C1,This study,None,728.27,719
Carpinus betulus,C2,This study,None,471.117,435
Carpinus betulus,C3,This study,None,,
Carpinus laxiflora,C1,This study,None,562.687,527
Carpinus laxiflora,C2,This study,None,385.003,376
Carpinus laxiflora,C3,This study,None,,
Carpinus monbeigiana,C1,This study,None,527.363,527
Carpinus monbeigiana,C2,This study,None,471.117,450
Carpinus monbeigiana,C3,This study,None,579.86,549
Carya cordiformis,C1,This study,High,1837.212,1059
Carya cordiformis,C2,This study,High,1227.915,1040
Carya cordiformis,C3,This study,High,793.282,718
Carya laciniosa,C1,This study,Low,1641,1455
Carya laciniosa,C2,This study,Low,1132,1203
Carya laciniosa,C3,This study,Low,598,709
Carya ovata,C1,This study,Low,1990,1793
Carya ovata,C2,This study,Low,1495,1552
Carya ovata,C3,This study,Low,940,942
Castanea sativa,C1,This study,High,765.866,606
Castanea sativa,C2,This study,High,622.453,556
Castanea sativa,C3,This study,High,579.86,567
Cedrus libani,C1,This study,None,580.89,568
Cedrus libani,C2,This study,None,539.424,558
Cedrus libani,C3,This study,None,476.713,498
Celtis caucasica,C1,This study,None,825,820
Celtis caucasica,C2,This study,None,513,492
Celtis caucasica,C3,This study,None,485,443
Celtis laevigata,C1,This study,Low,1226,898
Celtis laevigata,C2,This study,Low,725,781
Celtis laevigata,C3,This study,Low,531,509
Celtis occidentalis,C1,This study,Low,911.637,779
Celtis occidentalis,C2,This study,Low,865.278,922
Celtis occidentalis,C3,This study,Low,,
Cephalanthus occidentalis,C1,This study,None,651.656,700
Cephalanthus occidentalis,C2,This study,None,738.846,604
Cephalanthus occidentalis,C3,This study,None,660.987,625
Cercidiphyllum japonicum,C1,This study,None,670.72,645
Cercidiphyllum japonicum,C2,This study,None,498.365,423
Cercidiphyllum japonicum,C3,This study,None,,
Cercidiphyllum magnificum,C1,This study,Low,768,617
Cercidiphyllum magnificum,C2,This study,Low,487,445
Cercidiphyllum magnificum,C3,This study,Low,338,344
Cercis canadensis,C1,This study,None,803.566,827
Cercis canadensis,C2,This study,None,764.726,699
Cercis canadensis,C3,This study,None,694.22,638
Cercis chinensis,C1,This study,High,590,488
Cercis chinensis,C2,This study,High,962.075,558
Cercis chinensis,C3,This study,High,727.358,704
Cladrastis lutea,C1,This study,High,1243.641,941
Cladrastis lutea,C2,This study,High,962.075,683
Cladrastis lutea,C3,This study,High,579.86,585
Cornus alba,C1,This study,High,689.943,606
Cornus alba,C2,This study,High,696.309,481
Cornus alba,C3,This study,High,,
Cornus kousa,C1,This study,Low,544.879,448
Cornus kousa,C2,This study,Low,484.873,452
Cornus kousa,C3,This study,Low,534.198,498
Cornus mas,C1,Laube et al. 2014,None,335,300
Cornus mas,C2,Laube et al. 2014,None,245,230
Cornus mas,C3,Laube et al. 2014,None,230,230
Corylopsis sinensis,C1,This study,High,562.687,448
Corylopsis sinensis,C2,This study,High,450,393
Corylopsis sinensis,C3,This study,High,,
Corylopsis spicata,C1,This study,Low,728.27,547
Corylopsis spicata,C2,This study,Low,498.365,466
Corylopsis spicata,C3,This study,Low,,
Corylus avellana,C1,This study,Low,295,220
Corylus avellana,C2,This study,Low,170,170
Corylus avellana,C3,This study,Low,185,170
Corylus heterophylla,C1,This study,High,811,725
Corylus heterophylla,C2,This study,High,474,398
Corylus heterophylla,C3,This study,High,353,358
Corylus sieboldiana,C1,This study,None,647,601
Corylus sieboldiana,C2,This study,None,352,319
Corylus sieboldiana,C3,This study,None,324,328
Decaisnea fargesii,C1,This study,None,598,568
Decaisnea fargesii,C2,This study,None,356.74,393
Decaisnea fargesii,C3,This study,None,,
Deutzia gracilis,C1,This study,None,184,167
Deutzia gracilis,C2,This study,None,200,209
Deutzia gracilis,C3,This study,None,,
Deutzia scabra,C1,This study,None,344,345
Deutzia scabra,C2,This study,None,420,429
Deutzia scabra,C3,This study,None,383,358
Elaeagnus ebbingei,C1,This study,None,128,141
Elaeagnus ebbingei,C2,This study,None,157,146
Elaeagnus ebbingei,C3,This study,None,,
Eleutherococcus senticosus,C1,This study,None,283,300
Eleutherococcus senticosus,C2,This study,None,278,302
Eleutherococcus senticosus,C3,This study,None,309,297
Eleutherococcus setchuensis,C1,This study,None,421.379,408
Eleutherococcus setchuensis,C2,This study,None,429.342,393
Eleutherococcus setchuensis,C3,This study,None,,
Eleutherococcus sieboldianus,C1,This study,None,314,316
Eleutherococcus sieboldianus,C2,This study,None,261,256
Eleutherococcus sieboldianus,C3,This study,None,328,328
Euonymus europaeus,C1,This study,Low,562.687,468
Euonymus europaeus,C2,This study,Low,443.275,452
Euonymus europaeus,C3,This study,Low,,
Euonymus latifolius,C1,This study,None,0,0
Euonymus latifolius,C2,This study,None,527,525
Euonymus latifolius,C3,This study,None,383,377
Fagus crenata,C1,This study,High,811,663
Fagus crenata,C2,This study,High,683,607
Fagus crenata,C3,This study,High,441,377
Fagus engleriana,C1,This study,High,768,663
Fagus engleriana,C2,This study,High,571,492
Fagus engleriana,C3,This study,High,413,377
Fagus orientalis,C1,This study,High,1408,1079
Fagus orientalis,C2,This study,High,986,766
Fagus orientalis,C3,This study,High,683,508
Fagus sylvatica,C1,This study,High,1600,1080
Fagus sylvatica,C2,This study,High,1155,769
Fagus sylvatica,C3,This study,High,833,518
Forsythia ovata,C1,This study,None,241.882,227
Forsythia ovata,C2,This study,None,328.393,316
Forsythia ovata,C3,This study,None,,
Forsythia suspensa,C1,This study,None,314,330
Forsythia suspensa,C2,This study,None,261,256
Forsythia suspensa,C3,This study,None,294,297
Fraxinus chinensis,C1,Laube et al. 2014,Low,580,490
Fraxinus chinensis,C2,Laube et al. 2014,Low,480,450
Fraxinus chinensis,C3,Laube et al. 2014,Low,400,390
Fraxinus excelsior,C1,Laube et al. 2014,Low,670,510
Fraxinus excelsior,C2,Laube et al. 2014,Low,440,440
Fraxinus excelsior,C3,Laube et al. 2014,Low,450,470
Fraxinus latifolia,C1,This study,Low,1439.856,896
Fraxinus latifolia,C2,This study,Low,805.68,850
Fraxinus latifolia,C3,This study,Low,694.22,782
Fraxinus ornus,C1,This study,None,1510.551,1607.442
Fraxinus ornus,C2,This study,None,1211,1381
Fraxinus ornus,C3,This study,None,677.621,689
Fraxinus pensylvanica,C1,Laube et al. 2014,Low,510,360
Fraxinus pensylvanica,C2,Laube et al. 2014,Low,375,400
Fraxinus pensylvanica,C3,Laube et al. 2014,Low,430,430
Ginkgo biloba,C1,This study,High,1058.119,809
Ginkgo biloba,C2,This study,High,696.309,604
Ginkgo biloba,C3,This study,High,611.602,585
Hamamelis japonica,C1,This study,None,647,617
Hamamelis japonica,C2,This study,None,406,382
Hamamelis japonica,C3,This study,None,383,377
Hamamelis vernalis,C1,This study,None,949,976
Hamamelis vernalis,C2,This study,None,501,509
Hamamelis vernalis,C3,This study,None,353,344
Heptacodium miconioides,C1,This study,None,241.882,227
Heptacodium miconioides,C2,This study,None,328.393,316
Heptacodium miconioides,C3,This study,None,,
Hibiscus syriacus,C1,This study,None,350.315,347
Hibiscus syriacus,C2,This study,None,457.062,452
Hibiscus syriacus,C3,This study,None,643.719,622
Hydrangea arborescens,C1,This study,None,720,709
Hydrangea arborescens,C2,This study,None,352,350
Hydrangea arborescens,C3,This study,None,368,377
Hydrangea involucrata,C1,This study,Low,684,601
Hydrangea involucrata,C2,This study,Low,379,382
Hydrangea involucrata,C3,This study,Low,324,344
Hydrangea serrata,C1,This study,None,510.128,488
Hydrangea serrata,C2,This study,None,313.945,301
Hydrangea serrata,C3,This study,None,,
Juglans ailantifolia,C1,Laube et al. 2014,None,650,625
Juglans ailantifolia,C2,Laube et al. 2014,None,440,400
Juglans ailantifolia,C3,Laube et al. 2014,None,365,335
Juglans cinerea,C1,Laube et al. 2014,None,624,624
Juglans cinerea,C2,Laube et al. 2014,None,440,440
Juglans cinerea,C3,Laube et al. 2014,None,400,390
Juglans regia,C1,Laube et al. 2014,Low,680,580
Juglans regia,C2,Laube et al. 2014,Low,600,600
Juglans regia,C3,Laube et al. 2014,Low,555,520
Larix decidua,C1,Laube et al. 2014,None,295,250
Larix decidua,C2,Laube et al. 2014,None,200,200
Larix decidua,C3,Laube et al. 2014,None,190,190
Larix gmelinii,C1,This study,None,283,267
Larix gmelinii,C2,This study,None,214,209
Larix gmelinii,C3,This study,None,,
Larix kaempferi,C1,This study,None,665,663
Larix kaempferi,C2,This study,None,461,461
Larix kaempferi,C3,This study,None,383,392
Ligustrum tschonoskii,C1,This study,None,136.477,130
Ligustrum tschonoskii,C2,This study,None,240.852,242
Ligustrum tschonoskii,C3,This study,None,,
Liquidambar orientalis,C1,This study,None,295.89,247
Liquidambar orientalis,C2,This study,None,414.419,393
Liquidambar orientalis,C3,This study,None,548.97,498
Liquidambar styraciflua,C1,This study,High,1115.508,881
Liquidambar styraciflua,C2,This study,High,711.345,604
Liquidambar styraciflua,C3,This study,High,579.86,567
Liriodendron tulipifera,C1,This study,Low,1014.175,737
Liriodendron tulipifera,C2,This study,Low,356.74,332
Liriodendron tulipifera,C3,This study,Low,,
Lonicera alpigena,C1,This study,None,224.273,267
Lonicera alpigena,C2,This study,None,240.852,257
Lonicera alpigena,C3,This study,None,,
Lonicera caerulea,C1,This study,None,136.477,111
Lonicera caerulea,C2,This study,None,,
Lonicera caerulea,C3,This study,None,,
Lonicera maximowiczii,C1,This study,None,136.477,130
Lonicera maximowiczii,C2,This study,None,197.154,183
Lonicera maximowiczii,C3,This study,None,,
Metasequoia glyptostroboides,C1,This study,None,332.291,307
Metasequoia glyptostroboides,C2,This study,None,399.549,362
Metasequoia glyptostroboides,C3,This study,None,,
Nothofagus antarctica,C1,This study,Low,835.791,587
Nothofagus antarctica,C2,This study,Low,429.342,452
Nothofagus antarctica,C3,This study,Low,,
Oemleria cerasiformis,C1,This study,None,277.665,327
Oemleria cerasiformis,C2,This study,None,299.351,301
Oemleria cerasiformis,C3,This study,None,,
Orixa japonica,C1,This study,None,616.29,606
Orixa japonica,C2,This study,None,566.297,527
Orixa japonica,C3,This study,None,519.224,498
Ostrya carpinifolia,C1,This study,Low,404.048,327
Ostrya carpinifolia,C2,This study,Low,328.393,332
Ostrya carpinifolia,C3,This study,Low,450.695,440
Ostrya virginiana,C1,This study,None,783,867
Ostrya virginiana,C2,This study,None,474,525
Ostrya virginiana,C3,This study,None,309,297
Paeonia rockii,C1,This study,None,390,347
Paeonia rockii,C2,This study,None,385.003,347
Paeonia rockii,C3,This study,None,,
Parrotia persica,C1,This study,None,421.379,468
Parrotia persica,C2,This study,None,313.945,289
Parrotia persica,C3,This study,None,,
Parrotiopsis jaquemontiana,C1,This study,None,510.128,468
Parrotiopsis jaquemontiana,C2,This study,None,370.644,362
Parrotiopsis jaquemontiana,C3,This study,None,476.713,454
Photinia villosa,C1,This study,None,368.319,347
Photinia villosa,C2,This study,None,385.003,378
Photinia villosa,C3,This study,None,463.638,468
Picea abies,C1,This study,None,1158.317,1226
Picea abies,C2,This study,None,896.286,885
Picea abies,C3,This study,None,892.124,908
Pinus nigra,C1,Laube et al. 2014,Low,580,490
Pinus nigra,C2,Laube et al. 2014,Low,300,300
Pinus nigra,C3,Laube et al. 2014,Low,540,515
Pinus strobus,C1,Laube et al. 2014,Low,490,350
Pinus strobus,C2,Laube et al. 2014,Low,245,225
Pinus strobus,C3,Laube et al. 2014,Low,300,310
Pinus sylvestris,C1,Laube et al. 2014,Low,635,510
Pinus sylvestris,C2,Laube et al. 2014,Low,295,295
Pinus sylvestris,C3,Laube et al. 2014,Low,325,325
Pinus wallichiana,C1,Laube et al. 2014,Low,360,300
Pinus wallichiana,C2,Laube et al. 2014,Low,225,225
