"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696593,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696594,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696596,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696601,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696602,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula alleghaniensis",7319,"Betula alleghaniensis",2389133,19696603,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696605,NA,"",469,"Identifier within contributed dataset (ID)","ID","11","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696606,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696607,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696608,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696609,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696611,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696616,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696617,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula papyrifera",7355,"Betula papyrifera",2389134,19696618,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696620,NA,"",469,"Identifier within contributed dataset (ID)","ID","14","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696621,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696622,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696623,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696624,NA,"",846,"Family","Family","Fagaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696626,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696631,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696632,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Fagus grandifolia",23898,"Fagus grandifolia",2389135,19696633,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696649,NA,"",469,"Identifier within contributed dataset (ID)","ID","20","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696650,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696651,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696652,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696653,NA,"",846,"Family","Family","Hamamelidaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696655,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696660,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696661,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Hamamelis virginiana",27810,"Hamamelis virginiana",2389137,19696662,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696679,NA,"",469,"Identifier within contributed dataset (ID)","ID","26","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696680,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696681,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696682,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696683,NA,"",846,"Family","Family","Salicaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696685,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696690,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696691,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Populus grandidentata",43510,"Populus grandidentata",2389139,19696692,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696709,NA,"",469,"Identifier within contributed dataset (ID)","ID","32","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696710,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696711,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696712,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696713,NA,"",846,"Family","Family","Rosaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696715,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696720,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696721,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Prunus pensylvanica",44391,"Prunus pensylvanica",2389141,19696722,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
