"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927695,5329915,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","20","kg C per kg N","Single",NA,"",NA,20,"g/g",NA,NA,2.65259
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927695,5329916,NA,"",113,"Reference / source / PI","Source","Matyssek and Schulze 1987","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927718,5329961,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","23.8","kg C per kg N","Single",NA,"",NA,23.8,"g/g",NA,NA,0.560084
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927718,5329962,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927719,5329963,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","25.6","kg C per kg N","Single",NA,"",NA,25.6,"g/g",NA,NA,0.567295
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927719,5329964,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927720,5329965,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","25.6","kg C per kg N","Single",NA,"",NA,25.6,"g/g",NA,NA,0.63619
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927720,5329966,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927721,5329967,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","28.6","kg C per kg N","Single",NA,"",NA,28.6,"g/g",NA,NA,1.19667
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927721,5329968,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927722,5329969,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","32.5","kg C per kg N","Single",NA,"",NA,32.5,"g/g",NA,NA,1.92271
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927722,5329970,NA,"",113,"Reference / source / PI","Source","Ellsworth and Reich 1992a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927723,5329971,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","23.5","kg C per kg N","Single",NA,"",NA,23.5,"g/g",NA,NA,1.33689
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927723,5329972,NA,"",113,"Reference / source / PI","Source","Ellsworth and Reich 1992a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927724,5329973,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","25.8","kg C per kg N","Single",NA,"",NA,25.8,"g/g",NA,NA,0.611494
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927724,5329974,NA,"",113,"Reference / source / PI","Source","Ellsworth and Reich 1992a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927725,5329975,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","31.1","kg C per kg N","Single",NA,"",NA,31.1,"g/g",NA,NA,1.67263
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927725,5329976,NA,"",113,"Reference / source / PI","Source","Jose and Gillespie 1996","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Alnus glutinosa",2710,"Alnus glutinosa",927726,5329977,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","18.5","kg C per kg N","Single",NA,"",NA,18.5,"g/g",NA,NA,0.429995
"White","Michael",79,"BIOME-BGC Parameterization Database","Alnus glutinosa",2710,"Alnus glutinosa",927726,5329978,NA,"",113,"Reference / source / PI","Source","Dawson and Funk 1981","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Alnus incana",2712,"Alnus incana",927727,5329979,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","16.3","kg C per kg N","Single",NA,"",NA,16.3,"g/g",NA,NA,1.23064
"White","Michael",79,"BIOME-BGC Parameterization Database","Alnus incana",2712,"Alnus incana",927727,5329980,NA,"",113,"Reference / source / PI","Source","Berg and Ekhbom 1991","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Betula papyrifera",7355,"Betula papyrifera",927729,5329983,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","28.7","kg C per kg N","Single",NA,"",NA,28.7,"g/g",NA,NA,2.13763
"White","Michael",79,"BIOME-BGC Parameterization Database","Betula papyrifera",7355,"Betula papyrifera",927729,5329984,NA,"",113,"Reference / source / PI","Source","Berg and Ekhbom 1991","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Fagus grandifolia",23898,"Fagus grandifolia",927736,5329997,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","26.9","kg C per kg N","Single",NA,"",NA,26.9,"g/g",NA,NA,1.09358
"White","Michael",79,"BIOME-BGC Parameterization Database","Fagus grandifolia",23898,"Fagus grandifolia",927736,5329998,NA,"",113,"Reference / source / PI","Source","Jose and Gillespie 1996","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus alba",45315,"Quercus alba",927748,5330021,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","27.2","kg C per kg N","Single",NA,"",NA,27.2,"g/g",NA,NA,0.776039
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus alba",45315,"Quercus alba",927748,5330022,NA,"",113,"Reference / source / PI","Source","Jose and Gillespie 1996","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927752,5330029,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","16.8","kg C per kg N","Single",NA,"",NA,16.8,"g/g",NA,NA,2.78958
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927752,5330030,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927753,5330031,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","23.7","kg C per kg N","Single",NA,"",NA,23.7,"g/g",NA,NA,0.192786
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927753,5330032,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927754,5330033,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","33.1","kg C per kg N","Single",NA,"",NA,33.1,"g/g",NA,NA,2.76219
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",45473,"Quercus rubra",927754,5330034,NA,"",113,"Reference / source / PI","Source","Jose and Gillespie 1996","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus velutina",45501,"Quercus velutina",927755,5330035,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","34","kg C per kg N","Single",NA,"",NA,34,"g/g",NA,NA,2.0434
"White","Michael",79,"BIOME-BGC Parameterization Database","Quercus velutina",45501,"Quercus velutina",927755,5330036,NA,"",113,"Reference / source / PI","Source","Jose and Gillespie 1996","","",NA,"",NA,NA,"",NA,NA,NA
