"stn","year","doy"
"fu13 2010-12-01 ambient",2011,122
"fu13 2010-12-01 ambient+1",2011,121
"fu13 2010-12-01 ambient+2",2011,117
"fu13 2010-12-01 ambient+5",2011,103
"fu13 2010-12-01 ambient+6",2011,99
"fu13 2011-12-01 ambient",2012,112
"fu13 2011-12-01 ambient+1",2012,112
"fu13 2011-12-01 ambient+2",2012,110
"fu13 2011-12-01 ambient+3",2012,108
"fu13 2011-12-01 ambient+4",2012,107
"fu13 2011-12-01 ambient+5",2012,104
"fu13 2011-12-01 ambient+6",2012,105
