Lat	Lon	MeanFlower
52.1800	-10.2500	 0.998
52.0100	-10.0900	 0.998
52.1800	-10.0900	 0.999
52.3400	-10.0900	 0.998
51.8400	-9.9200	 0.999
52.0100	-9.9200	 0.999
52.1800	-9.9200	 0.999
52.3400	-9.9200	 0.998
53.5100	-9.9200	 0.999
53.6700	-9.9200	 0.998
54.0000	-9.9200	 0.998
54.3400	-9.9200	 0.999
51.8400	-9.7600	 0.999
52.0100	-9.7600	 0.998
52.1800	-9.7600	 0.999
52.3400	-9.7600	 0.992
53.5100	-9.7600	 0.993
53.6700	-9.7600	 0.998
53.8400	-9.7600	 0.999
54.0000	-9.7600	 0.998
54.1700	-9.7600	 0.998
54.3400	-9.7600	 0.998
51.6800	-9.5900	 0.993
51.8400	-9.5900	 0.999
52.0100	-9.5900	 0.998
52.1800	-9.5900	 0.997
52.3400	-9.5900	 0.999
52.5100	-9.5900	 0.999
52.6700	-9.5900	 0.999
53.5100	-9.5900	 0.999
53.6700	-9.5900	 0.998
53.8400	-9.5900	 0.998
54.0000	-9.5900	 0.998
54.1700	-9.5900	 0.998
54.3400	-9.5900	 0.998
51.6800	-9.4200	 0.999
51.8400	-9.4200	 0.999
52.0100	-9.4200	 0.999
52.1800	-9.4200	 0.999
52.3400	-9.4200	 0.999
52.5100	-9.4200	 0.999
52.6700	-9.4200	 0.999
52.8400	-9.4200	 0.999
53.3400	-9.4200	 0.998
53.5100	-9.4200	 0.998
53.6700	-9.4200	 0.997
53.8400	-9.4200	 0.998
54.0000	-9.4200	 0.998
54.1700	-9.4200	 0.998
54.3400	-9.4200	 0.998
38.9000	-9.2600	 0.000
39.0600	-9.2600	 0.000
39.2300	-9.2600	 0.000
51.6800	-9.2600	 0.999
51.8400	-9.2600	 0.999
52.0100	-9.2600	 0.997
52.1800	-9.2600	 0.999
52.3400	-9.2600	 0.999
52.5100	-9.2600	 0.998
52.6700	-9.2600	 0.999
52.8400	-9.2600	 0.999
53.0100	-9.2600	 0.998
53.3400	-9.2600	 0.998
53.5100	-9.2600	 0.998
53.6700	-9.2600	 0.998
53.8400	-9.2600	 0.998
54.0000	-9.2600	 0.998
54.1700	-9.2600	 0.998
54.3400	-9.2600	 0.998
38.7300	-9.0900	 0.000
38.9000	-9.0900	 0.000
39.0600	-9.0900	 0.000
39.2300	-9.0900	 0.000
39.4000	-9.0900	 0.000
39.5600	-9.0900	 0.000
43.0500	-9.0900	 0.600
43.2100	-9.0900	 0.600
51.6800	-9.0900	 0.999
51.8400	-9.0900	 0.999
52.0100	-9.0900	 0.999
52.1800	-9.0900	 0.998
52.3400	-9.0900	 0.999
52.5100	-9.0900	 0.999
52.6700	-9.0900	 0.999
52.8400	-9.0900	 0.999
53.0100	-9.0900	 0.999
53.1700	-9.0900	 0.998
53.3400	-9.0900	 0.999
53.5100	-9.0900	 0.998
53.6700	-9.0900	 0.998
53.8400	-9.0900	 0.998
54.0000	-9.0900	 0.998
54.1700	-9.0900	 0.999
54.3400	-9.0900	 0.998
38.5600	-8.9300	 0.000
38.7300	-8.9300	 0.000
38.9000	-8.9300	 0.000
39.0600	-8.9300	 0.000
39.2300	-8.9300	 0.000
39.4000	-8.9300	 0.000
39.5600	-8.9300	 0.000
39.7300	-8.9300	 0.000
42.7200	-8.9300	 0.100
42.8800	-8.9300	 0.150
43.0500	-8.9300	 0.400
43.2100	-8.9300	 0.200
51.6800	-8.9300	 0.999
51.8400	-8.9300	 0.999
52.0100	-8.9300	 0.998
52.1800	-8.9300	 0.999
52.3400	-8.9300	 0.998
52.5100	-8.9300	 0.999
52.6700	-8.9300	 0.999
52.8400	-8.9300	 0.999
53.0100	-8.9300	 0.999
53.1700	-8.9300	 0.999
53.3400	-8.9300	 0.998
53.5100	-8.9300	 0.998
53.6700	-8.9300	 0.998
53.8400	-8.9300	 0.998
54.0000	-8.9300	 0.997
54.1700	-8.9300	 0.997
54.3400	-8.9300	 0.998
37.2400	-8.7600	 0.000
37.4000	-8.7600	 0.000
38.7300	-8.7600	 0.000
38.9000	-8.7600	 0.000
39.0600	-8.7600	 0.000
39.2300	-8.7600	 0.000
39.4000	-8.7600	 0.000
39.5600	-8.7600	 0.000
39.7300	-8.7600	 0.000
39.8900	-8.7600	 0.000
40.0600	-8.7600	 0.000
40.2300	-8.7600	 0.000
40.3900	-8.7600	 0.000
42.0500	-8.7600	 0.100
42.7200	-8.7600	 0.100
42.8800	-8.7600	 0.100
43.0500	-8.7600	 0.200
43.2100	-8.7600	 0.350
43.3800	-8.7600	 0.050
51.6800	-8.7600	 1.000
51.8400	-8.7600	 0.999
52.0100	-8.7600	 0.999
52.1800	-8.7600	 0.999
52.3400	-8.7600	 0.999
52.5100	-8.7600	 0.999
52.6700	-8.7600	 0.999
52.8400	-8.7600	 0.997
53.0100	-8.7600	 0.999
53.1700	-8.7600	 0.997
53.3400	-8.7600	 0.973
53.5100	-8.7600	 0.998
53.6700	-8.7600	 0.998
53.8400	-8.7600	 0.997
54.0000	-8.7600	 0.995
54.1700	-8.7600	 0.992
54.3400	-8.7600	 0.989
70.9400	-8.7600	 0.000
37.2400	-8.5900	 0.000
37.4000	-8.5900	 0.000
37.5700	-8.5900	 0.000
37.7300	-8.5900	 0.000
37.9000	-8.5900	 0.000
38.0700	-8.5900	 0.000
38.2300	-8.5900	 0.000
38.4000	-8.5900	 0.000
38.5600	-8.5900	 0.000
38.7300	-8.5900	 0.000
38.9000	-8.5900	 0.000
39.0600	-8.5900	 0.000
39.2300	-8.5900	 0.000
39.4000	-8.5900	 0.000
39.5600	-8.5900	 0.000
39.7300	-8.5900	 0.000
39.8900	-8.5900	 0.000
40.0600	-8.5900	 0.000
40.2300	-8.5900	 0.000
