Fagus sylvatica,Try Data Code 
Pseudotsuga menziesii,44567
Betula pendula,7356
Prunus padus,44388
Populus tremula,43532
Alnus incana,2712
Betula pubescens,7359
Alnus glutinosa,2710
Ribes nigrum,46517
Quercus faginea,45374
Quercus ilex,45402
Acer pseudoplatanus,855
Aesculus hippocastanum,1571
Syringa vulgaris,52666
Corylus avellana,14688
Fraxinus excelsior,25247
Picea abies,41907
Larix decidua,32364
Prunus avium,44304
Quercus petraea,45457
Tilia cordata,54325
Sorbus aucuparia,50997
Abies alba,29
Actinidia deliciosa,1139
Vitis vinifera,56746
Salix smithiana,47937
Quercus rubra,45473
Acer saccharum,863
Betula alleghaniensis,7319
Malus domestica,35230
Ulmus pumila,55471
Ulmus parvifolia,55468
Ulmus villosa,
Ulmus minor,55465
Carpinus betulus,10773
Cornus alba,14553
Cornus mas,14580
Robinia pseudoacacia,46621
Quercus robur,45473
Symphoricarpos albus,52513
Quercus pubescens,45465
Betula lenta,7341
Aronia melanocarpa,5109
Acer pensylvanicum,852
Acer rubrum,859
Betula papyrifera,7355
Corylus cornuta,14692
Fagus grandifolia,23898
Fraxinus nigra,25256
Hamamelis virginiana,27810
Ilex mucronatus,
Kalmia angustifolia,31681
Lonicera canadensis,34119
Lyonia ligustrina,34626
Nyssa sylvatica,38411
Populus grandidentata,43510
Prunus pensylvanica,44391
Quercus alba,45315
Quercus velutina,45501
Rhamnus frangula,
Rhododendron prinophyllum,46227
Spiraea alba,51363
Vaccinium myrtilloides,55735
Viburnum cassinoides,56307
Viburnum lantanoides,64953
