name,genus,datasetID,worthy,Complex
Abies_homolepis,Abies,laube14a,N,Acer
Acer_barbinerve,Acer,zohner16,Y,Betula
Acer_campestre,Acer,zohner16,Y,Fraxinus
Acer_ginnala,Acer,zohner16,Y,Juglans
Acer_negundo,Acer,laube14a,Y,Picea
Acer_platanoides,Acer,zohner16,Y,Pinus
Acer_saccharinum,Acer,webb78,Y,Populus
Acer_tataricum,Acer,laube14a,Y,Prunus
Aesculus_flava,Aesculus,zohner16,N,Pyrus
Aesculus_parviflora,Aesculus,zohner16,N,Quercus
Alnus_maximowiczii,Alnus,zohner16,N,Rhododendron
Amelanchier_alnifolia,Amelanchier,zohner16,N,Salix
Amelanchier_florida,Amelanchier,zohner16,N,Sorbus
Amelanchier_laevis,Amelanchier,zohner16,N,Ulmus
Amorpha_fruticosa,Amorpha,laube14a,N,Vaccinuim
Aronia_melanocarpa,Aronia,zohner16,N,Tilia
Berberis_dielsiana,Berberis,zohner16,N,
Betula_ermanii,Betula,gansert02,Y,
Betula_lenta,Betula,zohner16,Y,
Betula_occidentalis,Betula,karlsson03,Y,
Betula_papyrifera,Betula,hawkins12,Y,
"Betula_pendula,pubescens",Betula,junttila12,Y,
Betula_populifolia,Betula,zohner16,Y,
Buddleja_albiflora,Buddleja,zohner16,N,
Buddleja_alternifolia,Buddleja,zohner16,N,
Buddleja_davidii,Buddleja,zohner16,N,
Caragana_pygmaea,Caragana,zohner16,N,
Carpinus_laxiflora,Carpinus,zohner16,N,
Carpinus_monbeigiana,Carpinus,zohner16,N,
Carya_cordiformis,Carya,zohner16,N,
Carya_laciniosa,Carya,zohner16,N,
Carya_ovata,Carya,zohner16,N,
Castanea_sativa,Castanea,zohner16,N,
Cedrus_libani,Cedrus,zohner16,N,
Celtis_caucasica,Celtis,zohner16,N,
Celtis_laevigata,Celtis,zohner16,N,
Celtis_occidentalis,Celtis,zohner16,N,
Cephalanthus_occidentalis,Cephalanthus,zohner16,N,
Cercidiphyllum_japonicum,Cercidiphyllum,zohner16,N,
Cercidiphyllum_magnificum,Cercidiphyllum,zohner16,N,
Cercis_canadensis,Cercis,zohner16,N,
Cercis_chinensis,Cercis,zohner16,N,
Cladrastis_lutea,Cladrastis,zohner16,N,
Cornus_kousa,Cornus,zohner16,N,
Corylopsis_sinensis,Corylopsis,zohner16,N,
Corylopsis_spicata,Corylopsis,zohner16,N,
Corylus_heterophylla,Corylus,zohner16,N,
Corylus_sieboldiana,Corylus,zohner16,N,
Decaisnea_fargesii,Decaisnea,zohner16,N,
Deutzia_gracilis,Deutzia,zohner16,N,
Deutzia_scabra,Deutzia,zohner16,N,
Elaeagnus_ebbingei,Elaeagnus,zohner16,N,
Eleutherococcus_senticosus,Eleutherococcus,zohner16,N,
Eleutherococcus_setchuenensis,Eleutherococcus,zohner16,N,
Eleutherococcus_sieboldianus,Eleutherococcus,zohner16,N,
Euonymus_europaeus,Euonymus,zohner16,N,
Euonymus_latifolius,Euonymus,zohner16,N,
Fagus_crenata,Fagus,zohner16,N,
Fagus_engleriana,Fagus,zohner16,N,
Fagus_orientalis,Fagus,zohner16,N,
Forsythia_ovata,Forsythia,zohner16,N,
Forsythia_suspensa,Forsythia,zohner16,N,
Fraxinus_americana,Fraxinus,webb78,Y,
Fraxinus_chinensis,Fraxinus,laube14a,Y,
Fraxinus_latifolia,Fraxinus,zohner16,Y,
Fraxinus_ornus,Fraxinus,zohner16,Y,
Fraxinus_pennsylvanica,Fraxinus,laube14a,Y,
Ginkgo_biloba,Ginkgo,zohner16,N,
Hamamelis_japonica,Hamamelis,zohner16,N,
Hamamelis_vernalis,Hamamelis,zohner16,N,
Heptacodium_miconioides,Heptacodium,zohner16,N,
Hibiscus_syriacus,Hibiscus,zohner16,N,
Hydrangea_arborescens,Hydrangea,zohner16,N,
Hydrangea_involucrata,Hydrangea,zohner16,N,
Hydrangea_serrata,Hydrangea,zohner16,N,
Juglans_ailantifolia,Juglans,laube14a,Y,
Juglans_cinerea,Juglans,laube14a,Y,
Juglans_regia,Juglans,laube14a,Y,
Juglans_spp,Juglans,charrier11,Y,
Larix_gmelinii,Larix,zohner16,N,
