"genus","species","complex","use"
"Prunus","persica","Prunus_persica","Y"
"Fagus","sylvatica","Fagus_sylvatica","Y"
"Pseudotsuga","menziesii","Pseudotsuga_menziesii","Y"
"Betula","pendula","Betula_pendula","Y"
"Prunus","padus","Prunus_padus","Y"
"Populus","tremula","Populus_tremula","Y"
"Alnus","incana","Alnus_incana","Y"
"Betula","pubescens","Betula_pubescens","Y"
"Alnus","glutinosa","Alnus_glutinosa","Y"
"Ribes","nigrum","Ribes_nigrum","Y"
"Picea","glauca","Picea_glauca","Y"
"Picea","abies","Picea_abies","Y"
"Betula","nana","Betula_nana","Y"
"Quercus","faginea","Quercus_faginea","Y"
"Quercus","ilex","Quercus_ilex","Y"
"Malus","domestica","Malus_domestica","Y"
"Acer","pseudoplatanus","Acer_pseudoplatanus","Y"
"Aesculus","hippocastanum","Aesculus_hippocastanum","Y"
"Syringa","vulgaris","Syringa_vulgaris","Y"
"Corylus","avellana","Corylus_avellana","Y"
"Fraxinus","excelsior","Fraxinus_excelsior","Y"
"Larix","decidua","Larix_decidua","Y"
"Prunus","avium","Prunus_avium","Y"
"Tilia","cordata","Tilia_cordata","Y"
"Sorbus","aucuparia","Sorbus_aucuparia","Y"
"Abies","alba","Abies_alba","Y"
"Quercus","petraea","Quercus_petraea","Y"
"Actinidia","deliciosa","Actinidia_deliciosa","Y"
"Vitis","vinifera","Vitis_vinifera","Y"
"Quercus","rubra","Quercus_rubra","Y"
"Acer","saccharum","Acer_saccharum","Y"
"Betula","alleghaniensis","Betula_alleghaniensis","Y"
"Quercus","robur","Quercus_robur","Y"
"Liquidambar","styraciflua","Liquidambar_styraciflua","Y"
"Sorbus","commixta","Sorbus_commixta","Y"
"Rubus","idaeus","Rubus_idaeus","Y"
"Carpinus","betulus","Carpinus_betulus","Y"
"Cornus","alba","Cornus_alba","Y"
"Cornus","mas","Cornus_mas","Y"
"Robinia","pseudoacacia","Robinia_pseudoacacia","Y"
"Symphoricarpos","albus","Symphoricarpos_albus","Y"
"Pyrus","pyrifolia","Pyrus_pyrifolia","Y"
"Ulmus","pumila","Ulmus_complex","Y"
"Ulmus","parvifolia","Ulmus_complex","Y"
"Ulmus","macrocarpa","Ulmus_complex","Y"
"Ulmus","villosa","Ulmus_complex","Y"
"Ulmus","glabra","Ulmus_complex","Y"
"Ulmus","minor","Ulmus_complex","Y"
"Betula","pendula,pubescens","Betula_complex","Y"
"Salix","pulchra","Salix_complex","Y"
"Olea","europaea",NA,"N"
"Quercus","coccifera","Quercus_complex","Y"
"Vaccinium","corymbosum","Vaccinium_complex","Y"
"Tilia","americana","Tilia_complex","Y"
"Quercus","patraea","Quercus_complex","Y"
"Pinus","taeda","Pinus_complex","Y"
"Salix","smithiana","Salix_complex","Y"
"Picea","sitchensis","Picea_complex","Y"
"Juglans","spp","Juglans_complex","Y"
"Betula","ermanii","Betula_complex","Y"
"Populus","grandidentata","Populus_complex","Y"
"Betula","papyrifera","Betula_complex","Y"
"Malus","pumila",NA,"N"
"Pyrus","communis L.","Pyrus_complex","Y"
"Prunus","insititia","Prunus_complex","Y"
"Prunus","cerasus","Prunus_complex","Y"
"Sorbus","intermedia","Sorbus_complex","Y"
