ID,NAME,cat
1, de wit,cookcronje
4, powell jr,
5, van den putte,cookcronje
8,ameglio,bonhomme
9,andersen,
10,ankerst,
146,ashby,
147,basler,
13,beck,
2,bellen,cookcronje
18,benito,heide
150,bernier,
151,biasi,
25,bigras,
153,biran,
27,black-samuelsson,heide
28,blackburn,
29,boeken,
30,bonhomme,bonhomme
158,boyer,
159,bradford,
34,brennan,chuinejones
35,bylund,
161,caffarra,chuinejones
39,calamassi,heide
152,calme,
162,campbell,
43,campioli,
44,campion,
45,cannell,
23,carvalho,
47,castro-d\iez,
48,castro-diez,
143,charrier,bonhomme
166,chavarria,herter
36,chuine,chuinejones
56,cook,cookcronje
3,cronje,cookcronje
157,dantec,bonhomme
62,darnell,
169,de vries,
65,deckmyn,
58,delzon,bonhomme
66,dhar,
67,dietrichson,
37,donnelly,chuinejones
68,draper,
63,dubois,
173,durner,
70,edwards,
71,estrella,
72,falusi,heide
73,floistad,hanninenh
74,foffova,
163,fu,
75,fuchigami,
76,fuhrer,
78,fujisaki,
79,furnier,
154,ghelardini,heide
180,gianfagna,
175,gomory,
85,gordon,chuinejones
174,granhus,hanninenh
87,grazzini,
88,grimstad,heide
176,guak,
181,guerriero,
164,gunderson,
156,gutterman,
95,hackett,
96,hakkinen,hanninenh
26,halevy,
97,hamner,
32,hancock,
98,hanninenh,hanninenh
99,hanninenr,hanninenh
92,hanson,
19,havelange,
186,hawerroth,herter
170,hawkins,
40,hebert,
14,heide,heide
105,heino,
50,herter,herter
106,hillis,chuinejones
107,hofler,
20,houssa,
179,howe,
109,igeland,hanninenh
55,jacobs,cookcronje
110,jalonen,hanninenh
77,janssens,
111,johnsen,hanninenh
38,jones,chuinejones
112,junttila,hanninenh
113,kaikuranta,hanninenh
160,karlsson,
6,keulemans,cookcronje
108,klevorn,
12,korner,
116,koski,hanninenh
83,krajmerova,
59,kremer,bonhomme
49,lacointe,bonhomme
117,laine,hanninenh
145,laube,
120,lechowicz,
121,leinonen,hanninenh
21,lejeune,
100,leonetti,herter
189,li,hanninenh
188,linkosalo,
84,longauer,
60,louvet,bonhomme
125,lu,
190,man,
191,manson,
101,marafon,herter
41,margolis,
82,mehlenbacher,
118,menzel,
127,mergen,
128,mizrahi,
167,morin,chuinejones
80,myking,heide
15,myrheim,heide
193,nerd,
114,neuvonen,
131,nilsen,hanninenh
178,nishimoto,
132,oberbauer,
93,ohara,
155,okie,
89,olsyzk,
16,opstad,heide
11,others,
144,pagter,
184,partanen,hanninenh
22,petitjean,
102,petri,herter
69,poling,
194,pop,
103,prestrud,heide
122,puhakainen,hanninenh
135,rallo,
195,ramos,
51,raseira,herter
52,reisser,herter
17,renner,heide
133,repo,hanninenh
185,rinne,hanninenh
53,rodrigues,herter
129,roy,chuinejones
177,runger,
136,saarelainen,
57,sadie,cookcronje
81,santini,heide
165,sanz-perez,
91,scalabrelli,
196,schnabel,
54,silva,herter
187,skre,hanninenh
171,skuterud,
64,smeets,
46,smith,
126,snelgar,
86,sogaard,hanninenh
130,sonie,chuinejones
104,sonsteby,heide
31,south,
168,spann,
119,sparks,
172,spiers,
134,starr,
7,steyn,cookcronje
42,sugano,
141,svenning,heide
142,swartz,
183,takimoto,
139,taulavuori,hanninenh
148,thielges,
90,tingey,
115,tjus,
137,valladares,
182,verheul,heide
123,vihera-aarnio,hanninenh
61,vitasse,bonhomme
94,walker,
138,wample,
33,warner,
124,welling,hanninenh
140,williamson,
192,worrall,
24,zanette,
149,zohner,heide
