"datasetid","authornum","fullname","author"
"ashby62","aut1","Ashby, W. C. ","Ashby"
"basler14","aut1","Basler, David ","Basler"
"basler12","aut1","Basler, David ","Basler"
"bernier81","aut1","Bernier, Georges","Bernier"
"biasi12","aut1","Biasi, L. A.","Biasi"
"biran73","aut1","Biran, I. ","Biran"
"boyer","aut1","Boyer, J. N. ","Boyer"
"bradford10","aut1","Bradford, Emma","Bradford"
"caffarra11a","aut1","Caffarra, Amelia ","Caffarra"
"caffarra11b","aut1","Caffarra, Amelia","Caffarra"
"calme94","aut1","Calme, Sophie","Calme"
"campbell75","aut1","Campbell, Robert K. ","Campbell"
"cannell83","aut1","Cannell, M. G. R. ","Cannell"
"cannell83","aut1","Cannell, M. G. R. ","Cannell"
"charrier11","aut1","Charrier, Guillaume","Charrier"
"chavarria09","aut1","Chavarria, Geraldo","Chavarria"
"cook00b","aut1","Cook, C. ","Cook"
"cook05","aut1","Cook, Nigel C.","Cook"
"cronje03","aut1","Cronje, P. J. R.","Cronje"
"dantec14","aut1","Dantec, Cecile F.","Dantec"
"devries82","aut1","De Vries, D. P.","De Vries"
"durner84","aut1","Durner, Edward F. ","Durner"
"falusi03","aut1","Falusi, Mauro ","Falusi"
"falusi97","aut1","Falusi, M. ","Falusi"
"falusi96","aut1","Falusi, M. ","Falusi"
"falusi90","aut1","Falusi, M. ","Falusi"
"fu13","aut1","Fu, Yongshuo H.","Fu"
"gomory15","aut1","Gomory, D.","Gomory"
"gansert02","aut1","Gansert, Dirk","Gansert"
"ghelardini10","aut1","Ghelardini, Luisa","Ghelardini"
"gianfagna85","aut1","Gianfagna, T. J. ","Gianfagna"
"granhus09","aut1","Granhus, Aksel","Granhus"
"guak98","aut1","Guak, Sunghee","Guak"
"guerriero90","aut1","Guerriero, P.","Guerriero"
"gunderson12","aut1","Gunderson, Carla A.","Gunderson"
"gutterman88","aut1","Gutterman, Yitzchak ","Gutterman"
"hawerroth13","aut1","Hawerroth, Fernando Jose","Hawerroth"
"hawkins12","aut1","Hawkins, Christopher D. B. ","Hawkins"
"heide03","aut1","Heide, O. M.","Heide"
"heide01","aut1","Heide, O. M.","Heide"
"heide93","aut1","Heide, O. M.","Heide"
"heide93a","aut1","Heide, O. M.","Heide"
"heide05","aut1","Heide, O. M. ","Heide"
"heide11","aut1","Heide, Ola M.","Heide"
"heide08","aut1","Heide, Ola M.","Heide"
"heide77","aut1","HEIDE, O. L. A.  M.","HEIDE"
"heide12","aut1","Heide, Ola M. ","Heide"
"heide07","aut1","Heide, Ola M. ","Heide"
"heide15","aut1","Heide, O. M. ","Heide"
"howe95","aut1","Howe, Glenn T.","Howe"
"jones12","aut1","Jones, H. G.","Jones"
"junttila12","aut1","Junttila, Olavi ","Junttila"
"karlsson03","aut1","Karlsson, P. S.","Karlsson"
"kinet93","aut1","Kinet, J. M.","Kinet"
"lamb37","aut1","Lamb, Robert C.","Lamb"
"laube14a","aut1","Laube, Julia","Laube"
"laube14b","aut1","Laube, Julia","Laube"
"li05","aut1","Li, Chunyang","Li"
"linkosalo06","aut1","Linkosalo, Tapio ","Linkosalo"
"lyndon77","aut1","Lyndon, R. F.","Lyndon"
"man10","aut1","Man, Rongzhou ","Man"
"manson91","aut1","Manson, P. I. ","Manson"
"morin10","aut1","Morin, Xavier","Morin"
"myking98","aut1","Myking, Tor","Myking"
"myking97","aut1","Myking, Tor","Myking"
"myking95","aut1","Myking, Tor ","Myking"
"nerd95","aut1","Nerd, A. ","Nerd"
"nienstaedt66","aut1","Nienstaedt, Hans","Nienstaedt"
"nishimoto95","aut1","Nishimoto, N. ","Nishimoto"
"okie11","aut1","Okie, William R. ","Okie"
"pagter15","aut1","Pagter, Majken","Pagter"
"partanen05","aut1","Partanen, Jouni","Partanen"
"partanen98","aut1","Partanen, Jouni","Partanen"
"partanen01","aut1","Partanen, Jouni","Partanen"
"pettersen71","aut1","Pettersen, H.","Pettersen"
"pop2000","aut1","Pop, Eric W.","Pop"
"runger81","aut1","Runger,  W.","Runger"
"ramos99","aut1","Ramos, A. ","Ramos"
"rinne97","aut1","Rinne, P.","Rinne"
"rinne94","aut1","Rinne, Paivi","Rinne"
"ruesink98","aut1","Ruesink, J. B.","Ruesink"
"sogaard08","aut1","Sogaard, Gunnhild","Sogaard"
"sonsteby13","aut1","Sonsteby, A. ","Sonsteby"
"sonsteby14","aut1","Sonsteby, Anita ","Sonsteby"
"sonsteby06","aut1","Sonsteby, Anita ","Sonsteby"
"sonsteby09a","aut1","sonsteby09a","sonsteby09a"
"sanzperez10","aut1","Sanz-Perez, Virginia ","Sanz-Perez"
"sanzperez09","aut1","Sanz-Perez, V.","Sanz-Perez"
"schnabel87","aut1","Schnabel, Barbara J. ","Schnabel"
"skre08","aut1","Skre, Oddvar","Skre"
"skuterud94","aut1","Skuterud, Roar","Skuterud"
"smeets82","aut1","Smeets, L.","Smeets"
"smeets80","aut1","Smeets, L.","Smeets"
"spann04","aut1","Spann, Timothy M.","Spann"
"spiers74","aut1","Spiers, J. M. ","Spiers"
"swartz81","aut1","Swartz, H. J. ","Swartz"
"takimoto64","aut1","Takimoto, Atsushi ","Takimoto"
"thielges75","aut1","Thielges, B. A. ","Thielges"
"verheul07","aut1","Verheul, Michel J.","Verheul"
"viheraaarnio06","aut1","Vihera-Aarnio,  Anneli","Vihera-Aarnio"
"webb78","aut1","Webb, D.  Paul","Webb"
"worrall67","aut1","Worrall, John ","Worrall"
"yazdaniha64","aut1","Yazdaniha, Ataollah","Yazdaniha"
"zohner16","aut1","Zohner, C. M","Zohner"
"ashby62","aut2"," others"," others"
"basler14","aut2"," Korner"," Korner"
"basler12","aut2"," Korner"," Korner"
"bernier81","aut2"," Havelange, Andree"," Havelange"
"biasi12","aut2"," Zanette, F. "," Zanette"
"biran73","aut2"," Halevy, A. H."," Halevy"
"boyer","aut2"," South, D. B."," South"
"bradford10","aut2"," Hancock, James F. "," Hancock"
"caffarra11a","aut2"," Donnelly, Alison"," Donnelly"
"caffarra11b","aut2"," Donnelly, Alison"," Donnelly"
"calme94","aut2"," Bigras, Francine J."," Bigras"
"campbell75","aut2"," Sugano, Albert I."," Sugano"
"cannell83","aut2"," Smith, R. I."," Smith"
"cannell83","aut2"," Smith, R. I."," Smith"
"charrier11","aut2"," Bonhomme, Marc"," Bonhomme"
"chavarria09","aut2"," Herter, Flavio Gilberto"," Herter"
"cook00b","aut2"," Jacobs, Gerard"," Jacobs"
"cook05","aut2"," Bellen, An"," Bellen"
"cronje03","aut2"," Jacobs, G."," Jacobs"
"dantec14","aut2"," Vitasse, Yann"," Vitasse"
"devries82","aut2"," Smeets, L. "," Smeets"
"durner84","aut2"," Poling, E.  Barclay"," Poling"
"falusi03","aut2"," Calamassi, Roberto"," Calamassi"
"falusi97","aut2"," Calamassi, R."," Calamassi"
"falusi96","aut2"," Calamassi, R."," Calamassi"
"falusi90","aut2"," Calamassi, R."," Calamassi"
"fu13","aut2"," Campioli, Matteo"," Campioli"
"gomory15","aut2"," Foffova, E."," Foffova"
"gansert02","aut2","",""
"ghelardini10","aut2"," Santini, Alberto"," Santini"
"gianfagna85","aut2"," Mehlenbacher, S. A."," Mehlenbacher"
"granhus09","aut2"," FlOistad, Inger Sundheim "," FlOistad"
"guak98","aut2"," Olsyzk, David M."," Olsyzk"
"guerriero90","aut2"," Scalabrelli, G. "," Scalabrelli"
"gunderson12","aut2"," Edwards, Nelson T."," Edwards"
"gutterman88","aut2"," Boeken, Bertrand"," Boeken"
"hawerroth13","aut2"," Herter, Flavio Gilberto"," Herter"
"hawkins12","aut2"," Dhar, Amalesh"," Dhar"
"heide03","aut2","",""
"heide01","aut2","",""
"heide93","aut2","",""
"heide93a","aut2","",""
"heide05","aut2"," Prestrud, A. K."," Prestrud"
"heide11","aut2","",""
"heide08","aut2","",""
"heide77","aut2","",""
"heide12","aut2"," Sonsteby, Anita"," Sonsteby"
"heide07","aut2"," Sonsteby, Anita"," Sonsteby"
"heide15","aut2"," Sonsteby, A."," Sonsteby"
"howe95","aut2"," Hackett, Wesley P."," Hackett"
"jones12","aut2"," Hillis, R. M."," Hillis"
"junttila12","aut2"," HanninenH, H."," HanninenH"
"karlsson03","aut2"," Bylund, H."," Bylund"
"kinet93","aut2","",""
"lamb37","aut2","",""
"laube14a","aut2"," Sparks, Tim H."," Sparks"
"laube14b","aut2"," Sparks, Tim H."," Sparks"
"li05","aut2"," Welling, Annikki"," Welling"
"linkosalo06","aut2"," Lechowicz, Martin J."," Lechowicz"
"lyndon77","aut2","",""
"man10","aut2"," Lu, Pengxin"," Lu"
"manson91","aut2"," Snelgar, W. P."," Snelgar"
"morin10","aut2"," Roy, Jacques"," Roy"
"myking98","aut2","",""
"myking97","aut2","",""
"myking95","aut2"," Heide, O. M."," Heide"
"nerd95","aut2"," Mizrahi, Y."," Mizrahi"
"nienstaedt66","aut2","",""
"nishimoto95","aut2"," Fujisaki, M."," Fujisaki"
"okie11","aut2"," Blackburn, Bryan"," Blackburn"
"pagter15","aut2"," Andersen, Uffe Brandt "," Andersen"
"partanen05","aut2"," HanninenH, Heikki"," HanninenH"
"partanen98","aut2"," Koski, Veikko "," Koski"
"partanen01","aut2"," Leinonen, Ilkka "," Leinonen"
"pettersen71","aut2","",""
"pop2000","aut2"," Oberbauer, Steven F. "," Oberbauer"
"runger81","aut2"," Fuhrer"," Fuhrer"
"ramos99","aut2"," Rallo, L."," Rallo"
"rinne97","aut2"," HanninenH,  H."," HanninenH"
"rinne94","aut2"," Saarelainen, Annikki "," Saarelainen"
"ruesink98","aut2","",""
"sogaard08","aut2"," Johnsen, Oystein"," Johnsen"
"sonsteby13","aut2"," Heide, O. M."," Heide"
"sonsteby14","aut2"," Heide, Ola M."," Heide"
"sonsteby06","aut2"," Heide, Ola M."," Heide"
"sonsteby09a","aut2","sonsteby09a","sonsteby09a"
"sanzperez10","aut2"," Castro-D\iez, Pilar"," Castro-D\iez"
"sanzperez09","aut2"," Castro-Diez, P. "," Castro-Diez"
"schnabel87","aut2"," Wample, Robert L."," Wample"
"skre08","aut2"," Taulavuori, Kari"," Taulavuori"
"skuterud94","aut2"," Dietrichson, Jon "," Dietrichson"
"smeets82","aut2","",""
"smeets80","aut2","",""
"spann04","aut2"," Williamson, Jeffrey G. "," Williamson"
"spiers74","aut2"," Draper, A. D."," Draper"
"swartz81","aut2"," Powell Jr, L. E."," Powell Jr"
"takimoto64","aut2"," Hamner, Karl C."," Hamner"
"thielges75","aut2"," Beck, R. C."," Beck"
"verheul07","aut2"," Sonsteby, Anita "," Sonsteby"
"viheraaarnio06","aut2"," Hakkinen,  Risto "," Hakkinen"
"webb78","aut2","",""
"worrall67","aut2"," Mergen, Franccois"," Mergen"
"yazdaniha64","aut2","",""
"zohner16","aut2","Benito, B. M.","Benito"
"ashby62","aut3","",""
"basler14","aut3","",""
"basler12","aut3","",""
"bernier81","aut3"," Houssa, Claude"," Houssa"
"biasi12","aut3"," Carvalho, R. I. N."," Carvalho"
"biran73","aut3","",""
"boyer","aut3","",""
"bradford10","aut3"," Warner, Ryan M."," Warner"
"caffarra11a","aut3","",""
"caffarra11b","aut3"," Chuine, Isabelle "," Chuine"
"calme94","aut3"," Margolis, Hank A. "," Margolis"
"campbell75","aut3","",""
"cannell83","aut3","",""
"cannell83","aut3","",""
"charrier11","aut3"," Lacointe, Andre "," Lacointe"
"chavarria09","aut3"," Raseira, Maria do Carmo Bassols"," Raseira"
"cook00b","aut3","",""
"cook05","aut3"," Cronje, Paul J. R."," Cronje"
"cronje03","aut3"," Sadie, A. "," Sadie"
"dantec14","aut3"," Bonhomme, Marc"," Bonhomme"
"devries82","aut3"," Dubois, Lidwien A. M."," Dubois"
"durner84","aut3","",""
"falusi03","aut3","",""
"falusi97","aut3","",""
"falusi96","aut3","",""
"falusi90","aut3","",""
"fu13","aut3"," Deckmyn, Gaby "," Deckmyn"
"gomory15","aut3"," Longauer,  Roma"," Longauer"
"gansert02","aut3","",""
"ghelardini10","aut3"," Black-Samuelsson, Sanna"," Black-Samuelsson"
"gianfagna85","aut3","",""
"granhus09","aut3"," SOgaard, Gunnhild"," SOgaard"
"guak98","aut3"," Fuchigami, Leslie H. "," Fuchigami"
