"key","freq","V1","V2"
"fujanssens",1,"janssens","fu"
"fujisakinishimoto",1,"fujisaki","nishimoto"
"furnierhackett",1,"furnier","hackett"
"furnierhowe",1,"furnier","howe"
"furnierklevorn",1,"furnier","klevorn"
"ghelardinimyking",1,"myking","ghelardini"
"ghelardinisantini",1,"santini","ghelardini"
"gianfagnamehlenbacher",1,"mehlenbacher","gianfagna"
"gomorykrajmerova",1,"krajmerova","gomory"
"gomorylongauer",1,"longauer","gomory"
"gordonhillis",1,"gordon","hillis"
"gordonjones",1,"gordon","jones"
"granhussogaard",1,"sogaard","granhus"
"grazziniguerriero",1,"grazzini","guerriero"
"grazziniscalabrelli",1,"grazzini","scalabrelli"
"grimstadsonsteby",1,"grimstad","sonsteby"
"grimstadverheul",1,"grimstad","verheul"
"guakolsyzk",1,"olsyzk","guak"
"guaktingey",1,"tingey","guak"
"guerrieroscalabrelli",1,"scalabrelli","guerriero"
"gundersonhanson",1,"hanson","gunderson"
"gundersonohara",1,"ohara","gunderson"
"gundersonwalker",1,"walker","gunderson"
"hacketthowe",1,"hackett","howe"
"hackettklevorn",1,"hackett","klevorn"
"hakkinenjunttila",1,"hakkinen","junttila"
"hakkinenvihera-aarnio",1,"hakkinen","vihera-aarnio"
"hamnertakimoto",1,"hamner","takimoto"
"hancockwarner",1,"hancock","warner"
"hanninenhhanninenr",1,"hanninenh","hanninenr"
"hanninenhjalonen",1,"hanninenh","jalonen"
"hanninenhjunttila",1,"hanninenh","junttila"
"hanninenhkaikuranta",1,"hanninenh","kaikuranta"
"hanninenhkoski",1,"hanninenh","koski"
"hanninenhpartanen",2,"hanninenh","partanen"
"hanninenhrepo",1,"hanninenh","repo"
"hanninenhrinne",1,"hanninenh","rinne"
"hanninenrpartanen",1,"hanninenr","partanen"
"hansonohara",1,"hanson","ohara"
"hansonwalker",1,"hanson","walker"
"havelangehoussa",1,"havelange","houssa"
"havelangelejeune",1,"havelange","lejeune"
"havelangepetitjean",1,"havelange","petitjean"
"hawerrothherter",1,"herter","hawerroth"
"hawerrothleonetti",1,"leonetti","hawerroth"
"hawerrothmarafon",1,"marafon","hawerroth"
"hawerrothpetri",1,"petri","hawerroth"
"hebertmargolis",1,"hebert","margolis"
"heidemyking",1,"heide","myking"
"heidemyrheim",1,"heide","myrheim"
"heideopstad",1,"heide","opstad"
"heideprestrud",1,"prestrud","heide"
"heiderenner",1,"heide","renner"
"heidesonsteby",7,"sonsteby","heide"
"heidesvenning",1,"heide","svenning"
"heidezohner",1,"heide","zohner"
"heinokarlsson",1,"heino","karlsson"
"heinoneuvonen",1,"heino","neuvonen"
"heinotjus",1,"heino","tjus"
"herterleonetti",1,"herter","leonetti"
"hertermarafon",1,"herter","marafon"
"herterpetri",1,"herter","petri"
"herterraseira",1,"herter","raseira"
"herterreisser",1,"herter","reisser"
"herterrodrigues",1,"herter","rodrigues"
"hertersilva",1,"herter","silva"
"hillisjones",1,"hillis","jones"
"hoflerlaube",1,"hofler","laube"
"hoflermenzel",1,"hofler","menzel"
"hoflersparks",1,"hofler","sparks"
"houssalejeune",1,"houssa","lejeune"
"houssapetitjean",1,"houssa","petitjean"
"howeklevorn",1,"klevorn","howe"
"igelandlaine",1,"igeland","laine"
"igelandnilsen",1,"igeland","nilsen"
"igelandskre",1,"igeland","skre"
"igelandtaulavuori",2,"igeland","taulavuori"
"jacobssadie",1,"jacobs","sadie"
"jalonenkaikuranta",1,"jalonen","kaikuranta"
"jalonenrepo",1,"jalonen","repo"
"jalonenrinne",1,"jalonen","rinne"
"johnsenjunttila",1,"johnsen","junttila"
"johnsennilsen",1,"johnsen","nilsen"
"johnsensogaard",1,"johnsen","sogaard"
"junttilanilsen",1,"junttila","nilsen"
"junttilarinne",1,"junttila","rinne"
"junttilasaarelainen",1,"junttila","saarelainen"
"junttilasogaard",1,"junttila","sogaard"
"junttilavihera-aarnio",1,"junttila","vihera-aarnio"
"kaikurantarepo",1,"kaikuranta","repo"
"kaikurantarinne",1,"kaikuranta","rinne"
"karlssonneuvonen",1,"neuvonen","karlsson"
"karlssontjus",1,"tjus","karlsson"
"keulemanssteyn",1,"keulemans","steyn"
"koskipartanen",1,"koski","partanen"
"krajmerovalongauer",1,"krajmerova","longauer"
"kremerlouvet",1,"kremer","louvet"
