"V1","V2","V3","V4","V5"
"28.96","27.68","30.25","25.14","32.57"
"-4.68","-5.43","-3.95","-6.81","-2.53"
"-2.9","-4.04","-1.72","-6.5","0.49"
"-9.46","-10.81","-8.11","-13.34","-5.57"
"9.03","8","9.93","6.6","12.25"
"4.35","3.69","4.93","2.77","6.42"
"6.87","5.62","7.91","4.07","10.72"
"8.32","7.21","9.23","5.79","11.69"
"16.34","16.12","16.57","15.73","16.97"
"30","","","",""
