,mean,25%,75%,2.50%,97.50%
$\mu_{\alpha}$,32.42,29.68,35.26,23.71,40.65
$\beta_{forcing}$,-0.22,-1.1,0.64,-2.7,2.29
$\beta_{photoperiod}$,-1.9,-2.48,-1.33,-3.63,-0.19
$\beta_{chilling}$,-8.19,-8.72,-7.66,-9.75,-6.62
$\sigma_{\alpha}$,13.35,11.24,15,8.78,20.36
$\sigma_{y}$,20.58,20.24,20.93,19.62,21.61
$\beta_{weinberger}$,4.27,3.12,5.41,0.86,7.53
$\beta_{chilling x weinberger}$,1.72,0.33,3.11,-2.31,5.74
$\beta_{forcing x weinberger}$,-3.24,-4.34,-2.11,-6.41,-0.14
$\beta_{photoperiod x weinberger}$,0.56,-0.49,1.6,-2.41,3.58
$N_{sp}$,11,,,,
