"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"$\mu_{\alpha}$","25.29","0.17","4.87","15.26","22.09","25.45","28.49","34.67","788","1"
"$\beta_{forcing}$","-9.31","0.11","3.09","-15.43","-11.24","-9.3","-7.35","-2.87","841","1"
"$\beta_{photoperiod}$","-1.53","0.08","2.96","-7.37","-3.45","-1.56","0.38","4.25","1346","1"
"$\beta_{chilling}$","-9.64","0.09","2.98","-15.79","-11.4","-9.56","-7.66","-4.14","1121","1"
"$\beta_{stage}$","24.2","0.27","7.45","8.91","19.45","24.06","28.88","39.81","789","1.01"
"$\sigma_{y}$","16.52","0.01","0.41","15.71","16.23","16.52","16.79","17.35","3691","1"
"$N_{sp}$","9","","","","","","","","",""
