"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Leaf carbon/nitrogen (C/N) ratio"
"1","White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",927718,"23.8"
"2","White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",927719,"25.6"
"3","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927720,"25.6"
"4","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927721,"28.6"
"5","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927722,"32.5"
"6","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927723,"23.5"
"7","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927724,"25.8"
"8","White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",927725,"31.1"
"9","White","Michael",79,"BIOME-BGC Parameterization Database","Alnus glutinosa",927726,"18.5"
"10","White","Michael",79,"BIOME-BGC Parameterization Database","Alnus incana",927727,"16.3"
"11","White","Michael",79,"BIOME-BGC Parameterization Database","Betula papyrifera",927729,"28.7"
"12","White","Michael",79,"BIOME-BGC Parameterization Database","Fagus grandifolia",927736,"26.9"
"13","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927688,"26"
"14","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927689,"27.8"
"15","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927690,"33.6"
"16","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927691,"26.3"
"17","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927692,"29.8"
"18","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927693,"23.7"
"19","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927694,"18.9"
"20","White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",927695,"20"
"21","White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",927664,"58.8"
"22","White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",927665,"28.1"
"23","White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",927683,"50"
"24","White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",927684,"40"
"25","White","Michael",79,"BIOME-BGC Parameterization Database","Quercus alba",927748,"27.2"
"26","White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",927752,"16.8"
"27","White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",927753,"23.7"
"28","White","Michael",79,"BIOME-BGC Parameterization Database","Quercus rubra",927754,"33.1"
"29","White","Michael",79,"BIOME-BGC Parameterization Database","Quercus velutina",927755,"34"
