"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Height of measurement from the ground / height from which sample was collected","Latitude","Leaf area index of the site (LAI)","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Plant height vegetative","Reference / source","Stomata conductance to water vapour per leaf area"
"1","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","4.7",NA,NA,"0.04"
"2","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","3.49",NA,NA,"0.03"
"3","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","12.74",NA,NA,"0.11"
"4","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","3.42",NA,NA,"0.03"
"5","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","9.85",NA,NA,"0.09"
"6","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","7.59",NA,NA,"0.07"
"7","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.28",NA,NA,"0.05"
"8","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","6.2",NA,NA,"0.06"
"9","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","7.17",NA,NA,"0.07"
"10","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","7.03",NA,NA,"0.07"
"11","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.02",NA,NA,"0.05"
"12","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","4",NA,NA,"0.04"
"13","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","6.99",NA,NA,"0.07"
"14","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","3.98",NA,NA,"0.04"
"15","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.93",NA,NA,"0.06"
"16","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","2.96",NA,NA,"0.03"
"17","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","7.82",NA,NA,"0.08"
"18","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","12.49",NA,NA,"0.13"
"19","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.74",NA,NA,"0.06"
"20","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.62",NA,NA,"0.06"
"21","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","1.87",NA,NA,"0.02"
"22","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","5.53",NA,NA,"0.06"
"23","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","8.24",NA,NA,"0.09"
"24","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","4.57",NA,NA,"0.05"
"25","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","9.11",NA,NA,"0.1"
"26","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","11.82",NA,NA,"0.13"
"27","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","4.54",NA,NA,"0.05"
"28","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","2.69",NA,NA,"0.03"
"29","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","6.26",NA,NA,"0.07"
"30","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","10.65",NA,NA,"0.12"
"31","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","7.88",NA,NA,"0.09"
"32","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","6.99",NA,NA,"0.08"
"33","Lin","Yan-Shih",436,"Global Leaf Gas Exchange Database (I)","Acer rubrum",NA,"42.54",NA,"-72.17","6.11",NA,NA,"0.07"
