"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Latitude","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Reference / source","Stomata conductance to water vapour per leaf area"
"1","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.37","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.07"
"2","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","9.17","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.14"
"3","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","9.06","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.11"
"4","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.23","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.1"
"5","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","8.76","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.11"
"6","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.34","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.1"
"7","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.96","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.07"
"8","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.32","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.09"
"9","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","1.34","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.02"
"10","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","6","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.08"
"11","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.25","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.04"
"12","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.81","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.09"
"13","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","10.79","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.15"
"14","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","9.35","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.14"
"15","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","11.04","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.17"
"16","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","12.46","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.23"
"17","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.06","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.1"
"18","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.62","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"19","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.65","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.07"
"20","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","6.38","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.09"
"21","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.53","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.11"
"22","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.65","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"23","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.02","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.05"
"24","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.53","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"25","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.85","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.11"
"26","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.19","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.04"
"27","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.85","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.05"
"28","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.34","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.05"
"29","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.89","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.12"
"30","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","6.99","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.08"
"31","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.41","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.07"
"32","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.86","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.1"
"33","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.42","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.03"
"34","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","3.49","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.04"
"35","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.82","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.07"
"36","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","12.26","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.15"
"37","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","9.34","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.12"
"38","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","11.03","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.16"
"39","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","11.99","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.19"
"40","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","10.19","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.16"
"41","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","12.49","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.13"
"42","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","10.11","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.13"
"43","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.7","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.04"
"44","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","7.88","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.09"
"45","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","4.04","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"46","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","-0.08","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.01"
"47","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","1.67","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.03"
"48","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","1.87","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.02"
"49","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","0.15","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.01"
"50","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.93","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"51","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.74","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"52","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","5.93","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.06"
"53","Medlyn","Belinda",437,"Global Leaf Gas Exchange Database (II)","Acer rubrum","42.54","-72.17","2.96","Bassow & Bazzaz 1999 Harvard Forest Archive hf059-01","0.03"
