"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Altitude","Average tree height","Diameter at base","Latitude","Leaf carbon content per dry mass","Leaf photosynthesis at saturating light and saturating CO2 per leaf area (Amax)","Light-saturated rate of photosynthesis","Longitude","Specific leaf area (SLA) per fresh weight","Stem diameter at base of crown (seedlings)","Stem diameter at breast height (1.3 m","stomata conductance in the limit of saturating light","stomata conductance to water vapour under conditions of light saturation"
"1","Medlyn","Belinda",12,"ECOCRAFT","Abies alba","495",NA,NA,"50 17 N",NA,NA,NA,"5 55 E",NA,NA,"diameter at breast height (saplings and older)",NA,NA
"2","Medlyn","Belinda",12,"ECOCRAFT","Abies alba","495",NA,NA,"50 17 N",NA,NA,NA,"5 55 E",NA,NA,NA,NA,NA
"3","Medlyn","Belinda",12,"ECOCRAFT","Abies alba","495","28.6752",NA,"50 17 N",NA,NA,NA,"5 55 E",NA,NA,NA,NA,NA
"4","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"14.48","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"5","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"16.19","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"6","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"16.4","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"7","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"14.28","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"8","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"14.69","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"9","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"16.12","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"10","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"16.26","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
"11","Medlyn","Belinda",12,"ECOCRAFT","Alnus glutinosa","300",NA,"16.14","56 12 N",NA,NA,NA,"00 36 W",NA,NA,NA,NA,NA
