"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Leaf lifespan (longevity","Plant height (unspecified if vegetative or reproductive)","Reference / source","Stomata density on lower surface","Stomata density on upper surface","Woodiness"
"1","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596369,NA,NA,"Stace",NA,NA,"woody"
"2","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596371,NA,"5500","Mitchell",NA,NA,NA
"3","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596372,NA,"2500","Brickell",NA,NA,NA
"4","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596373,NA,"1500","Brickell",NA,NA,NA
"5","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596388,NA,NA,"Robakowski","53",NA,NA
"6","Ford","Henry",174,"Ecological Flora of the British Isles","Abies alba",1596389,NA,NA,"Robakowski","64",NA,NA
"7","Ford","Henry",174,"Ecological Flora of the British Isles","Acer pseudoplatanus",1454437,NA,NA,"Clapham AR",NA,NA,"woody"
"8","Ford","Henry",174,"Ecological Flora of the British Isles","Acer pseudoplatanus",1454439,NA,"3000","Clapham AR",NA,NA,NA
"9","Ford","Henry",174,"Ecological Flora of the British Isles","Acer pseudoplatanus",1454440,NA,"1800","Jones EW 1944 Journal of Ecology 32 215-252",NA,NA,NA
"10","Ford","Henry",174,"Ecological Flora of the British Isles","Acer pseudoplatanus",1454454,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65","400",NA,NA
"11","Ford","Henry",174,"Ecological Flora of the British Isles","Aesculus hippocastanum",1595977,NA,NA,"Clapham AR",NA,NA,"woody"
"12","Ford","Henry",174,"Ecological Flora of the British Isles","Aesculus hippocastanum",1595979,NA,"3900","Stace CA 1992    New Flora of the British Isles",NA,NA,NA
"13","Ford","Henry",174,"Ecological Flora of the British Isles","Aesculus hippocastanum",1595980,NA,"25","Stace CA 1992    New Flora of the British Isles",NA,NA,NA
"14","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458477,NA,NA,"Clapham AR",NA,NA,"woody"
"15","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458479,NA,"2600","Clapham AR",NA,NA,NA
"16","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458480,NA,"100","McVean DN 1953 Journal of Ecology 41 447-466",NA,NA,NA
"17","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458481,NA,"2000","Clapham AR",NA,NA,NA
"18","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458482,NA,"300","McVean DN 1953 Journal of Ecology 41 447-466",NA,NA,NA
"19","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458495,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65","108",NA,NA
"20","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458498,"LL)",NA,"McVean DN 1953 Journal of Ecology 41 447-466",NA,NA,NA
"21","Ford","Henry",174,"Ecological Flora of the British Isles","Alnus glutinosa",1458553,NA,"2000","Thompson K",NA,NA,NA
"22","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pendula",1466678,NA,NA,"Clapham AR",NA,NA,"woody"
"23","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pendula",1466680,NA,"3000","Hegi G 1981    Illustrierte Flora von Mitteleuropa",NA,NA,NA
"24","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pendula",1466681,NA,"2500","Clapham AR",NA,NA,NA
"25","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466789,NA,NA,"Clapham AR",NA,NA,"woody"
"26","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466791,NA,"2500","Atkinson MD 1992 Journal of Ecology 80 837-870",NA,NA,NA
"27","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466792,NA,"2000","Clapham AR",NA,NA,NA
"28","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466807,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65","147",NA,NA
"29","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466808,NA,NA,"Atkinson MD 1992 Journal of Ecology 80 837-870","61",NA,NA
"30","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466809,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65",NA,"0",NA
"31","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466811,"LL)",NA,"Escudero A et al 1992 Oecologia 90 80-87",NA,NA,NA
"32","Ford","Henry",174,"Ecological Flora of the British Isles","Betula pubescens",1466882,NA,NA,"M O Hill",NA,"0",NA
"33","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478253,NA,NA,"Clapham AR",NA,NA,"woody"
"34","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478255,NA,"3000","Christy M 1924 Journal of Ecology 12 39-94",NA,NA,NA
"35","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478256,NA,"3000","Clapham AR",NA,NA,NA
"36","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478257,NA,"600","Hegi G 1981    Illustrierte Flora von Mitteleuropa",NA,NA,NA
"37","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478271,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65","160",NA,NA
"38","Ford","Henry",174,"Ecological Flora of the British Isles","Carpinus betulus",1478272,NA,NA,"Salisbury EJ 1928 Philosophical Transactions of the Royal Society B216 1-65",NA,"0.5",NA
"39","Ford","Henry",174,"Ecological Flora of the British Isles","Corylus avellana",1486579,NA,NA,"Clapham AR",NA,NA,"woody"
"40","Ford","Henry",174,"Ecological Flora of the British Isles","Corylus avellana",1486581,NA,"2000","Hegi G 1981    Illustrierte Flora von Mitteleuropa",NA,NA,NA
"41","Ford","Henry",174,"Ecological Flora of the British Isles","Corylus avellana",1486582,NA,"600","Clapham AR",NA,NA,NA
