"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Crown depth","Dataset reference (citation)","Latitude","Longitude","Mean annual temperature (MAT)","Plant height vegetative","Reference DOI (digital object identifier)","Stem diameter at base (basal diameter)","Stem diameter at breast height (1.3 m"
"14","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pensylvanicum",3027120,NA,"http://doi.org/10.2307/1942313","44","-72","6","10.3","10.2307/1942313",NA,"d.bh"
"15","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pensylvanicum",3027121,NA,"http://doi.org/10.2307/1942313","44","-72","6","9.3","10.2307/1942313",NA,"d.bh"
"16","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020068,NA,"http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","0.83","10.1007/s10342-008-0239-1","5.00E-03",NA
"17","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020069,"0.22","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","0.97","10.1007/s10342-008-0239-1","6.00E-03",NA
"18","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020070,"0.46","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.3","10.1007/s10342-008-0239-1","7.00E-03",NA
"19","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020071,"0.72","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.1","10.1007/s10342-008-0239-1","5.00E-03",NA
"20","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020072,"0.45","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.43","10.1007/s10342-008-0239-1","6.00E-03",NA
"21","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020073,"0.4","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.21","10.1007/s10342-008-0239-1","6.00E-03",NA
"22","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020074,"0.27","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.66","10.1007/s10342-008-0239-1","9.00E-03",NA
"23","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020075,"0.48","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.38","10.1007/s10342-008-0239-1","6.00E-03",NA
"24","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020076,NA,"http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.35","10.1007/s10342-008-0239-1","6.00E-03",NA
"25","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020077,"1.26","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2","10.1007/s10342-008-0239-1","1.10E-02",NA
"26","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020078,"1.15","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.82","10.1007/s10342-008-0239-1","1.30E-02",NA
"27","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020079,"0.6","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.5","10.1007/s10342-008-0239-1","1.00E-02",NA
"28","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020080,"1.8","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.5","10.1007/s10342-008-0239-1","1.50E-02",NA
"29","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020081,"0.47","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.95","10.1007/s10342-008-0239-1","9.00E-03",NA
"30","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020082,"1.03","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.8","10.1007/s10342-008-0239-1","1.10E-02",NA
