"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Altitude","Latitude","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Plant height vegetative","Reference / source","Stomata conductance to water vapour per leaf area"
"1","Kattge","Jens",67,"Leaf Physiology Database","Acer pensilvanicum","340","42.53","-72.18","9.8","13.5","Bassow and Bazzaz (1997)",NA
"2","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum","340","42.53","-72.18","12.5",NA,"Bassow and Bazzaz (1997)",NA
"3","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,NA,NA,"8.2",NA,"Reich et al. (1995)",NA
"4","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,NA,NA,"3.8",NA,"Reich et al. (1995)",NA
"5","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum","700","36","-83.5","7.81",NA,"Reich et al. (1999 and 1998)","237"
"6","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum","275","43.03","-89.47","6.51",NA,"Reich et al. (1999 and 1998)",NA
"7","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum","700","36","-83.5",NA,NA,"Reich et al. (1999 and 1998)","237"
"8","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum","275","43.03","-89.47",NA,NA,"Reich et al. (1999 and 1998)",NA
"9","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","8.8",NA,"Springer (2005)",NA
"10","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","6.4",NA,"Springer (2005)",NA
"11","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","9.2",NA,"Springer (2005)",NA
"12","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","12.4",NA,"Springer (2005)",NA
"13","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","6.8",NA,"Springer (2005)",NA
"14","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","6",NA,"Springer (2005)",NA
"15","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","12",NA,"Springer (2005)",NA
"16","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","10.2",NA,"Springer (2005)",NA
"17","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","12",NA,"Springer (2005)",NA
"18","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","10.2",NA,"Springer (2005)",NA
"19","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","9",NA,"Springer (2005)",NA
"20","Kattge","Jens",67,"Leaf Physiology Database","Acer rubrum",NA,"36.62","-79.15","8.2",NA,"Springer (2005)",NA
"21","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","340","42.53","-72.18","6.5",NA,"Bassow and Bazzaz (1997)",NA
"22","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","360","42.98","-90.12","10.9",NA,"Ellworth and Reich (1993)",NA
"23","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","360","42.98","-90.12","8.5",NA,"Ellworth and Reich (1993)",NA
"24","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","360","42.98","-90.12","6.4",NA,"Ellworth and Reich (1993)",NA
"25","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","360","42.98","-90.12","5.2",NA,"Ellworth and Reich (1993)",NA
"26","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum",NA,NA,NA,"7.4",NA,"Reich et al. (1995)",NA
"27","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum",NA,NA,NA,"7.8",NA,"Reich et al. (1995)",NA
"28","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","275","43.03","-89.47","8",NA,"Reich et al. (1999 and 1998)",NA
"29","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum","275","43.03","-89.47",NA,NA,"Reich et al. (1999 and 1998)",NA
"30","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum",NA,"45.5","-89.63","7",NA,"Ellsworth (2004)",NA
"31","Kattge","Jens",67,"Leaf Physiology Database","Acer saccharum",NA,"45.5","-89.63","7",NA,"Ellsworth (2004)",NA
"32","Kattge","Jens",67,"Leaf Physiology Database","Alnus glutinosa",NA,NA,NA,NA,NA,"PhD Jens Kattge (2002)","226.15378"
"33","Kattge","Jens",67,"Leaf Physiology Database","Alnus glutinosa",NA,NA,NA,NA,NA,"PhD Jens Kattge (2002)","243.33331"
"34","Kattge","Jens",67,"Leaf Physiology Database","Alnus glutinosa",NA,NA,NA,NA,NA,"PhD Jens Kattge (2002)","198.26112"
"35","Kattge","Jens",67,"Leaf Physiology Database","Alnus glutinosa",NA,NA,NA,NA,NA,"PhD Jens Kattge (2002)","224.3999"
