"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Maximum plant height","Plant height vegetative","Reference / source","Stem diameter at breast height (1.3 m","Wood density; stem specific density; wood specific gravity"
"1","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Abies alba",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"2","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Abies alba",NA,"5100","Brzeziecki1994",NA,NA
"3","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Abies alba",NA,NA,"Brzeziecki1994",NA,"450"
"4","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Abies alba","60",NA,"Bugman1996",NA,NA
"5","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Acer pseudoplatanus",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"6","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Acer pseudoplatanus",NA,"3500","Brzeziecki1994",NA,NA
"7","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Acer pseudoplatanus",NA,NA,"Brzeziecki1994",NA,"550"
"8","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Acer pseudoplatanus","37",NA,"Bugman1996",NA,NA
"9","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus glutinosa",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"10","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus glutinosa",NA,"3500","Brzeziecki1994",NA,NA
"11","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus glutinosa",NA,NA,"Brzeziecki1994",NA,"550"
"12","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus glutinosa","31",NA,"Bugman1996",NA,NA
"13","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus incana",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"14","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus incana",NA,"1900","Brzeziecki1994",NA,NA
"15","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus incana",NA,NA,"Brzeziecki1994",NA,"550"
"16","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Alnus incana","22",NA,"Bugman1996",NA,NA
"17","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pendula",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"18","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pendula",NA,"2700","Brzeziecki1994",NA,NA
"19","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pendula",NA,NA,"Brzeziecki1994",NA,"650"
"20","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pendula","29",NA,"Bugman1996",NA,NA
"21","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pubescens",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
