"","LastName","FirstName","SpeciesName","Reference / source","Woodiness"
"1","Pausas","Juli","Acer pensylvanicum L.","DelTredici2001","Woody"
"2","Pausas","Juli","Acer rubrum L.","DelTredici2001; Olson1995","Woody"
"3","Pausas","Juli","Acer saccharum Marshall","DelTredici2001","Woody"
"4","Pausas","Juli","Alnus glutinosa (L.) Gaertn.","Peterson1997","Woody"
"5","Pausas","Juli","Betula alleghaniensis Britton","DelTredici2001","Woody"
"6","Pausas","Juli","Betula lenta L.","DelTredici2001","Woody"
"7","Pausas","Juli","Betula papyrifera Marshall","DelTredici2001; Haeussler1986","Woody"
"8","Pausas","Juli","Corylus cornuta Marshall","Haeussler1986","Woody"
"9","Pausas","Juli","Fagus grandifolia Ehrh.","DelTredici2001; Lust1973; Peterson1997","Woody"
"10","Pausas","Juli","Fraxinus nigra Marshall","DelTredici2001","Woody"
"11","Pausas","Juli","KALMIA ANGUSTIFOLIA L.","Flinn1977","Woody"
"12","Pausas","Juli","Lyonia ligustrina (L.) DC.","Peterson1997","Woody"
"13","Pausas","Juli","Nyssa sylvatica Marshall","DelTredici2001; Olson1995; Peterson1997","Woody"
"14","Pausas","Juli","Populus grandidentata Michx.","DelTredici2001; Lust1973","Woody"
"15","Pausas","Juli","Populus tremula L.","Peterson1997","Woody"
"16","Pausas","Juli","Prunus pensylvanica L.f.","DelTredici2001","Woody"
"17","Pausas","Juli","Pseudotsuga menziesii (Mirb.) Franco","Burrows1990b","Woody"
"18","Pausas","Juli","Quercus alba L.","DelTredici2001","Woody"
"19","Pausas","Juli","Quercus ilex L.","Lust1973; Pascual2002","Woody"
"20","Pausas","Juli","Quercus rubra L.","DelTredici2001","Woody"
"21","Pausas","Juli","Quercus velutina Lam.","DelTredici2001","Woody"
"22","Pausas","Juli","Robinia pseudoacacia L.","DelTredici2001; Jenik1994; Lust1973; Peterson1997","Woody"
"23","Pausas","Juli","Symphoricarpos albus (L.) S.F.Blake","Haeussler1986","Woody"
"24","Pausas","Juli","Syringa vulgaris L.","Jenik1994","Woody"
"25","Pausas","Juli","Ulmus pumila L.","Wesche2011","Woody"
"26","Pausas","Juli","Vaccinium myrtilloides Michx.","Flinn1977; Minore1975; Peterson1997","Woody"
"27","Pausas","Juli","Viburnum cassinoides L.","Flinn1977","Woody"
