"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","year","mntemp"
"1979/1980",1980,2565,2209,130.48150351061,NA,NA
"1980/1981",1981,1918,1785,116.249621154081,NA,NA
"1981/1982",1982,2471,2357,131.339824388239,NA,NA
"1982/1983",1983,2094,2169,126.417563787142,NA,NA
"1983/1984",1984,2365,2090,129.86583863014,NA,NA
"1984/1985",1985,2126,1894,116.039169795178,NA,NA
"1985/1986",1986,2219,1988,120.283776132297,NA,NA
"1986/1987",1987,2124,2054,118.564210144619,NA,NA
"1987/1988",1988,2713,2424,136.878099371857,NA,NA
"1988/1989",1989,2377,2437,128.208607656455,NA,NA
"1989/1990",1990,2454,2341,126.115846084476,NA,NA
"1990/1991",1991,2229,2050.5,119.676310988171,NA,NA
"1991/1992",1992,2789,2602.5,136.771026318105,NA,NA
"1992/1993",1993,2278,2236,122.791981759316,NA,NA
"1993/1994",1994,2497,2844.5,141.770059270172,NA,NA
"1994/1995",1995,2177,2064,120.057735504207,NA,NA
"1995/1996",1996,1878,1687,113.00800405897,NA,NA
"1996/1997",1997,2612,2389,131.673628071249,NA,NA
"1997/1998",1998,2138,2371.5,126.79396448468,NA,NA
"1998/1999",1999,2438,2354.5,131.227265884397,NA,NA
"1999/2000",2000,2499,2733,135.85227498294,NA,NA
"2000/2001",2001,2257,2159,120.018339399123,NA,NA
"2001/2002",2002,2445,2884,137.87357355125,NA,NA
"2002/2003",2003,2435,2141.5,127.022043496802,NA,NA
"2003/2004",2004,2202,1943.5,120.90643754736,NA,NA
"2004/2005",2005,1920,1859,111.961901894375,NA,NA
"2005/2006",2006,1858,1846,117.739133416314,NA,NA
"2006/2007",2007,2631,2602,128.28013202195,NA,NA
"2007/2008",2008,2544,2589,138.336660360503,NA,NA
"2008/2009",2009,2265,2030.5,121.294091537845,NA,NA
"2009/2010",2010,1997,1890,114.185033743343,NA,NA
"2010/2011",2011,2448,2229,127.228052521197,NA,NA
"2011/2012",2012,2498,2544.5,132.55656751672,NA,NA
"2012/2013",2013,2243,2041.5,122.234871200782,NA,NA
