Tray location,Substrate,Germ Date (NA=did not germinate)
10a1,Soil,NA
10a10,Soil,1/29/2016
10a11,Soil,12/5/2015
10a2,Soil,11/29/2015
10a3,Soil,NA
10a4,Soil,11/27/2015
10a5,Soil,12/17/2015
10a6,Soil,12/7/2015
10a7,Soil,12/5/2015
10a8,Soil,11/29/2015
10a9,Soil,NA
10b1,Soil,12/7/2015
10b10,Soil,12/5/2015
10b11,Soil,12/3/2015
10b2,Soil,11/29/2015
10b3,Soil,NA
10b4,Soil,12/5/2015
10b5,Soil,12/26/2015
10b6,Soil,12/7/2015
10b7,Soil,12/5/2015
10b8,Soil,12/1/2015
10b9,Soil,NA
10c1,Soil,12/5/2015
10c10,Soil,NA
10c11,Soil,12/5/2015
10c2,Soil,12/3/2015
10c3,Soil,NA
10c4,Soil,11/29/2015
10c5,Soil,12/17/2015
10c6,Soil,12/5/2015
10c7,Soil,12/5/2015
10c8,Soil,12/7/2015
10c9,Soil,12/1/2015
10d1,Soil,NA
10d10,Soil,12/5/2015
10d11,Soil,12/3/2015
10d2,Soil,12/1/2015
10d3,Soil,NA
10d4,Soil,11/27/2015
10d5,Soil,12/17/2015
10d6,Soil,12/7/2015
10d7,Soil,12/3/2015
10d8,Soil,12/5/2015
10d9,Soil,12/1/2015
10e1,Soil,NA
10e10,Soil,NA
10e2,Soil,12/9/2015
10e3,Soil,NA
10e4,Soil,12/7/2015
10e5,Soil,12/17/2015
10e6,Soil,12/7/2015
10e7,Soil,12/3/2015
10e8,Soil,NA
10e9,Soil,12/1/2015
10f1,Soil,NA
10f10,Soil,12/5/2015
10f2,Soil,11/27/2015
10f3,Soil,12/7/2015
10f4,Soil,11/29/2015
10f5,Soil,12/7/2015
10f6,Soil,12/11/2015
10f7,Soil,NA
10f8,Soil,12/1/2015
10f9,Soil,12/1/2015
11a1,Soil,NA
11a10,Soil,12/13/2015
11a11,Soil,NA
11a2,Soil,1/29/2016
11a3,Soil,NA
11a4,Soil,11/29/2015
11a5,Soil,12/26/2015
11a6,Soil,1/29/2016
11a7,Soil,1/29/2016
11a8,Soil,12/1/2015
11a9,Soil,12/1/2015
11b1,Soil,NA
11b10,Soil,11/29/2015
11b11,Soil,11/29/2015
