Tray location,Species,Strat length (days),"Temp (from lowest to highest temperature treatments: LL, LM, HM, HH) ",individual,Collection location,Substrate
10a1,PLALAN,30,LM,EU20,"Copenhagen, Denmark",Soil
10a10,PLAMAJ,30,LM,US205,Arnold Arboretum ,Soil
10a11,PLAMAJ,30,LM,EU01,"Schaan, Liechtenstein",Soil
10a2,PLALAN,30,LM,EU35,"Zell Am See, Austria",Soil
10a3,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10a4,PLALAN,30,LM,EU44,"Podhom, Slovenia",Soil
10a5,CHEMAJ,30,LM,EU29,"Grenoble, France",Soil
10a6,RUMCRI,30,LM,EU03,"Grenoble, France",Soil
10a7,RUMCRI,30,LM,EU05,"Grenoble, France",Soil
10a8,TAROFF,30,LM,EU01,"Grenoble, France",Soil
10a9,TAROFF,30,LM,EU11,"Arna, Norway",Soil
10b1,PLALAN,30,LM,EU21,"Copenhagen, Denmark",Soil
10b10,PLAMAJ,30,LM,US205,Arnold Arboretum ,Soil
10b11,PLAMAJ,30,LM,EU01,"Schaan, Liechtenstein",Soil
10b2,PLALAN,30,LM,EU37,"Zell Am See, Austria",Soil
10b3,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10b4,PLALAN,30,LM,EU45,"Podhom, Slovenia",Soil
10b5,CHEMAJ,30,LM,EU29,"Grenoble, France",Soil
10b6,RUMCRI,30,LM,EU03,"Grenoble, France",Soil
10b7,RUMCRI,30,LM,EU05,"Grenoble, France",Soil
10b8,TAROFF,30,LM,EU01,"Grenoble, France",Soil
10b9,PLAMAJ,30,LM,US25,Walden,Soil
10c1,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10c10,PLAMAJ,30,LM,US205,Arnold Arboretum ,Soil
10c11,PLAMAJ,30,LM,EU01,"Schaan, Liechtenstein",Soil
10c2,PLALAN,30,LM,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
10c3,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10c4,PLALAN,30,LM,EU46,"Podhom, Slovenia",Soil
10c5,CHEMAJ,30,LM,EU29,"Grenoble, France",Soil
10c6,RUMCRI,30,LM,EU03,"Grenoble, France",Soil
10c7,RUMCRI,30,LM,EU05,"Grenoble, France",Soil
10c8,TAROFF,30,LM,EU11,"Arna, Norway",Soil
10c9,PLAMAJ,30,LM,US25,Walden,Soil
10d1,PLALAN,30,LM,EU28,"Zell Am See, Austria",Soil
10d10,PLAMAJ,30,LM,US205,Arnold Arboretum ,Soil
10d11,PLAMAJ,30,LM,EU01,"Schaan, Liechtenstein",Soil
