Tray location,Substrate,Date of measurement,Height (cm)
10a1,soil,12/7/2015,NA
10a10,soil,12/7/2015,NA
10a11,soil,12/7/2015,0.5
10a2,soil,12/7/2015,3.0
10a3,soil,12/7/2015,NA
10a4,soil,12/7/2015,6.0
10a5,soil,12/7/2015,NA
10a6,soil,12/7/2015,0.5
10a7,soil,12/7/2015,1.0
10a8,soil,12/7/2015,1.0
10a9,soil,12/7/2015,NA
10b1,soil,12/7/2015,0.5
10b10,soil,12/7/2015,0.5
10b11,soil,12/7/2015,0.5
10b2,soil,12/7/2015,2.0
10b3,soil,12/7/2015,NA
10b4,soil,12/7/2015,4.0
10b5,soil,12/7/2015,NA
10b6,soil,12/7/2015,0.5
10b7,soil,12/7/2015,1.0
10b8,soil,12/7/2015,1.5
10b9,soil,12/7/2015,NA
10c1,soil,12/7/2015,2.0
10c10,soil,12/7/2015,NA
10c11,soil,12/7/2015,0.5
10c2,soil,12/7/2015,4.0
10c3,soil,12/7/2015,NA
10c4,soil,12/7/2015,5.0
10c5,soil,12/7/2015,NA
10c6,soil,12/7/2015,0.0
10c7,soil,12/7/2015,1.0
10c8,soil,12/7/2015,0.5
10c9,soil,12/7/2015,0.5
10d1,soil,12/7/2015,NA
10d10,soil,12/7/2015,0.5
10d11,soil,12/7/2015,0.5
10d2,soil,12/7/2015,5.0
10d3,soil,12/7/2015,NA
10d4,soil,12/7/2015,6.0
10d5,soil,12/7/2015,NA
10d6,soil,12/7/2015,0.5
10d7,soil,12/7/2015,1.0
10d8,soil,12/7/2015,1.0
10d9,soil,12/7/2015,0.5
10e1,soil,12/7/2015,NA
10e10,soil,12/7/2015,NA
10e2,soil,12/7/2015,NA
10e3,soil,12/7/2015,NA
10e4,soil,12/7/2015,1.5
10e5,soil,12/7/2015,NA
10e6,soil,12/7/2015,0.5
10e7,soil,12/7/2015,1.0
10e8,soil,12/7/2015,NA
10e9,soil,12/7/2015,0.5
10f1,soil,12/7/2015,NA
10f10,soil,12/7/2015,0.5
10f2,soil,12/7/2015,4.0
10f3,soil,12/7/2015,0.5
10f4,soil,12/7/2015,3.5
10f5,soil,12/7/2015,0.0
10f6,soil,12/7/2015,NA
10f7,soil,12/7/2015,NA
10f8,soil,12/7/2015,0.5
10f9,soil,12/7/2015,0.5
11a1,soil,12/7/2015,NA
11a10,soil,12/7/2015,NA
11a11,soil,12/7/2015,NA
11a2,soil,12/7/2015,NA
11a3,soil,12/7/2015,NA
11a4,soil,12/7/2015,4.5
11a5,soil,12/7/2015,NA
11a6,soil,12/7/2015,NA
11a7,soil,12/7/2015,NA
11a8,soil,12/7/2015,1.0
11a9,soil,12/7/2015,2.0
11b1,soil,12/7/2015,NA
11b10,soil,12/7/2015,0.5
11b11,soil,12/7/2015,0.5
11b2,soil,12/7/2015,4.0
11b3,soil,12/7/2015,3.5
11b4,soil,12/7/2015,6.0
11b5,soil,12/7/2015,NA
