"datasetID","study","chillpor","chillhrs","utah","field.chill.units","chilldays"
"falusi90","exp1",NA,NA,NA,NA,""
"falusi90","exp1",NA,NA,NA,NA,"winter"
"falusi96","exp1",NA,NA,NA,NA,""
"falusi96","exp2",NA,NA,NA,NA,""
"falusi96","exp3",NA,NA,NA,NA,""
"ghelardini10","exp1",NA,NA,NA,NA,""
"ghelardini10","exp2",NA,NA,NA,NA,""
"li05","exp1",NA,NA,NA,NA,""
"caffarra11a","exp1",NA,NA,NA,NA,""
"charrier11","exp2",NA,NA,NA,NA,""
"charrier11","exp1",NA,NA,NA,NA,"ambient"
"cook05","exp1",NA,NA,NA,NA,""
"gansert02","exp1",NA,NA,NA,NA,""
"gansert02","exp2",NA,NA,NA,NA,""
"granhus09","exp1",NA,NA,NA,NA,"161"
"heide12","exp3",NA,NA,NA,NA,""
"heide93","exp3",NA,NA,NA,NA,""
"howe95","exp1",NA,NA,NA,NA,""
"laube14b","exp1",NA,NA,NA,NA,""
"morin10","exp1",NA,NA,NA,NA,""
"nishimoto95","exp1",NA,NA,NA,820,""
"nishimoto95","exp1",NA,NA,NA,1085,""
"nishimoto95","exp1",NA,NA,NA,964,""
"nishimoto95","exp1",NA,NA,NA,974,""
"nishimoto95","exp1",NA,NA,NA,930,""
"nishimoto95","exp1",NA,NA,NA,740,""
"nishimoto95","exp1",NA,NA,NA,772,""
"nishimoto95","exp1",NA,NA,NA,775,""
"nishimoto95","exp1",NA,NA,NA,704,""
"nishimoto95","exp1",NA,NA,NA,574,""
"nishimoto95","exp1",NA,NA,NA,853,""
"nishimoto95","exp1",NA,NA,NA,260,""
"nishimoto95","exp1",NA,NA,NA,189,""
"nishimoto95","exp1",NA,NA,NA,425,""
"nishimoto95","exp1",NA,NA,NA,366,""
"sogaard08","exp3b",NA,NA,NA,NA,"21"
"sogaard08","exp3b",NA,NA,NA,NA,"42"
"sogaard08","exp3b",NA,NA,NA,NA,"63"
"worrall67","exp 5",NA,NA,NA,NA,""
"worrall67","exp1",NA,NA,NA,NA,"100"
"worrall67","exp2",NA,NA,NA,NA,"130"
"worrall67","exp2",NA,NA,NA,NA,"160"
