"long","lat","winter","year","lat.long","mat","lo","num.years","cc"
10.2333,49.55,"winter",1951,"49.55 10.2333",4.71595495076997,109,8,"apre"
9.93333,51.5333,"winter",1951,"51.5333 9.93333",3.64314598598507,106,10,"apre"
7.56667,49.2167,"winter",1951,"49.2167 7.56667",5.09494370634385,111,9,"apre"
12.75,49.3167,"winter",1951,"49.3167 12.75",2.69741567004514,113,10,"apre"
11.9333,48.4667,"winter",1951,"48.4667 11.9333",3.85629204863661,110,9,"apre"
11.6667,49.15,"winter",1951,"49.15 11.6667",3.35101116105412,124,10,"apre"
11.2,49.5833,"winter",1951,"49.5833 11.2",4.18539316487614,117,9,"apre"
7.9,53.5833,"winter",1951,"53.5833 7.9",3.65573025536671,120,9,"apre"
12.8833,47.7333,"winter",1952,"47.7333 12.8833",0.680666651452581,111,9,"apre"
10.2333,49.55,"winter",1952,"49.55 10.2333",4.64722211834871,104,8,"apre"
9.93333,51.5333,"winter",1952,"51.5333 9.93333",4.16522212912225,111,10,"apre"
7.56667,49.2167,"winter",1952,"49.2167 7.56667",5.96388875558558,100,9,"apre"
12.75,49.3167,"winter",1952,"49.3167 12.75",2.9441110453051,106,10,"apre"
11.6667,49.15,"winter",1952,"49.15 11.6667",3.77899991553277,97,10,"apre"
11.2,49.5833,"winter",1952,"49.5833 11.2",4.25477768267608,98,9,"apre"
7.9,53.5833,"winter",1952,"53.5833 7.9",4.60699989702553,110,9,"apre"
12.8833,47.7333,"winter",1953,"47.7333 12.8833",1.45044940578218,104,9,"apre"
10.2333,49.55,"winter",1953,"49.55 10.2333",5.35741561058951,102,8,"apre"
9.21667,50.6167,"winter",1953,"50.6167 9.21667",4.73179764704507,97,6,"apre"
9.93333,51.5333,"winter",1953,"51.5333 9.93333",4.81719090356335,102,10,"apre"
7.56667,49.2167,"winter",1953,"49.2167 7.56667",6.47921333832436,120,9,"apre"
12.75,49.3167,"winter",1953,"49.3167 12.75",3.58325834687423,95,10,"apre"
11.9333,48.4667,"winter",1953,"48.4667 11.9333",3.99359541635416,96,9,"apre"
11.6667,49.15,"winter",1953,"49.15 11.6667",4.34056170073369,124,10,"apre"
11.2,49.5833,"winter",1953,"49.5833 11.2",4.99022460756091,90,9,"apre"
7.9,53.5833,"winter",1953,"53.5833 7.9",4.5574156284709,110,9,"apre"
9.08333,48.9,"winter",1954,"48.9 9.08333",3.57921340314441,113,6,"apre"
12.8833,47.7333,"winter",1954,"47.7333 12.8833",-0.535393246459994,116,9,"apre"
