"chillport","siteslist","year","lat","long","lat.long","winter","mat","lo","cc","chillutah"
138.129692497711,1,1951,51.5833,9.3,"51.5833 9.3","0",10.9898898642469,115,"apre",2796
145.369912473503,1,1952,51.5833,9.3,"51.5833 9.3","0",12.5340656539077,107,"apre",2376
143.153776640152,1,1953,51.5833,9.3,"51.5833 9.3","0",12.515384335644,98,"apre",2580
134.199999118379,1,1954,51.5833,9.3,"51.5833 9.3","0",11.151757992497,125,"apre",2484
124.750345715036,1,1955,51.5833,9.3,"51.5833 9.3","0",10.3008788906365,124,"apre",1920
140.662481577867,1,1956,51.5833,9.3,"51.5833 9.3","0",10.0815382361985,121,"apre",2220
150.875736630242,1,1957,51.5833,9.3,"51.5833 9.3","0",11.0940656860942,105,"apre",3012
120.950122740555,1,1958,51.5833,9.3,"51.5833 9.3","0",10.8904393170193,126,"apre",2172
149.55814363983,1,1959,51.5833,9.3,"51.5833 9.3","0",12.5938458723518,105,"apre",2712
145.100971332964,1,1960,51.5833,9.3,"51.5833 9.3","0",11.9213184148564,104,"apre",2616
130.648932384883,2,1951,48.7167,9.21667,"48.7167 9.21667","0",11.6593403987341,110,"apre",2736
139.057636689901,2,1952,48.7167,9.21667,"48.7167 9.21667","0",13.2046150894692,99,"apre",2448
139.819635469201,2,1953,48.7167,9.21667,"48.7167 9.21667","0",12.7294502649252,94,"apre",2112
145.406401922625,2,1954,48.7167,9.21667,"48.7167 9.21667","0",11.1297799710102,118,"apre",2472
131.439558238235,2,1955,48.7167,9.21667,"48.7167 9.21667","0",11.3048349121524,118,"apre",1812
136.610965604907,2,1956,48.7167,9.21667,"48.7167 9.21667","0",10.7974722861302,115,"apre",2124
136.786666676212,2,1957,48.7167,9.21667,"48.7167 9.21667","0",11.4490107331057,86,"apre",2604
135.127908828466,2,1958,48.7167,9.21667,"48.7167 9.21667","0",11.6748349038823,122,"apre",2184
137.475997300875,2,1959,48.7167,9.21667,"48.7167 9.21667","0",12.9109887224059,95,"apre",2424
156.247780299321,2,1960,48.7167,9.21667,"48.7167 9.21667","0",12.8058238895917,98,"apre",2808
138.674549604182,3,1951,51.5333,9.93333,"51.5333 9.93333","0",10.7972525059153,106,"apre",2868
148.709235626308,3,1952,51.5333,9.93333,"51.5333 9.93333","0",12.1783513761443,111,"apre",2244
144.612346886533,3,1953,51.5333,9.93333,"51.5333 9.93333","0",12.4612085126791,102,"apre",2640
140.05085477663,3,1954,51.5333,9.93333,"51.5333 9.93333","0",11.0641755768722,122,"apre",2388
140.884340638139,3,1955,51.5333,9.93333,"51.5333 9.93333","0",10.3832964712119,119,"apre",1872
130.842308898537,3,1956,51.5333,9.93333,"51.5333 9.93333","0",10.1768129593437,125,"apre",2268
149.945108433045,3,1957,51.5333,9.93333,"51.5333 9.93333","0",11.0938459058794,89,"apre",2880
141.279535007025,3,1958,51.5333,9.93333,"51.5333 9.93333","0",10.8341755820131,123,"apre",2160
135.049316785977,3,1959,51.5333,9.93333,"51.5333 9.93333","0",12.6231865310366,103,"apre",2940
147.561691612406,3,1960,51.5333,9.93333,"51.5333 9.93333","0",11.9096700634685,105,"apre",2532
138.090614264183,4,1951,53.0333,9.83333,"53.0333 9.83333","0",10.9795601941481,145,"apre",2880
147.082042113396,4,1952,53.0333,9.83333,"53.0333 9.83333","0",12.1749447828138,111,"apre",2280
143.831906433844,4,1953,53.0333,9.83333,"53.0333 9.83333","0",12.7129667488101,120,"apre",2568
143.019707764768,4,1955,53.0333,9.83333,"53.0333 9.83333","0",9.93494483288173,119,"apre",1944
140.491975457504,4,1956,53.0333,9.83333,"53.0333 9.83333","0",10.0372525229027,118,"apre",2244
153.343186666971,4,1957,53.0333,9.83333,"53.0333 9.83333","0",11.0095601934776,97,"apre",3084
124.543724295877,4,1958,53.0333,9.83333,"53.0333 9.83333","0",10.6172525099387,127,"apre",2004
146.240867848958,4,1959,53.0333,9.83333,"53.0333 9.83333","0",12.6395601570442,101,"apre",2664
148.839097640555,4,1960,53.0333,9.83333,"53.0333 9.83333","0",11.6953843539724,110,"apre",2568
135.8992915353,5,1951,49.4,11.4,"49.4 11.4","0",11.4616480954605,115,"apre",2196
137.610444608875,5,1952,49.4,11.4,"49.4 11.4","0",12.7938458678814,109,"apre",2028
136.087526265475,5,1953,49.4,11.4,"49.4 11.4","0",12.8699997123331,96,"apre",1896
137.630231875697,5,1954,49.4,11.4,"49.4 11.4","0",11.1035162353336,126,"apre",2076
137.225428877192,5,1955,49.4,11.4,"49.4 11.4","0",10.5872525106092,124,"apre",1632
115.619720775406,5,1956,49.4,11.4,"49.4 11.4","0",10.3456041643621,128,"apre",1908
146.568226610336,5,1957,49.4,11.4,"49.4 11.4","0",11.3659338118856,113,"apre",2628
143.012669378513,5,1958,49.4,11.4,"49.4 11.4","0",11.2142854636269,125,"apre",1968
133.241826084511,5,1959,49.4,11.4,"49.4 11.4","0",12.6974722436619,104,"apre",2412
148.428015427556,5,1960,49.4,11.4,"49.4 11.4","0",12.5424173020727,107,"apre",2376
138.674549604182,6,1951,51.5333,9.95,"51.5333 9.95","0",10.7972525059153,118,"apre",2868
148.709235626308,6,1952,51.5333,9.95,"51.5333 9.95","0",12.1783513761443,111,"apre",2244
144.612346886533,6,1953,51.5333,9.95,"51.5333 9.95","0",12.4612085126791,91,"apre",2640
140.05085477663,6,1954,51.5333,9.95,"51.5333 9.95","0",11.0641755768722,123,"apre",2388
140.884340638139,6,1955,51.5333,9.95,"51.5333 9.95","0",10.3832964712119,121,"apre",1872
130.842308898537,6,1956,51.5333,9.95,"51.5333 9.95","0",10.1768129593437,123,"apre",2268
149.945108433045,6,1957,51.5333,9.95,"51.5333 9.95","0",11.0938459058794,111,"apre",2880
141.279535007025,6,1958,51.5333,9.95,"51.5333 9.95","0",10.8341755820131,127,"apre",2160
135.049316785977,6,1959,51.5333,9.95,"51.5333 9.95","0",12.6231865310366,102,"apre",2940
147.561691612406,6,1960,51.5333,9.95,"51.5333 9.95","0",11.9096700634685,110,"apre",2532
133.756306842073,7,1951,49.1667,11.45,"49.1667 11.45","0",11.2856041433515,111,"apre",2100
135.501303588516,7,1952,49.1667,11.45,"49.1667 11.45","0",12.6434063108044,108,"apre",2088
126.611528683821,7,1953,49.1667,11.45,"49.1667 11.45","0",12.5849447736496,100,"apre",1908
134.601896732392,7,1954,49.1667,11.45,"49.1667 11.45","0",10.8969228333579,121,"apre",2172
138.77778866049,7,1955,49.1667,11.45,"49.1667 11.45","0",10.4645052606056,120,"apre",1644
111.854964764709,7,1956,49.1667,11.45,"49.1667 11.45","0",10.2173624089868,126,"apre",1956
146.053100278425,7,1957,49.1667,11.45,"49.1667 11.45","0",11.1063733781268,109,"apre",2592
143.65079611668,7,1958,49.1667,11.45,"49.1667 11.45","0",11.2243953535108,127,"apre",1944
134.802793606827,7,1959,49.1667,11.45,"49.1667 11.45","0",12.5396700493869,102,"apre",2448
144.792477290184,7,1960,49.1667,11.45,"49.1667 11.45","0",12.4003293931607,106,"apre",2400
137.433521529823,8,1951,47.7333,10.3167,"47.7333 10.3167","0",9.47901077713858,111,"apre",1980
134.597011500514,8,1952,47.7333,10.3167,"47.7333 10.3167","0",10.8282415162117,116,"apre",1968
121.281722286748,8,1956,47.7333,10.3167,"47.7333 10.3167","0",8.30384596824073,137,"apre",1548
146.900326913328,8,1957,47.7333,10.3167,"47.7333 10.3167","0",8.63219760925315,113,"apre",2592
120.090187187393,8,1958,47.7333,10.3167,"47.7333 10.3167","0",9.30120858331057,128,"apre",1668
141.749339740963,8,1959,47.7333,10.3167,"47.7333 10.3167","0",10.0291206549526,110,"apre",2220
143.969100448015,8,1960,47.7333,10.3167,"47.7333 10.3167","0",10.0364832921506,109,"apre",2496
135.687031668941,9,1952,47.9667,10.15,"47.9667 10.15","0",11.9726370950281,109,"apre",2148
134.981143244815,9,1953,47.9667,10.15,"47.9667 10.15","0",11.4907689739305,102,"apre",1812
140.997200750766,9,1954,47.9667,10.15,"47.9667 10.15","0",9.80340637428338,127,"apre",2160
141.796649906699,9,1955,47.9667,10.15,"47.9667 10.15","0",9.93846131631961,120,"apre",1920
130.010138117043,9,1956,47.9667,10.15,"47.9667 10.15","0",9.30780198975661,122,"apre",1800
141.668463687231,9,1957,47.9667,10.15,"47.9667 10.15","0",9.60604374133214,113,"apre",2592
133.842302055836,9,1958,47.9667,10.15,"47.9667 10.15","0",10.2189008704909,125,"apre",1884
143.853348332897,9,1959,47.9667,10.15,"47.9667 10.15","0",11.086922829111,102,"apre",2196
150.32787897278,9,1960,47.9667,10.15,"47.9667 10.15","0",11.0436261267821,100,"apre",2580
143.369474881515,10,1954,48.2833,8.85,"48.2833 8.85","0",10.2490107599277,135,"apre",2412
132.063786902756,10,1955,48.2833,8.85,"48.2833 8.85","0",10.5669228407339,119,"apre",1944
134.19985752352,10,1956,48.2833,8.85,"48.2833 8.85","0",10.061648126753,117,"apre",2064
146.44513126447,10,1957,48.2833,8.85,"48.2833 8.85","0",10.7316481117773,106,"apre",2544
142.674462538348,10,1958,48.2833,8.85,"48.2833 8.85","0",10.9618678868513,131,"apre",2124
143.722026782848,10,1959,48.2833,8.85,"48.2833 8.85","0",12.0440656648601,111,"apre",2460
144.226551619304,10,1960,48.2833,8.85,"48.2833 8.85","0",11.959450282136,102,"apre",2808
143.746996540935,11,1956,49.4167,6.91667,"49.4167 6.91667","0",11.2153843647012,113,"apre",2160
141.963146275574,11,1957,49.4167,6.91667,"49.4167 6.91667","0",12.5995601579383,91,"apre",2784
139.900685065526,11,1958,49.4167,6.91667,"49.4167 6.91667","0",11.8758239103788,124,"apre",2340
130.778625388163,11,1959,49.4167,6.91667,"49.4167 6.91667","0",13.755933758465,120,"apre",2580
149.256207812724,11,1960,49.4167,6.91667,"49.4167 6.91667","0",13.5918678280662,108,"apre",2796
156.660895442947,1,2000,51.5833,9.3,"51.5833 9.3","0",13.7201095834415,97,"post",2976
149.431077697597,1,2001,51.5833,9.3,"51.5833 9.3","0",11.5790107301999,122,"post",2328
150.619899615234,1,2002,51.5833,9.3,"51.5833 9.3","0",12.589340377947,109,"post",3012
144.739652290525,1,2003,51.5833,9.3,"51.5833 9.3","0",13.4705491494592,109,"post",2604
