"","Mean.GDD","SDev.GDD.sites","Mean.Chill.Utah","SDev.Chill.Utah","Mean.Chill.Portions","SDev.Chill.Portions"
"1980",279.330618142666,121.684894603141,921.64023343632,267.727476559449,52.4611119012306,8.9939370854252
"1981",388.59938493516,141.108929199011,820.374871266735,247.863356556692,46.9674597729881,8.97983998943006
"1982",354.115201546061,143.344106805885,1071.15207689667,241.638854276933,56.2172215924217,6.98728652118421
"1983",462.983992291843,219.811136760941,908.911603158256,210.078420640049,50.8217512456414,7.72333873111432
"1984",393.241626692412,146.335653012656,885.892722279437,298.134394780043,46.8822505221127,11.0135304863859
"1985",400.689357946429,164.436932215504,838.983007209063,230.583162327436,47.4240904421673,8.74646714949834
"1986",440.574468137819,187.828999262182,962.203913491246,294.586356356566,50.550302925799,9.61211608221008
"1987",319.248543835372,126.748084204629,931.17868177137,346.025015296436,50.2173098021288,12.7863860480157
"1988",391.703854489323,127.587186427143,760.328184002746,362.671080203869,46.7452749993558,13.9699668073985
"1989",468.653456074603,169.661712558446,922.641606591143,200.395307164818,50.5088383324608,7.0618140449398
"1990",464.287997081605,174.99396363003,897.079642979746,219.559930367427,49.6864501843432,7.82093639638437
"1991",329.146388647097,141.91865214345,844.484723652592,344.683131364823,47.7688672869943,12.0764445857846
"1992",388.777757410385,150.480664502405,925.40473738414,374.132446015599,48.8786254715704,11.8302365783306
"1993",454.880691219805,144.334549374266,745.334019910745,357.70838418698,44.379548275902,13.3220205428911
"1994",404.108374162378,186.104466727151,927.44198420872,343.679818357834,51.847415019503,10.8104315404466
"1995",423.419857838801,164.920245373414,667.606934431857,187.073393292569,41.993297015082,8.00143628873687
"1996",415.53528979467,165.343291449293,1007.03055269482,169.797995570409,51.2009478016983,5.99192203101809
"1997",382.853707091795,180.563523311487,863.065396498455,275.005049461613,48.3375270081411,10.4649438313404
"1998",432.198051396295,152.911696121095,824.632166151734,276.990379251361,45.8530715146039,10.2827972431691
"1999",429.426253775542,164.433470555509,881.198832417582,287.046622715744,49.6566078073036,9.92316330899027
"2000",501.907812338455,179.047318901664,1106.54279821244,265.100237603013,54.5172386738288,7.64181882309497
"2001",445.324809419396,180.841823396822,668.711095843353,201.796552161995,41.4949582783873,8.73717117005715
"2002",474.126451250753,173.388791318141,875.913917525773,367.357348992078,46.6058615256589,12.1451462927377
"2003",485.355947742867,179.45088413107,989.677208662771,312.301193652406,53.4076737630806,9.98357005679758
"2004",390.335238424987,160.310766163987,956.444177258674,252.138548532244,52.1317048363889,8.52817707944016
"2005",452.203749053947,182.527575428521,829.973511080332,190.597266650361,48.5213752336876,6.77858355562422
"2006",401.891224511187,176.015624615185,1031.22647058824,271.469747209614,54.0575465869551,7.38794704025193
"2007",535.260976257557,179.833158463192,887.02205375603,271.84963158941,47.7962296372593,10.6350105202875
"2008",446.389614644582,174.263278354392,1002.67526659787,190.155946209308,51.7771927886159,6.85371373630021
"2009",472.361064880826,173.751286250504,1039.79913793103,222.432751229533,52.2686456433291,7.21247106171039
"2010",451.32267908699,170.199232810004,931.418275862069,176.421373160071,48.7420031509,8.08147005856146
"2011",495.586246125369,185.939374647404,1007.03086206897,278.219714525815,54.4727299982448,8.15831172903788
"2012",534.596218697559,200.564920144408,929.005691617799,279.229869645369,50.1010007834405,8.69177963324029
"2013",465.647132341368,198.345748590942,1027.81733425414,255.852276415685,54.2818563485864,6.75413816289301
"2014",518.126067283868,167.008058832052,918.709008297116,251.244918092755,49.410152485711,7.37305735220492
"2015",438.115948004388,174.759294970177,1147.72983077529,261.418301685691,57.3293556861341,7.12037567200186
"2016",455.336165601222,161.745169251087,963.126669285153,369.314347658877,51.5769918844718,13.18465042691
"2017",449.147262326426,195.435255315748,1056.87999209174,213.369493773734,55.1146071885982,6.13175543220175
