"","x.1","y.1","GDD.1","GDD.lastfrost.1","DayLastFrost.1","MeanTmins.1","SDev.Tmins.1","Mean.Chill.Utah.1","Mean.Chill.Portions.1","x.2","y.2","GDD.2","GDD.lastfrost.2","DayLastFrost.2","MeanTmins.2","SDev.Tmins.2","Mean.Chill.Utah.2","Mean.Chill.Portions.2","x.3","y.3","GDD.3","GDD.lastfrost.3","DayLastFrost.3","MeanTmins.3","SDev.Tmins.3","Mean.Chill.Utah.3","Mean.Chill.Portions.3","x.4","y.4","GDD.4","GDD.lastfrost.4","DayLastFrost.4","MeanTmins.4","SDev.Tmins.4","Mean.Chill.Utah.4","Mean.Chill.Portions.4","x.5","y.5","GDD.5","GDD.lastfrost.5","DayLastFrost.5","MeanTmins.5","SDev.Tmins.5","Mean.Chill.Utah.5","Mean.Chill.Portions.5","x.6","y.6","GDD.6","GDD.lastfrost.6","DayLastFrost.6","MeanTmins.6","SDev.Tmins.6","Mean.Chill.Utah.6","Mean.Chill.Portions.6"
"1",-113.375,56.875,NA,NA,NA,NA,NA,NA,NA,-113.375,56.875,NA,NA,NA,NA,NA,NA,NA,-113.375,56.875,NA,NA,NA,NA,NA,NA,NA,-113.375,56.875,NA,NA,NA,NA,NA,NA,NA,-113.375,56.875,NA,NA,NA,NA,NA,NA,NA,-113.375,56.875,2267.02174072266,2226.06030883789,86,-8.98962236790873,13.6970189146242,706,47.4682520837408
"2",-113.125,56.875,NA,NA,NA,NA,NA,NA,NA,-113.125,56.875,NA,NA,NA,NA,NA,NA,NA,-113.125,56.875,NA,NA,NA,NA,NA,NA,NA,-113.125,56.875,NA,NA,NA,NA,NA,NA,NA,-113.125,56.875,NA,NA,NA,NA,NA,NA,NA,-113.125,56.875,2310.44286499024,2262.27105712891,86,-7.64658604042201,13.9184966359712,1020,69.8817251067467
"3",-112.875,56.875,NA,NA,NA,NA,NA,NA,NA,-112.875,56.875,NA,NA,NA,NA,NA,NA,NA,-112.875,56.875,NA,NA,NA,NA,NA,NA,NA,-112.875,56.875,NA,NA,NA,NA,NA,NA,NA,-112.875,56.875,NA,NA,NA,NA,NA,NA,NA,-112.875,56.875,2572.56862182617,2532.12256469727,86,-7.6606203365949,13.2628870693281,809.5,55.1663570229356
"4",-112.625,56.875,NA,NA,NA,NA,NA,NA,NA,-112.625,56.875,NA,NA,NA,NA,NA,NA,NA,-112.625,56.875,NA,NA,NA,NA,NA,NA,NA,-112.625,56.875,NA,NA,NA,NA,NA,NA,NA,-112.625,56.875,NA,NA,NA,NA,NA,NA,NA,-112.625,56.875,2581.6141418457,2539.49398803711,86,-7.7721827288858,13.5130810282802,880,59.8413701721881
"5",-112.375,56.875,NA,NA,NA,NA,NA,NA,NA,-112.375,56.875,NA,NA,NA,NA,NA,NA,NA,-112.375,56.875,NA,NA,NA,NA,NA,NA,NA,-112.375,56.875,NA,NA,NA,NA,NA,NA,NA,-112.375,56.875,NA,NA,NA,NA,NA,NA,NA,-112.375,56.875,2973.34619140625,2790.48126831055,62,-4.09925706651473,12.6525665021086,1286.5,79.4739912062353
"6",-112.125,56.875,NA,NA,NA,NA,NA,NA,NA,-112.125,56.875,NA,NA,NA,NA,NA,NA,NA,-112.125,56.875,NA,NA,NA,NA,NA,NA,NA,-112.125,56.875,NA,NA,NA,NA,NA,NA,NA,-112.125,56.875,NA,NA,NA,NA,NA,NA,NA,-112.125,56.875,2863.53988647461,2825.10182495117,85,-7.33678335551341,12.8119167261526,700.5,49.2897506327591
"7",-111.875,56.875,NA,NA,NA,NA,NA,NA,NA,-111.875,56.875,NA,NA,NA,NA,NA,NA,NA,-111.875,56.875,NA,NA,NA,NA,NA,NA,NA,-111.875,56.875,NA,NA,NA,NA,NA,NA,NA,-111.875,56.875,NA,NA,NA,NA,NA,NA,NA,-111.875,56.875,2858.77854614258,2821.07736206055,85,-7.88946746626708,13.0643072820624,682.5,48.0544841844856
"8",-111.625,56.875,NA,NA,NA,NA,NA,NA,NA,-111.625,56.875,NA,NA,NA,NA,NA,NA,NA,-111.625,56.875,NA,NA,NA,NA,NA,NA,NA,-111.625,56.875,NA,NA,NA,NA,NA,NA,NA,-111.625,56.875,NA,NA,NA,NA,NA,NA,NA,-111.625,56.875,3204.60785522461,3091.6877746582,74,-5.07464663436987,12.5025349145219,1031.5,67.7495124568946
"9",-111.375,56.875,NA,NA,NA,NA,NA,NA,NA,-111.375,56.875,NA,NA,NA,NA,NA,NA,NA,-111.375,56.875,NA,NA,NA,NA,NA,NA,NA,-111.375,56.875,NA,NA,NA,NA,NA,NA,NA,-111.375,56.875,NA,NA,NA,NA,NA,NA,NA,-111.375,56.875,3172.23609619141,3133.22225952148,85,-6.37672458224824,12.6971350604237,834,57.9673107046199
"10",-111.125,56.875,NA,NA,NA,NA,NA,NA,NA,-111.125,56.875,NA,NA,NA,NA,NA,NA,NA,-111.125,56.875,NA,NA,NA,NA,NA,NA,NA,-111.125,56.875,NA,NA,NA,NA,NA,NA,NA,-111.125,56.875,NA,NA,NA,NA,NA,NA,NA,-111.125,56.875,3892.49207763672,3711.14325561523,61,-7.94113801445055,14.1632724396557,915,64.5869553947769
