Station	Provenance	year
40	4	1993
44	4	1993
48	4	1993
52	4	1993
56	4	1993
60	4	1993
64	4	1994
1	4	1992
5	4	1992
9	4	1992
13	4	1992
17	4	1993
21	4	1993
25	4	1993
29	4	1993
33	4	1993
37	4	1993
41	4	1993
45	4	1993
49	4	1993
53	4	1993
57	4	1993
61	4	1994
2	4	1992
6	4	1992
10	4	1992
14	4	1992
18	4	1993
22	4	1993
26	4	1993
30	4	1993
34	4	1993
38	4	1993
42	4	1993
46	4	1993
50	4	1993
54	4	1993
58	4	1993
62	4	1994
3	4	1992
7	4	1992
11	4	1992
15	4	1992
19	4	1993
23	4	1993
4	4	1992
8	4	1992
12	4	1992
16	4	1992
20	4	1993
24	4	1993
28	4	1993
32	4	1993
36	4	1993
27	4	1993
31	4	1993
35	4	1993
39	4	1993
43	4	1993
47	4	1993
51	4	1993
55	4	1993
59	4	1993
63	4	1994
73	8	1996
69	1	1996
69	8	1996
65	8	1996
65	1	1996
73	1	1996
66	1	1996
70	8	1996
66	8	1996
74	1	1996
74	8	1996
70	1	1996
71	1	1996
71	8	1996
67	1	1996
67	8	1996
75	1	1996
75	8	1996
68	1	1996
76	1	1996
68	8	1996
72	1	1996
76	8	1996
72	8	1996
78	3	1996
81	3	1997
84	3	1997
87	3	1997
90	3	1997
93	3	1997
96	3	1997
77	3	1996
80	3	1997
83	3	1997
86	3	1997
89	3	1997
92	3	1997
95	3	1997
79	3	1996
82	3	1997
85	3	1997
88	3	1997
91	3	1997
94	3	1997
97	3	1997
99	6	2005
98	6	2005
101	7	2005
100	7	2005
99	7	2005
98	7	2005
101	6	2005
100	6	2005
105	5	2004
104	5	2004
109	5	2004
112	5	2004
114	5	2004
103	5	2004
108	5	2004
111	5	2004
106	5	2004
107	5	2004
110	5	2004
102	5	2004
113	5	2004
104	6	2004
109	6	2004
112	6	2004
114	6	2004
103	6	2004
108	6	2004
111	6	2004
106	6	2004
107	6	2004
110	6	2004
102	6	2004
113	6	2004
105	6	2004
104	7	2004
109	7	2004
112	7	2004
114	7	2004
103	7	2004
108	7	2004
111	7	2004
106	7	2004
107	7	2004
110	7	2004
102	7	2004
113	7	2004
105	7	2004
115	9	2001
116	2	1981
116	2	1980
117	2	1981
117	2	1982
117	2	1980
