"year","gdd","gdd.sd","utah","utah.sd","ports","ports.sd","gen","spp","species","complex_name","continent"
1980,192.825584956445,83.9866915039447,875.836077844311,132.604763476525,52.4074626014118,4.17160165174007,"Abi","alb","Abialb","Abies_alba","europe"
1981,372.257313259743,124.759390941348,759.718188622754,136.37840792562,49.7194782313252,5.12254867642593,"Abi","alb","Abialb","Abies_alba","europe"
1982,313.223754360435,95.1516153983115,1115.15232035928,174.025247324124,58.4500236010909,4.59148497338113,"Abi","alb","Abialb","Abies_alba","europe"
1983,376.293496503587,156.344280990544,894.016092814371,135.145029336304,52.5392481933515,3.6872784313563,"Abi","alb","Abialb","Abies_alba","europe"
1984,248.618315042968,104.574798397166,949.265344311377,198.522507305086,52.4581269175016,5.80800175971155,"Abi","alb","Abialb","Abies_alba","europe"
1985,345.241298143066,116.76453012282,863.450973053892,139.277364631436,50.9066075296122,3.06116996457642,"Abi","alb","Abialb","Abies_alba","europe"
1986,424.716026287571,131.884002133418,969.491392215569,160.998825573241,54.8166941345489,4.03969003719393,"Abi","alb","Abialb","Abies_alba","europe"
1987,259.973935400008,90.9484577187404,1060.27245508982,140.392952612769,56.335320247544,3.93023234389117,"Abi","alb","Abialb","Abies_alba","europe"
1988,342.437090954055,117.869070116885,804.983158682635,212.356932885701,52.2976114881065,6.82087864966111,"Abi","alb","Abialb","Abies_alba","europe"
1989,410.984579706714,125.074090450375,928.867140718563,125.378948192254,52.4236117544721,4.39531669928958,"Abi","alb","Abialb","Abies_alba","europe"
1990,418.698067207588,125.426626077699,835.642215568862,106.295373141742,49.2524608159129,3.73231097778169,"Abi","alb","Abialb","Abies_alba","europe"
1991,234.495701246192,98.4123766680873,808.192739520958,177.937097246357,49.5417496179556,6.93253744033654,"Abi","alb","Abialb","Abies_alba","europe"
1992,368.555989291718,112.820882005618,1051.14146706587,234.794329893964,54.0730996733842,6.49905885968792,"Abi","alb","Abialb","Abies_alba","europe"
1993,448.426009796111,139.592271518442,882.489146706587,216.077627007874,51.6046994807287,5.8921943104154,"Abi","alb","Abialb","Abies_alba","europe"
