"","species","min.x","max.x","min.y","max.y"
"1","Acer_pensylvanicum",-89.9094467163086,49.2605476379395,34.8130035400391,49.2605476379395
"2","Acer_rubrum",-97.2541233369978,49.4010020778026,25.54669615333,49.4010020778026
"3","Acer_saccharum",-97.732595912561,49.4220963718856,33.456827051803,49.4220963718856
"4","Fagus_grandifolia",-99.6417518701703,47.9262736391695,19.4499369071999,47.9262736391695
"5","Quercus rubra",-97.7826494466145,49.0856449787245,30.7560983752196,49.0856449787245
"6","Betula_alleghaniensis",-96.0765292799908,49.9502710742435,34.7778918914207,49.9502710742435
"7","Betula_lenta",-87.9935280223258,48.702934158467,33.1902038446098,48.702934158467
"8","Betula_papyrifera",-164.73856500685,68.5049807513066,35.0270015448154,68.5049807513066
"9","Alnus rubra",-140.301834106445,60.0691032409668,34.4879302978516,60.0691032409668
"10","Alnus_incana",-135.379771435661,68.5448388493195,37.914264642079,68.5448388493195
"11","Corylus_cornuta",-128.626375453465,57.0754608830985,32.8271874974437,57.0754608830985
"12","Picea_glauca",-163.986083984375,69.5793762207031,42.7104644775391,69.5793762207031
"13","Pseudotsuga_menziesii",-128.918247878824,55.4171363916659,18.8832298806521,55.4171363916659
"14","Fraxinus_nigra",-97.867876248819,51.5068916789965,37.554699578865,51.5068916789965
"15","Prunus_pensylvanica",-128.294560783293,62.3117887714114,34.808020842917,62.3117887714114
"16","Populus_grandidentata",-96.502612068853,49.993222785593,35.1337235419391,49.993222785593
