"X","Temp.Mean","Temp.SD","Geo.Mean","Geo.SD","species","variable"
"GDD",411.107524965379,205.955673949293,415.581594934648,85.9943834686028,"Abies_alba","GDD"
"GDD.lastfrost",11.5658341483886,23.2335061071888,11.8536884580392,21.1053936247018,"Abies_alba","GDD.lastfrost"
"DayLastFrost",82.1367212532442,25.2111253048202,79.7797110724444,15.3142679238914,"Abies_alba","DayLastFrost"
"MeanTmins",-2.52104223990627,4.65215846463038,-2.62862372265666,1.66325018019093,"Abies_alba","MeanTmins"
"SDev.Tmins",8.51959623128592,2.24057156709351,8.61053396932774,0.885104268136705,"Abies_alba","SDev.Tmins"
"Mean.Chill.Utah",1126.07417270658,562.134003779724,1107.40427836464,232.377619721935,"Abies_alba","Mean.Chill.Utah"
"Mean.Chill.Portions",67.237429080067,23.9303129656941,66.0353283047094,8.93236893577225,"Abies_alba","Mean.Chill.Portions"
"GDD.1",413.133811900579,206.600797063513,414.158784364782,86.8394740442482,"Acer_pseudoplatanus","GDD"
"GDD.lastfrost.1",11.5626061736813,23.2337252097077,11.7780932468781,21.0711278103678,"Acer_pseudoplatanus","GDD.lastfrost"
"DayLastFrost.1",81.9955427135192,25.2317625100959,79.7788595700456,15.3100182945689,"Acer_pseudoplatanus","DayLastFrost"
"MeanTmins.1",-2.48439313414863,4.65205386415325,-2.61751473785875,1.66311836916912,"Acer_pseudoplatanus","MeanTmins"
"SDev.Tmins.1",8.51566443282135,2.24138070258097,8.59890159588187,0.883860584652403,"Acer_pseudoplatanus","SDev.Tmins"
"Mean.Chill.Utah.1",1130.19632133884,563.497255101772,1107.61094477453,232.258672206753,"Acer_pseudoplatanus","Mean.Chill.Utah"
"Mean.Chill.Portions.1",67.3569862526256,23.9454398395294,66.1185127683423,8.92373038197637,"Acer_pseudoplatanus","Mean.Chill.Portions"
"GDD.2",415.825832138327,205.330261263333,415.959778969233,85.4749743374867,"Aesculus_hippocastanum","GDD"
"GDD.lastfrost.2",12.090709292655,23.3608671785953,11.9126865286252,21.1260266281024,"Aesculus_hippocastanum","GDD.lastfrost"
"DayLastFrost.2",81.7367135968626,24.9121570706205,79.8127209657957,15.3203247475475,"Aesculus_hippocastanum","DayLastFrost"
"MeanTmins.2",-2.39573702428071,4.62348383197432,-2.63571746835208,1.66137540863041,"Aesculus_hippocastanum","MeanTmins"
"SDev.Tmins.2",8.49834196116989,2.22485978410795,8.61450047390861,0.885769645500226,"Aesculus_hippocastanum","SDev.Tmins"
