"long","lat","species","continent","type"
16.1444295518737,38.3534338945061,"Abies_alba","europe","min"
16.5637238363533,39.2554966832458,"Abies_alba","europe","min"
16.0508814338322,39.7765239959289,"Abies_alba","europe","min"
14.3186525682819,37.8756495356523,"Acer_pseudoplatanus","europe","min"
21.9386908552684,38.8914618783533,"Aesculus_hippocastanum","europe","min"
-5.50234292443563,36.412863227018,"Alnus_glutinosa","europe","min"
-5.28478201850561,35.2890843740195,"Alnus_glutinosa","europe","min"
44.4891542347508,42.685636358546,"Alnus_incana","europe","min"
-5.59547415064879,40.2628004772526,"Betula_pendula","europe","min"
-4.39220438577865,39.4225916649961,"Betula_pendula","europe","min"
51.8937996080185,35.9935431693928,"Betula_pubescens","europe","min"
51.0693959789803,37.3125236400979,"Carpinus_betulus","europe","min"
21.9201551183922,37.2478492280755,"Cornus_mas","europe","min"
24.3292194397496,35.2612346771936,"Corylus_avellana","europe","min"
36.2773094007571,36.8215317023291,"Corylus_avellana","europe","min"
16.1819587599979,38.4258464985765,"Fagus_sylvatica","europe","min"
14.63193447953,37.8501579412041,"Fagus_sylvatica","europe","min"
36.4400627101284,37.1285058363057,"Fraxinus_excelsior","europe","min"
10.7595533450886,46.5960990138781,"Larix_decidua","europe","min"
24.2387357925484,41.8206610611754,"Picea_abies","europe","min"
7.54103229082766,44.1329456520351,"Picea_abies","europe","min"
118.141314927433,35.9840142623031,"Populus_tremula","europe","min"
5.01394827528926,36.7511599011556,"Prunus_avium","europe","min"
-4.64837078484947,35.0087036460592,"Prunus_avium","europe","min"
-5.6982157803459,40.3686222879761,"Prunus_padus","europe","min"
14.339052811162,39.6384837792613,"Quercus_ilex","europe","min"
51.2005993870304,36.9860287736325,"Quercus_petraea","europe","min"
35.8760868694986,37.5979760391952,"Quercus_petraea","europe","min"
42.0433886281615,38.4274403233067,"Quercus_robur","europe","min"
32.1235353233052,38.0174409607883,"Quercus_robur","europe","min"
48.493527108595,38.6509467839022,"Sorbus_aucuparia","europe","min"
52.0230428845549,36.3113571486648,"Sorbus_aucuparia","europe","min"
45.9759782192762,41.4833167786927,"Tilia_cordata","europe","min"
21.4155309746302,48.9361498291019,"Abies_alba","europe","max"
7.80678097863898,49.1183743088635,"Abies_alba","europe","max"
0.555793357288915,48.7389394298543,"Abies_alba","europe","max"
16.4054395357286,48.2112083080501,"Acer_pseudoplatanus","europe","max"
20.0008164532536,40.2674136553714,"Aesculus_hippocastanum","europe","max"
33.6131831772879,44.7000953166453,"Alnus_glutinosa","europe","max"
21.8122519282555,53.2493281795716,"Alnus_glutinosa","europe","max"
