"","Mean.GDD.1","SDev.GDD.sites.1","Mean.Chill.Utah.1","SDev.Chill.Utah.1","Mean.Chill.Portions.1","SDev.Chill.Portions.1"
"1980",259.54268452654,137.738618852093,848.339083578849,287.980337909927,48.8031927533602,11.8938187719718
"1981",374.236944465552,158.548964100173,757.696038145449,273.538554612873,43.656708096862,11.2343714513336
"1982",332.751942049476,174.903845268222,1012.55907892697,282.138707740829,54.1523894761742,8.68492160885963
"1983",427.559999766087,224.7551450481,855.572414327803,248.271174275624,48.1929276735904,9.80706412867948
"1984",379.234612981591,144.967385308028,862.005621026516,304.884669493332,45.5949450576408,11.7060407133039
"1985",364.1269238771,185.197379201562,782.337106528144,253.028160336555,44.5210131059359,10.5497296288032
"1986",409.446372450514,203.443018691787,929.313188091177,299.543215429946,49.2087956848701,9.56809233906427
"1987",303.802455549658,159.269976263991,875.798185765235,352.2187703669,47.2304421152356,13.9987993998395
"1988",372.004283592431,152.209562907805,713.262056132734,361.803952711605,44.2006853911985,14.7082858060481
"1989",438.86754591768,191.7701561869,878.847224375872,239.403492038288,48.5608728881471,8.54788141646106
"1990",431.932624222139,206.599715301022,828.960071328888,265.391067258889,47.1094334831299,10.2820548087053
"1991",306.960499252072,169.08982024048,840.561249806172,331.439704133894,47.4279179812295,11.7919679367176
"1992",376.910704536729,183.578830252718,844.361102496511,425.508529864865,46.3064941622038,13.858397198792
"1993",435.924873353179,163.984051866071,705.539502248411,378.760759538373,41.998206934828,15.1133002519221
"1994",369.363905650618,215.553243510755,877.351217242983,364.128986830008,49.7895597363331,12.1477887982742
"1995",398.136230079621,195.460198739508,630.51422701194,208.472152891916,39.7269289365132,9.2336725761294
"1996",377.960641656864,197.106631671224,955.684834858117,206.928530635612,49.2192976577476,7.10309700841992
"1997",353.57200934922,229.458314622418,789.822142967902,325.230861157477,45.2671935929909,12.5375895956939
"1998",396.598463175787,184.602114669667,789.055047294154,279.633038094821,44.0809704273656,10.7164544496758
"1999",400.834567232363,198.581625441487,844.029810823384,293.462352978942,47.7111430003882,10.4586509258084
"2000",468.677342043983,202.928486007456,1075.05900139557,283.516199570827,52.822540845842,8.78743393979152
"2001",412.745710454718,204.071029999846,640.573189641805,204.064059677259,39.6815287368118,9.48989063205454
"2002",450.538900886494,190.783162722395,774.975926500233,439.973435654013,42.3499330251605,16.108899754042
"2003",455.491797872756,211.909737110133,935.938866490929,339.527912697206,51.3352485457335,11.4227800615948
"2004",360.372717423733,172.376340875307,922.198286556055,263.26808769624,50.1874374876561,9.82935004436327
"2005",417.077492050351,208.965011870746,807.187432160025,182.077272128411,46.8322834272707,7.14316021429252
"2006",380.552126879609,194.9986743149,997.283380018674,299.371562217277,52.5757693818314,8.91883098185521
"2007",499.124962268516,212.017913552849,855.061887731301,280.104546090078,46.787472480838,10.9122998600397
"2008",406.798051794479,188.73298850524,985.77487948997,202.723559289072,50.8049459035892,7.40077980349297
"2009",452.789148618533,200.913849410096,957.889458955224,312.743671592523,49.25726218397,10.4111882592344
"2010",429.660857589665,184.140836146639,857.322217039801,226.383615810538,45.2532609167596,10.4240607224655
"2011",480.500672953485,222.166445703925,986.141674440299,285.695047749357,53.4371177406935,8.58818043206562
"2012",492.10325626663,225.376380518089,894.759617626486,291.202575332184,48.1453681522525,9.98046554264439
"2013",432.922363036888,198.92350773006,988.644406437068,281.02178109329,53.462995380807,7.30312841410383
"2014",489.921849623493,200.525940199572,827.405908619727,301.163404698378,45.9058902295884,10.0347071097822
"2015",417.708925641459,216.454342106012,1054.1621319716,326.69993125255,54.7035107186974,9.41879929694613
"2016",437.07020915176,170.44620603456,861.434446481231,389.652779388206,47.8621411896278,14.6901681442198
"2017",419.008955074085,250.450315486075,948.8309240476,287.058099626537,51.3448588371604,9.82051419615236
