"minlong","minlat","species","continent","maxlong","maxlat"
16.1444295518737,38.3534338945061,"Abies_alba","europe",21.4155309746302,48.9361498291019
16.5637238363533,39.2554966832458,"Abies_alba","europe",7.80678097863898,49.1183743088635
16.0508814338322,39.7765239959289,"Abies_alba","europe",0.555793357288915,48.7389394298543
14.3186525682819,37.8756495356523,"Acer_pseudoplatanus","europe",16.4054395357286,48.2112083080501
21.9386908552684,38.8914618783533,"Aesculus_hippocastanum","europe",20.0008164532536,40.2674136553714
-5.50234292443563,36.412863227018,"Alnus_glutinosa","europe",33.6131831772879,44.7000953166453
-5.28478201850561,35.2890843740195,"Alnus_glutinosa","europe",21.8122519282555,53.2493281795716
44.4891542347508,42.685636358546,"Alnus_incana","europe",31.2674787456782,58.4441352682778
-5.59547415064879,40.2628004772526,"Betula_pendula","europe",58.6014276465386,65.5649865153668
-4.39220438577865,39.4225916649961,"Betula_pendula","europe",15.107296133354,67.1190513353072
51.8937996080185,35.9935431693928,"Betula_pubescens","europe",47.8994920168894,59.1850309986858
51.0693959789803,37.3125236400979,"Carpinus_betulus","europe",19.6207919490136,47.8784125637008
21.9201551183922,37.2478492280755,"Cornus_mas","europe",10.8674085946035,51.4026831570478
24.3292194397496,35.2612346771936,"Corylus_avellana","europe",17.5730294086593,52.7186295866827
36.2773094007571,36.8215317023291,"Corylus_avellana","europe",34.4203681757789,44.7018213659477
16.1819587599979,38.4258464985765,"Fagus_sylvatica","europe",-0.671107764038947,51.4095147799934
14.63193447953,37.8501579412041,"Fagus_sylvatica","europe",13.5889923420916,49.2187242890769
36.4400627101284,37.1285058363057,"Fraxinus_excelsior","europe",44.0741048274686,51.1062496479538
10.7595533450886,46.5960990138781,"Larix_decidua","europe",10.7595533450886,46.5960990138781
24.2387357925484,41.8206610611754,"Picea_abies","europe",30.5439556794138,59.9029909512951
7.54103229082766,44.1329456520351,"Picea_abies","europe",10.2831557349873,52.9246642445166
118.141314927433,35.9840142623031,"Populus_tremula","europe",158.702903436414,56.0288095291813
5.01394827528926,36.7511599011556,"Prunus_avium","europe",35.05125734788,44.5765153229107
-4.64837078484947,35.0087036460592,"Prunus_avium","europe",9.37855065133396,50.6787096459199
-5.6982157803459,40.3686222879761,"Prunus_padus","europe",67.1240821828351,55.9099091806691
14.339052811162,39.6384837792613,"Quercus_ilex","europe",-1.35791695167703,46.4719912533569
