"","Temp.Mean","Temp.SD","Geo.Mean","Geo.SD","species","variable"
"GDD",0.62756712325531,2.38741096104185,0.612167641721559,1.84423016487957,"Abies_alba","GDD"
"GDD.lastfrost",77.8307877781147,25.7858628506951,75.9198019683481,16.0465517549,"Abies_alba","GDD.lastfrost"
"DayLastFrost",3.44999597158732,2.79350435603336,3.3147681940475,1.10324545637986,"Abies_alba","DayLastFrost"
"MeanTmins",7.63016122012934,1.66641045893536,7.75942677156554,0.790759635408987,"Abies_alba","MeanTmins"
"SDev.Tmins",1998,1998,1998.43237366922,10.5020361683605,"Abies_alba","SDev.Tmins"
"GDD.1",0.62683766880784,2.38385105222319,0.602691607512742,1.82629446399588,"Acer_pseudoplatanus","GDD"
"GDD.lastfrost.1",77.6498462664417,25.8324311882836,75.9277458550787,15.9462903591532,"Acer_pseudoplatanus","GDD.lastfrost"
"DayLastFrost.1",3.48308292180052,2.80266550497636,3.30637606773516,1.10389382196385,"Acer_pseudoplatanus","DayLastFrost"
"MeanTmins.1",7.63454625931782,1.6743737984886,7.75246663170068,0.784442811436718,"Acer_pseudoplatanus","MeanTmins"
"SDev.Tmins.1",1998,1998,1998.21041465049,10.4806656721168,"Acer_pseudoplatanus","SDev.Tmins"
"GDD.2",0.628861576947134,2.384674233967,0.613472803465392,1.84849978772896,"Aesculus_hippocastanum","GDD"
"GDD.lastfrost.2",77.4313920580919,25.4457886195508,75.9067965493296,16.0681304444332,"Aesculus_hippocastanum","GDD.lastfrost"
"DayLastFrost.2",3.49494290837105,2.78780346457795,3.32194074674744,1.10000340681491,"Aesculus_hippocastanum","DayLastFrost"
"MeanTmins.2",7.61061476800937,1.65601621732316,7.76255490408494,0.791797459466337,"Aesculus_hippocastanum","MeanTmins"
"SDev.Tmins.2",1998,1998,1998.49831157136,10.482999091237,"Aesculus_hippocastanum","SDev.Tmins"
"GDD.3",0.628472260233722,2.40160802543529,0.599504783373072,1.83311157292248,"Alnus_glutinosa","GDD"
"GDD.lastfrost.3",77.9069188828792,25.9557005615579,75.9094772727159,16.0351904081471,"Alnus_glutinosa","GDD.lastfrost"
"DayLastFrost.3",3.4447336101316,2.83604762365416,3.26089340778876,1.15653961960521,"Alnus_glutinosa","DayLastFrost"
"MeanTmins.3",7.68215545284875,1.71494461869432,7.77660588838098,0.793687635952176,"Alnus_glutinosa","MeanTmins"
"SDev.Tmins.3",1998,1998,1998,10.7723621115156,"Alnus_glutinosa","SDev.Tmins"
"GDD.4",0.628863790387166,2.40578204722475,0.521060991404116,1.56358499145814,"Alnus_incana","GDD"
"GDD.lastfrost.4",78.457432843364,25.7917526060814,83.5130024050562,13.5755113265116,"Alnus_incana","GDD.lastfrost"
"DayLastFrost.4",3.37036306485445,2.83515880342096,1.97545971718213,0.967771448795902,"Alnus_incana","DayLastFrost"
"MeanTmins.4",7.71687434934269,1.70814679653158,8.25885707731444,0.672867039840276,"Alnus_incana","MeanTmins"
"SDev.Tmins.4",1998,1998,1995.32457691336,8.96106220836913,"Alnus_incana","SDev.Tmins"
"GDD.5",0.628560254669778,2.40255241952507,0.55352414122797,1.66275948110173,"Betula_pendula","GDD"
"GDD.lastfrost.5",78.0989647685435,25.9567719127231,80.3738847967817,14.5054682569921,"Betula_pendula","GDD.lastfrost"
"DayLastFrost.5",3.41283207438158,2.83516395817969,2.50139919882678,1.04523549448204,"Betula_pendula","DayLastFrost"
"MeanTmins.5",7.69817251091231,1.71416695270544,8.08346751834808,0.71905106092723,"Betula_pendula","MeanTmins"
"SDev.Tmins.5",1998,1998,1996.33060795223,9.70702262181711,"Betula_pendula","SDev.Tmins"
"GDD.6",0.628583606048845,2.40249240547696,0.495671048796736,1.4766634816048,"Betula_pubescens","GDD"
"GDD.lastfrost.6",78.2862743424913,25.966695063106,85.3898907588362,12.852622766254,"Betula_pubescens","GDD.lastfrost"
"DayLastFrost.6",3.39116211420736,2.83959903389271,1.71197083795032,0.924907482957591,"Betula_pubescens","DayLastFrost"
"MeanTmins.6",7.70792605980805,1.71235132894681,8.33118690397401,0.638320650180085,"Betula_pubescens","MeanTmins"
"SDev.Tmins.6",1998,1998,1994.36163559473,8.5061484187613,"Betula_pubescens","SDev.Tmins"
"GDD.7",0.626993314498149,2.38521120464363,0.594066264192718,1.80631513798079,"Carpinus_betulus","GDD"
"GDD.lastfrost.7",77.5551199843834,25.8789308029552,75.9329904209168,15.8201511334285,"Carpinus_betulus","GDD.lastfrost"
"DayLastFrost.7",3.48958224233967,2.80499343717656,3.30587525779673,1.10252539830058,"Carpinus_betulus","DayLastFrost"
"MeanTmins.7",7.64417468923499,1.68422545493402,7.74517034246199,0.776819895327775,"Carpinus_betulus","MeanTmins"
"SDev.Tmins.7",1998,1998,1997.97382391978,10.4175746213625,"Carpinus_betulus","SDev.Tmins"
"GDD.8",0.628106330430332,2.38885271806012,0.583032558322692,1.75727606610908,"Cornus_mas","GDD"
"GDD.lastfrost.8",77.4880672907384,25.8759446125235,75.7133189524366,15.4753478065681,"Cornus_mas","GDD.lastfrost"
"DayLastFrost.8",3.52032449200367,2.81262993632059,3.38773534153216,1.05488647805802,"Cornus_mas","DayLastFrost"
"MeanTmins.8",7.63164186841815,1.67473856297569,7.69558634044479,0.754250929873959,"Cornus_mas","MeanTmins"
"SDev.Tmins.8",1998,1998,1997.54355450576,10.0572109613859,"Cornus_mas","SDev.Tmins"
"GDD.9",0.627537986790953,2.39448646056594,0.592444614990269,1.76480561427122,"Corylus_avellana","GDD"
