"","Temp.Mean","Temp.SD","Geo.Mean","Geo.SD","species","variable"
"GDD.7",174.287246778426,82.9419372503623,172.841762362986,52.2950320102528,"Carpinus_betulus","GDD"
"GDD.lastfrost.7",0.865888127763884,2.42152227245281,0.850420615076483,2.13673141207696,"Carpinus_betulus","GDD.lastfrost"
"DayLastFrost.7",65.5351008032198,21.3180731462237,64.042307407244,18.8943461722885,"Carpinus_betulus","DayLastFrost"
"MeanTmins.7",4.83336556575779,1.87011211374891,4.80708784106131,1.01716803712579,"Carpinus_betulus","MeanTmins"
"SDev.Tmins.7",6.79231710083326,0.889449871467207,6.81031423811406,0.644998296934523,"Carpinus_betulus","SDev.Tmins"
"Mean.Chill.Utah.7",1439.2928856616,359.830702898206,1439.76563989875,268.505583664943,"Carpinus_betulus","Mean.Chill.Utah"
"Mean.Chill.Portions.7",83.8469427504021,11.142193000839,83.7640855916089,8.64146421774388,"Carpinus_betulus","Mean.Chill.Portions"
"GDD.8",208.344696859818,115.193288657105,207.53957605686,54.1668285929345,"Cornus_mas","GDD"
"GDD.lastfrost.8",1.07360565977738,2.96611018671044,1.08667818357357,2.67330827995438,"Cornus_mas","GDD.lastfrost"
"DayLastFrost.8",63.0897599120686,22.464166398697,60.9531929621795,18.421843411031,"Cornus_mas","DayLastFrost"
"MeanTmins.8",5.45784783570944,2.45296443597673,5.44097428881465,1.01361697942856,"Cornus_mas","MeanTmins"
"SDev.Tmins.8",6.44351367476887,0.819316744371653,6.4494448305577,0.603889202741873,"Cornus_mas","SDev.Tmins"
"Mean.Chill.Utah.8",1409.92896413429,357.627112980399,1409.21752232828,249.053669118386,"Cornus_mas","Mean.Chill.Utah"
"Mean.Chill.Portions.8",84.7654591580954,10.3513823065134,84.7383431722513,7.38683867885814,"Cornus_mas","Mean.Chill.Portions"
"GDD.9",147.528828193987,90.3510293818548,144.021953014981,47.1817816055691,"Corylus_avellana","GDD"
"GDD.lastfrost.9",0.620682291879379,2.24874934845484,0.588519107324747,1.73328718755498,"Corylus_avellana","GDD.lastfrost"
"DayLastFrost.9",75.2164948206575,24.6429232884462,72.9431487550381,16.5880065031056,"Corylus_avellana","DayLastFrost"
"MeanTmins.9",3.76531706413406,2.39515386927347,3.66769823686775,1.10809874881173,"Corylus_avellana","MeanTmins"
"SDev.Tmins.9",7.48173676048874,1.54003492159211,7.53715415719936,0.75787562467153,"Corylus_avellana","SDev.Tmins"
"Mean.Chill.Utah.9",1296.7517616026,514.617482014953,1285.21730856839,252.407379130314,"Corylus_avellana","Mean.Chill.Utah"
"Mean.Chill.Portions.9",76.1242743919567,19.4541016240255,75.4830761664029,9.11116483880144,"Corylus_avellana","Mean.Chill.Portions"
"GDD.10",148.601941612831,72.8720971037803,147.400297733066,47.708583291309,"Fagus_sylvatica","GDD"
"GDD.lastfrost.10",0.926327804856488,2.41998021646524,0.905665062065363,2.2840231993124,"Fagus_sylvatica","GDD.lastfrost"
"DayLastFrost.10",64.9764300887928,22.5063107753898,63.4512897962733,19.9931660897472,"Fagus_sylvatica","DayLastFrost"
"MeanTmins.10",4.51703171784938,1.73529369311449,4.50656751685572,0.971058193805999,"Fagus_sylvatica","MeanTmins"
"SDev.Tmins.10",6.52239779318544,0.697527220844136,6.5446884906757,0.555222029477214,"Fagus_sylvatica","SDev.Tmins"
"Mean.Chill.Utah.10",1529.23204872934,373.517035997592,1532.33281389333,274.849363876796,"Fagus_sylvatica","Mean.Chill.Utah"
"Mean.Chill.Portions.10",87.1750013240945,10.0952816515487,87.1714523489083,8.3457388062128,"Fagus_sylvatica","Mean.Chill.Portions"
"GDD.11",152.798844058231,86.8284064080949,149.951279148336,48.1741012511511,"Fraxinus_excelsior","GDD"
"GDD.lastfrost.11",0.651504815668644,2.32228165725502,0.61866788771452,1.79032789134417,"Fraxinus_excelsior","GDD.lastfrost"
"DayLastFrost.11",73.8025503588174,23.5897673394842,71.9620605709306,16.7341220499004,"Fraxinus_excelsior","DayLastFrost"
"MeanTmins.11",3.96237406474817,2.21928848179893,3.88864522474808,1.10117166268979,"Fraxinus_excelsior","MeanTmins"
"SDev.Tmins.11",7.49241588774827,1.4417811544151,7.52978211928133,0.769200204187665,"Fraxinus_excelsior","SDev.Tmins"
"Mean.Chill.Utah.11",1306.23020224822,498.018996942205,1299.08550475204,255.5118998986,"Fraxinus_excelsior","Mean.Chill.Utah"
"Mean.Chill.Portions.11",76.8307124986519,18.6164280556632,76.3522282670577,9.15086885454559,"Fraxinus_excelsior","Mean.Chill.Portions"
"GDD.12",28.4447867590507,30.8459565680651,28.5671155297307,16.8739727115256,"Larix_decidua","GDD"
"GDD.lastfrost.12",0.250611339915417,0.77555087615157,0.251426099498871,0.905239422026545,"Larix_decidua","GDD.lastfrost"
"DayLastFrost.12",103.010142923319,20.2799406717678,102.952876984127,15.0199652460185,"Larix_decidua","DayLastFrost"
"MeanTmins.12",-0.0241655605638151,2.14641206810382,-0.0186080350139826,1.11942197110924,"Larix_decidua","MeanTmins"
"SDev.Tmins.12",6.70848344101871,0.350239272904049,6.70982030462421,0.499241244825748,"Larix_decidua","SDev.Tmins"
"Mean.Chill.Utah.12",970.61043299512,259.398848847416,970.432734073359,197.779556963673,"Larix_decidua","Mean.Chill.Utah"
"Mean.Chill.Portions.12",72.6620542477441,12.0047110493207,72.6538264113229,9.30258409916081,"Larix_decidua","Mean.Chill.Portions"
"GDD.13",71.1007408684857,56.8904283727016,67.4454798328496,31.4344545094438,"Picea_abies","GDD"
"GDD.lastfrost.13",0.348691926372689,1.52464538205864,0.338380999185491,1.410291052129,"Picea_abies","GDD.lastfrost"
"DayLastFrost.13",99.9634023371894,19.6736726065056,100.997915864535,12.6381842016932,"Picea_abies","DayLastFrost"
"MeanTmins.13",0.0440055475508019,2.90220747243408,-0.167302768737023,1.40546209327825,"Picea_abies","MeanTmins"
"SDev.Tmins.13",9.22948735127318,1.49591129618071,9.32509392612282,0.996731706942785,"Picea_abies","SDev.Tmins"
"Mean.Chill.Utah.13",778.205218888121,372.295638127959,753.337516815458,210.475586388875,"Picea_abies","Mean.Chill.Utah"
"Mean.Chill.Portions.13",52.7427192208801,19.7276883655172,51.3410674046993,10.1437352971019,"Picea_abies","Mean.Chill.Portions"
"GDD.14",116.687554029737,94.1787407068055,109.497125038158,38.8977366920446,"Populus_tremula","GDD"
"GDD.lastfrost.14",0.569150380594395,2.26098694043789,0.528426936141229,1.62390836601038,"Populus_tremula","GDD.lastfrost"
"DayLastFrost.14",85.6247468305976,28.1683020149045,85.3748458128135,15.0196205491293,"Populus_tremula","DayLastFrost"
"MeanTmins.14",2.15835328836355,3.61836400064835,1.82191027833535,1.24130839239359,"Populus_tremula","MeanTmins"
"SDev.Tmins.14",8.19868948149705,1.85325542277209,8.34398555350309,0.835544278724218,"Populus_tremula","SDev.Tmins"
"Mean.Chill.Utah.14",1093.54159749022,579.849068877161,1052.3931425712,229.553780076582,"Populus_tremula","Mean.Chill.Utah"
"Mean.Chill.Portions.14",66.6525960867894,24.6936544978506,64.5836137888004,9.18621162290088,"Populus_tremula","Mean.Chill.Portions"
"GDD.15",154.322916383238,96.3027952399838,151.726305236745,46.7492822671585,"Prunus_avium","GDD"
"GDD.lastfrost.15",0.817238484572262,2.37736907643547,0.781480380405383,1.99105292602849,"Prunus_avium","GDD.lastfrost"
"DayLastFrost.15",64.9327004632664,24.8808331445417,61.6868714214794,19.4009408586003,"Prunus_avium","DayLastFrost"
"MeanTmins.15",4.66135314976299,2.15336631426255,4.61808824915281,0.967811491023515,"Prunus_avium","MeanTmins"
"SDev.Tmins.15",6.54195799425479,0.913082841053357,6.569116767592,0.53991980635944,"Prunus_avium","SDev.Tmins"
"Mean.Chill.Utah.15",1555.70483920426,459.947262266763,1561.19177809987,266.661520496895,"Prunus_avium","Mean.Chill.Utah"
"Mean.Chill.Portions.15",87.3991802080148,12.9059220987491,87.4703434389623,8.10145015988753,"Prunus_avium","Mean.Chill.Portions"
"GDD.16",108.255561148534,85.7452507875597,101.68513936377,37.7547030133029,"Prunus_padus","GDD"
"GDD.lastfrost.16",0.483749747660934,1.94966355450539,0.450891555665747,1.52247216094653,"Prunus_padus","GDD.lastfrost"
"DayLastFrost.16",87.7754322232303,27.1482075206069,87.9063488117599,14.7280277026041,"Prunus_padus","DayLastFrost"
"MeanTmins.16",1.79269286210677,3.4886280539999,1.50161012353796,1.25904091201896,"Prunus_padus","MeanTmins"
"SDev.Tmins.16",8.43080553184584,1.76919515643376,8.54464885252094,0.865470378663556,"Prunus_padus","SDev.Tmins"
"Mean.Chill.Utah.16",1045.78261713697,572.165014187486,1008.51853784413,228.463405768184,"Prunus_padus","Mean.Chill.Utah"
"Mean.Chill.Portions.16",64.3962514819156,24.4310673735326,62.5100783619707,9.43664852450796,"Prunus_padus","Mean.Chill.Portions"
"GDD.17",290.607671278502,133.154249822043,290.846984409436,70.6834539947198,"Quercus_ilex","GDD"
"GDD.lastfrost.17",0.982642673001474,2.74267421551379,0.98878139564829,2.58012231818277,"Quercus_ilex","GDD.lastfrost"
"DayLastFrost.17",45.3430577183512,21.1878910152582,38.9292898013722,17.7905393120287,"Quercus_ilex","DayLastFrost"
"MeanTmins.17",7.65233713300027,2.23811966390389,7.64396387445202,0.995737881312086,"Quercus_ilex","MeanTmins"
"SDev.Tmins.17",5.17978585148763,0.486241256505268,5.18596192319318,0.382119944290563,"Quercus_ilex","SDev.Tmins"
"Mean.Chill.Utah.17",1540.15373633882,422.140824798522,1541.33592283972,242.211127962648,"Quercus_ilex","Mean.Chill.Utah"
"Mean.Chill.Portions.17",86.4612159490744,10.8744284987817,86.4920354283398,5.99846374387871,"Quercus_ilex","Mean.Chill.Portions"
"GDD.18",149.580548594041,84.3360829551205,147.564064113023,45.9753907013077,"Quercus_petraea","GDD"
"GDD.lastfrost.18",0.913353678391125,2.51875891942982,0.883322241357918,2.18561246656015,"Quercus_petraea","GDD.lastfrost"
"DayLastFrost.18",63.22149240422,23.1553347768974,60.5679796286744,19.9869835696494,"Quercus_petraea","DayLastFrost"
"MeanTmins.18",4.71694104506593,1.79725906591563,4.70612372355626,0.963179151749032,"Quercus_petraea","MeanTmins"
"SDev.Tmins.18",6.54049242499942,0.748514433735118,6.5477961470352,0.528947129625229,"Quercus_petraea","SDev.Tmins"
"Mean.Chill.Utah.18",1595.03384533116,432.011456387138,1602.19487010808,271.171879822743,"Quercus_petraea","Mean.Chill.Utah"
"Mean.Chill.Portions.18",88.8034515235541,11.4723418381282,88.9209566387597,8.03945091123782,"Quercus_petraea","Mean.Chill.Portions"
"GDD.19",155.585210679242,85.9247422885351,152.405820517987,49.2314825010821,"Quercus_robur","GDD"
"GDD.lastfrost.19",0.622873354484232,2.1894872299736,0.591569231931182,1.72716490855685,"Quercus_robur","GDD.lastfrost"
"DayLastFrost.19",73.7611280960484,23.3572098223144,71.6099954119576,16.5989150690656,"Quercus_robur","DayLastFrost"
"MeanTmins.19",3.99267222153012,2.1225559015164,3.91196656654127,1.11695033960374,"Quercus_robur","MeanTmins"
"SDev.Tmins.19",7.57887966845936,1.51284544745983,7.6143960947052,0.78283111515926,"Quercus_robur","SDev.Tmins"
"Mean.Chill.Utah.19",1304.98996658893,513.809476645554,1296.17029570999,256.982188349337,"Quercus_robur","Mean.Chill.Utah"
"Mean.Chill.Portions.19",75.994791483279,19.3610329473794,75.4814019078329,9.23078820364493,"Quercus_robur","Mean.Chill.Portions"
"GDD.20",99.0783269720395,80.8225992144568,92.6579502259037,35.6685589535566,"Sorbus_aucuparia","GDD"
"GDD.lastfrost.20",0.481811030598902,1.95985276356849,0.44515853096237,1.48283677792843,"Sorbus_aucuparia","GDD.lastfrost"
"DayLastFrost.20",88.4789363525876,28.2526570444229,88.0660042206038,14.9041304916928,"Sorbus_aucuparia","DayLastFrost"
"MeanTmins.20",1.65842274963498,3.54687040240878,1.34421640101554,1.24713662886642,"Sorbus_aucuparia","MeanTmins"
"SDev.Tmins.20",8.31126827682794,1.86010355741895,8.45127861290075,0.82110709090645,"Sorbus_aucuparia","SDev.Tmins"
"Mean.Chill.Utah.20",1071.42945501686,597.749544157986,1027.26977915141,225.637465465884,"Sorbus_aucuparia","Mean.Chill.Utah"
"Mean.Chill.Portions.20",65.2715429628643,25.3415361731808,63.1555879992328,9.22973939200695,"Sorbus_aucuparia","Mean.Chill.Portions"
"GDD.21",139.810329362898,83.6281332763902,135.831139502484,46.4042474692592,"Tilia_cordata","GDD"
"GDD.lastfrost.21",0.613423424221605,2.25576727901004,0.587427626505664,1.8143258173361,"Tilia_cordata","GDD.lastfrost"
"DayLastFrost.21",79.7159512346125,23.980303954874,79.3721970440365,15.5807593256357,"Tilia_cordata","DayLastFrost"
"MeanTmins.21",3.1635534224424,2.57119277716718,3.01662510247999,1.19314669293238,"Tilia_cordata","MeanTmins"
"SDev.Tmins.21",7.9396107484029,1.60286495093245,8.01922105107292,0.858798615967494,"Tilia_cordata","SDev.Tmins"
"Mean.Chill.Utah.21",1157.5891039722,473.123106411149,1138.79856019611,247.732349747236,"Tilia_cordata","Mean.Chill.Utah"
"Mean.Chill.Portions.21",70.3505589795993,20.225119287648,69.3264330147195,9.61111730849051,"Tilia_cordata","Mean.Chill.Portions"
