"","x","y","GDD","GDD.lastfrost","DayLastFrost","MeanTmins","SDev.Tmins","Mean.Chill.Utah","Mean.Chill.Portions","year","ID","weights"
"1",19.875,40.375,127.469985080883,0.969999754801393,29,6.07244668710739,5.09369888368582,1591,88.2598086317978,1980,1,1.78305645529446
"2",21.125,39.875,8.00999847985804,0,66,1.14904254201324,5.80936823265257,1302,85.6176907971048,1980,2,1.79167621309992
"3",21.375,39.875,36.4599933736026,0,65,3.38212759854232,5.46511505898571,1452,91.5846965465925,1980,3,1.79167621309992
"4",21.125,39.625,9.8699984382838,0,65,1.39829785553144,5.78329818552529,1347.5,87.5522798802358,1980,4,1.79595226393844
"5",21.375,39.625,11.2799981832504,0,65,1.7668084856519,5.67887733516977,1392.5,88.7169343786408,1980,5,1.79595226393844
"6",21.625,39.125,24.1999954357743,0,62,3.13425526353828,5.46527513549285,1497.5,90.5569536782852,1980,6,1.80443631368747
"7",21.625,38.875,48.549991985783,0,61,3.99925524414458,5.37498312616535,1513,90.0831613688077,1980,7,1.80864415562071
"8",21.875,38.875,16.3699965048581,0,62,2.98308505415124,5.49137986341316,1508.5,91.5044856558289,1980,8,1.80864415562071
"9",22.375,38.625,27.529995361343,0,67,3.75861695176981,5.44811551283988,1500,89.1895732446504,1980,9,1.81282910502335
"10",19.875,40.375,267.859977696091,0,47,7.78936154234837,4.73180759315014,1745,89.9652651824583,1981,1,1.78305645529446
"11",21.125,39.875,53.5299929920584,0,50,3.52170206344825,5.19523556222764,1173,87.0404603694766,1981,2,1.79167621309992
"12",21.375,39.875,151.1399843283,0,48,5.49999989162972,4.96476913015984,1350,89.719953544519,1981,3,1.79167621309992
"13",21.125,39.625,56.2499929312617,0,50,3.65042546476693,5.15290428893483,1244.5,88.1691020084901,1981,4,1.79595226393844
"14",21.375,39.625,68.4099915418774,0,49,3.99170205294293,5.07815578049393,1221.5,87.1708103724835,1981,5,1.79595226393844
"15",21.625,39.125,97.409989329055,0,48,5.02297862557734,4.84403290402368,1433.5,88.7077888648911,1981,6,1.80443631368747
"16",21.625,38.875,128.84998572059,0,48,5.72382967368244,4.74084068904675,1549.5,89.3660467525368,1981,7,1.80864415562071
"17",21.875,38.875,74.2799914106727,0,48,4.92287224483617,4.81843397297087,1367.5,86.3120551586966,1981,8,1.80864415562071
"18",22.375,38.625,83.9399898536503,0,48,5.56680840071528,4.79055956845082,1362.5,86.387481213977,1981,9,1.81282910502335
"19",19.875,40.375,256.109981311485,0,NA,7.08670198358595,5.30275317231124,1655.5,88.3497311911168,1982,1,1.78305645529446
"20",21.125,39.875,51.0299932714552,0,86,2.13170209451717,6.09174208234472,1499.5,94.8092630068642,1982,2,1.79167621309992
"21",21.375,39.875,132.519987650216,0,85,4.18734034650186,5.79898630865223,1592,96.5846040273023,1982,3,1.79167621309992
"22",21.125,39.625,53.6599932126701,0,86,2.28468081444264,6.0266822693679,1529.5,95.32339474859,1982,4,1.79595226393844
"23",21.375,39.625,64.7799927406013,0,86,2.63010633869612,5.9743567467564,1554.5,95.6109971669749,1982,5,1.79595226393844
"24",21.625,39.125,93.9899911936373,0,86,3.67691482587698,5.78210522333453,1572.5,95.7591221297121,1982,6,1.80443631368747
"25",21.625,38.875,125.199988260865,0.109999550506473,85,4.40925523498036,5.69099405471358,1572,92.6065814333554,1982,7,1.80864415562071
"26",21.875,38.875,77.0599924661219,0,86,3.4630850434224,5.82540994337684,1559.5,95.7256012178378,1982,8,1.80864415562071
"27",22.375,38.625,87.9199915528297,0,85,4.05053183886203,5.77959914389117,1567,93.0852473973323,1982,9,1.81282910502335
"28",19.875,40.375,327.429978152737,3.07999926060438,56,7.84893600910189,5.48069494467998,2258,96.3419762137363,1983,1,1.78305645529446
"29",21.125,39.875,100.419989708811,0,75,3.01308505354013,6.17073406677467,1419.5,93.0782599284053,1983,2,1.79167621309992
"30",21.375,39.875,227.559983290732,0,75,4.83457437458825,6.01468401269092,1815.5,96.4514983185167,1983,3,1.79167621309992
"31",21.125,39.625,103.319989643991,0,75,3.01627654277105,6.14652858726732,1534.5,95.6383698063677,1983,4,1.79595226393844
"32",21.375,39.625,125.839988023043,0,75,3.29010632394397,6.12307979530464,1579.5,95.3345201316164,1983,5,1.79595226393844
"33",21.625,39.125,178.369985060766,0,75,4.05180843451873,6.01475861427253,1961,99.1622943845344,1983,6,1.80443631368747
"34",21.625,38.875,217.969983505085,0,75,4.70180841993065,5.95333427038788,2133,98.7081743250215,1983,7,1.80864415562071
"35",21.875,38.875,156.229986226186,0,75,3.81797865251119,6.07435645614702,1905.5,97.9007440455811,1983,8,1.80864415562071
"36",22.375,38.625,182.969985181466,0,75,4.45031906396864,6.0432419070927,2073,98.8593883354881,1983,9,1.81282910502335
"37",19.875,40.375,193.929982701316,0,NA,7.00914879383004,4.94675591734069,1444,84.2401491378314,1984,1,1.78305645529446
"38",21.125,39.875,50.1599935144186,0,66,1.9645744386783,5.70060545128828,1298.5,83.1184128812666,1984,2,1.79167621309992
"39",21.375,39.875,125.079990275204,0,29,4.156595666338,5.33537899855504,1414.5,87.3184714293631,1984,3,1.79167621309992
"40",21.125,39.625,54.6599934138358,0,66,2.09212762725718,5.61735394576933,1387,86.4390173370397,1984,4,1.79595226393844
"41",21.375,39.625,69.299992416054,0,45,2.49127655456516,5.54940881535907,1370,85.5691817734737,1984,5,1.79595226393844
"42",21.625,39.125,106.16999114491,0,45,3.60489355089103,5.319255405943,1564.5,89.865121844584,1984,6,1.80443631368747
"43",21.625,38.875,132.819990325719,0,29,4.45425523397453,5.19759674818454,1616.5,90.0223986574473,1984,7,1.80864415562071
"44",21.875,38.875,96.5699913594872,0,45,3.33819142919272,5.34125202171452,1567.5,89.73764244319,1984,8,1.80864415562071
