"","Geo.Mean","Geo.SD","Temp.Mean","Temp.SD","species","variable"
"GDD",748.333277506377,251.838605694443,748.333277506377,96.131385712064,"betulent","GDD"
"GDD.lastfrost",171.045714788897,129.566647796088,171.045714788897,87.0130862847466,"betulent","GDD.lastfrost"
"DayLastFrost",96.537042196836,12.2091437163739,96.537042196836,11.0429529078385,"betulent","DayLastFrost"
"MeanTmins",-2.08595352507468,2.33690170498702,-2.08595352507468,1.14680262647345,"betulent","MeanTmins"
"SDev.Tmins",10.6548228820216,0.466915854840029,10.6548228820216,0.524865492919136,"betulent","SDev.Tmins"
"Mean.Chill.Utah",933.192068357017,150.594079923334,933.192068357017,174.424446246608,"betulent","Mean.Chill.Utah"
"Mean.Chill.Portions",76.3580798663777,5.52873287349721,76.3580798663777,5.72328390200837,"betulent","Mean.Chill.Portions"
"GDD.1",447.578513119299,204.299406556451,447.578513119299,90.777932296475,"popugran","GDD"
"GDD.lastfrost.1",89.6126477135809,80.6761523844791,89.6126477135809,62.9610227281798,"popugran","GDD.lastfrost"
"DayLastFrost.1",110.405392386606,16.0826683473444,110.405392386606,10.2605277668464,"popugran","DayLastFrost"
"MeanTmins.1",-7.15315790321901,4.04922050303299,-7.15315790321901,1.44717603000895,"popugran","MeanTmins"
"SDev.Tmins.1",11.9214672948528,1.21267584040169,11.9214672948528,0.63207866102318,"popugran","SDev.Tmins"
"Mean.Chill.Utah.1",736.062233114617,204.670911627748,736.062233114617,147.006626767138,"popugran","Mean.Chill.Utah"
"Mean.Chill.Portions.1",62.3637734966935,13.598907335878,62.3637734966935,7.52333803534135,"popugran","Mean.Chill.Portions"
"GDD.2",926.653532262646,557.137329618195,926.653532262646,104.585375553831,"fagugran","GDD"
"GDD.lastfrost.2",182.216899392636,159.960169687623,182.216899392636,99.9626948524267,"fagugran","GDD.lastfrost"
"DayLastFrost.2",89.3916937265306,23.8613649801971,88.4443020454147,12.8913410012172,"fagugran","DayLastFrost"
"MeanTmins.2",-1.16865677091967,5.05477662575225,-1.16865677091967,1.19658642676795,"fagugran","MeanTmins"
"SDev.Tmins.2",10.9768028559505,0.727799634780385,10.9768028559505,0.531130033300961,"fagugran","SDev.Tmins"
