"range_area","species","continent"
506568.908628212,"Betula_lenta","north america"
2275602.55754217,"Populus_grandidentata","north america"
2294474.60521804,"Fagus_grandifolia","north america"
2932916.25031734,"Quercus_rubra","north america"
758161.176989052,"Acer_pensylvanicum","north america"
7213345.12564971,"Betula_papyrifera","north america"
2207790.65983013,"Fraxinus_nigra","north america"
7293045.54787777,"Picea_mariana","north america"
440054.147212228,"Robinia_pseudoacacia","north america"
1124728.78468528,"Pseudotsuga_menziesii","north america"
4793516.56289555,"Prunus_pensylvanica","north america"
7937920.52477058,"Populus_tremuloides","north america"
1522617.68286398,"Betula_alleghaniensis","north america"
2288462.73264429,"Acer_saccharum","north america"
5749943.07916662,"Alnus_incana","north america"
3248133.04942971,"Acer_rubrum","north america"
2529885.88179944,"Corylus_cornuta","north america"
7094804.74965309,"Picea_glauca","north america"
699602.069571668,"Abies_alba","europe"
2124652.63948278,"Acer_pseudoplatanus","europe"
4929.36221471296,"Aesculus_hippocastanum","europe"
8888799.84237416,"Alnus_glutinosa","europe"
6148400.86087302,"Alnus_incana","europe"
26030919.3478302,"Betula_pendula","europe"
18925652.1787527,"Betula_pubescens","europe"
3685193.73653687,"Carpinus_betulus","europe"
2576755.85273222,"Cornus_mas","europe"
8288847.54379876,"Corylus_avellana","europe"
2494736.56572313,"Fagus_sylvatica","europe"
7757148.24103909,"Fraxinus_excelsior","europe"
119979.324204328,"Larix_decidua","europe"
4107357.22476451,"Picea_abies","europe"
26631646.8117089,"Populus_tremula","europe"
4360176.87696627,"Prunus_avium","europe"
20527851.9632857,"Prunus_padus","europe"
1848754.27098136,"Quercus_ilex","europe"
3852242.39449995,"Quercus_petraea","europe"
7081721.28819768,"Quercus_robur","europe"
24273971.2594938,"Sorbus_aucuparia","europe"
7260214.73610841,"Tilia_cordata","europe"
