date,airt,airtmax,airtmin,airtmmx,airtmmn,prec
1964-01,24.3,31.7,17.2,51.3,-4.9,5.55
1964-02,21.1,30.5,12.2,40.3,-4.9,1.5
1964-03,34,41.3,26.6,63.3,15.1,2.42
1964-04,42.5,51.1,33.6,78.3,10,2.42
1964-05,57.1,69.3,45.6,89.2,30,1.4
1964-06,63.7,75,52.5,90.3,37,2.19
1964-07,69.1,78.2,60.6,92.3,44.1,2.8
1964-08,61.3,70.7,52.4,85.3,40.1,1.68
1964-09,57.6,68,47.5,81.3,31.1,0.82
1964-10,48,59.2,36.7,78.3,22.1,1.28
1964-11,40.2,48,32.7,65.3,17.1,2.06
1964-12,25.1,31.4,19,56.3,-0.9,3.43
1965-01,17.5,24.4,10.6,44.8,-13.9,1.26
1965-02,18.1,23.4,13,40.3,-13.7,1.98
1965-03,31,37.7,24.7,54.7,12,1.22
1965-04,40.9,49.6,32,65.3,15.1,1.99
1965-05,57.6,71,44.5,87.3,33.1,1
1965-06,62.3,73.6,51.4,87.3,39,2.39
1965-07,66.4,77.4,55.5,89.2,44.1,2.56
1965-08,67,76.3,57.8,89.2,33.1,2.03
1965-09,60.1,68,52.9,81.3,39,2.15
1965-10,47.9,58.2,38.1,78.3,21,2.47
1965-11,35.5,43.3,28,60.3,15.1,2
1965-12,29,34.6,23.6,54.3,3,1.72
1966-01,22.4,30.5,14.9,54.3,-4.9,2.32
1966-02,24.8,32.3,17.7,47.3,-4.9,2.8
1966-03,34.2,42.4,25.7,60.3,12,2.19
1966-04,41.7,51.5,32,63.3,24.1,0.84
1966-05,52.1,63.4,41.3,83.3,28,2.32
1966-06,64.1,74.5,53.6,87.3,40.1,1.63
1966-07,69,80.8,57.3,92.3,44.1,2.89
1966-08,66.6,76.9,56,85.3,46,1.44
1966-09,56.8,66.9,46.8,87.3,31.1,4.33
1966-10,47.1,58,37,74.3,19,3.2
1966-11,41.3,48.9,33.9,63.3,15.1,3.25
1966-12,25.5,33,18.1,60.3,1,2.05
1967-01,27.1,33.9,20.7,53.2,-2.9,1.03
1967-02,18.7,28.2,9.7,53.2,-17,3.3
1967-03,28.1,36.4,20.3,62.2,-13.9,2.42
1967-04,40.8,48.9,32.7,65.3,21,3.16
1967-05,47.3,57.5,37.2,76.3,19,6.09
1967-06,66.2,76.7,56.1,89.2,46,3.26
1967-07,69.6,77.5,62,83.3,49.1,4.29
1967-08,66.1,74.7,58.1,81.3,46,2.88
1967-09,58.9,69.1,48.8,78.3,37,2.64
1967-10,48.9,57.8,40.2,76.3,28,3.53
1967-11,33.3,40.5,25.8,67.3,10,4
1967-12,28,35.5,20.7,51.3,3,4.38
1968-01,17.7,25.6,9.8,42.3,-17,0.93
1968-02,19.2,27.2,11.4,44.2,-6,0.42
1968-03,34.5,43.2,26,65.7,6.1,3.81
1968-04,48,59.3,36.9,80.2,24.1,1.59
1968-05,53.3,64,42.9,72.3,30,3.68
1968-06,63,70.3,55.9,87.3,46,6.82
1968-07,70,79.1,61,92.3,48,0.89
1968-08,64.4,75.6,53.5,89.2,42.1,0.51
1968-09,61.8,72.3,51.5,80.2,35.1,1.87
1968-10,51.5,60.8,42.4,78.3,28,2.28
1968-11,36,42,30.4,62.8,19.2,4.65
1968-12,22.3,29.4,15.8,47.3,-13.9,4.79
1969-01,22.2,28.7,15.8,44.2,-2.9,1.21
1969-02,24.6,30.6,18.9,38.3,-2.9,2.61
1969-03,29.7,37.1,22.7,56.3,-0.9,2.04
1969-04,46.3,56.2,36.8,80.2,12,4.33
1969-05,54.1,64.8,43.7,81.3,30,2.56
1969-06,63.5,73.2,54.4,87.3,42.1,2.98
1969-07,67.5,75.3,59.7,89.2,48,3.02
1969-08,67.9,77.1,59.3,85.3,42.1,5.16
1969-09,60,69.1,51.3,85.3,35.1,2.65
1969-10,49.2,58.8,39.8,74.3,17.1,1.35
1969-11,38.7,45.5,32.4,56.3,10,4.28
1969-12,24,29.8,18.4,54.3,-4.9,5.44
1970-01,12.8,21.3,4.2,42.3,-13.9,0.61
1970-02,23.5,32.4,14.9,47.3,-6,4.18
1970-03,29.3,36.4,22.5,51.3,8.1,3.06
1970-04,43.4,53,34.2,74.3,17.1,2.98
1970-05,56.9,66.2,47.3,83.3,31.1,3.58
1970-06,63,72,54,83.3,40.1,3.72
1970-07,70,78.9,61.4,87.3,51.1,0.93
1970-08,69,79.5,59.1,89.2,45.3,3.02
1970-09,60,68.2,52,83.3,37,2.05
1970-10,49.8,58.5,41.5,74.3,24.1,1.72
1970-11,40.5,46.7,34.4,60.3,12,2.93
1970-12,22.4,29.7,15.7,54.3,-2.9,3.01
1971-01,15.9,25.4,6.4,42.3,-15,1.87
1971-02,23,29.8,16.4,45.3,-17,3.38
1971-03,29.8,36.9,23,54.3,8.1,2.69
1971-04,40.9,50.2,31.4,69.3,19,1.69
1971-05,53.1,62.3,44,81.3,33.1,3.12
1971-06,64.1,75.5,52.9,87.3,40.1,2.9
1971-07,68.2,78.5,58.2,87.3,46,4.5
1971-08,67,76.5,57.9,83.3,40.1,4.41
1971-09,62.4,70.2,55.2,87.3,35.1,2.81
1971-10,54.9,63.6,46.1,78.3,33.1,2.45
1971-11,36,42.2,30.3,71.2,13.1,3.89
1971-12,29.4,36.4,22.7,53.2,4.1,2.83
1972-01,24.2,31.7,17,53.2,-6,2.11
1972-02,22.2,29.3,15.4,49.3,-8,3.07
1972-03,29.9,36.3,23.5,56.3,1,5.14
1972-04,38.9,47.4,30.4,72.3,21,3.96
1972-05,55.3,64.6,45.9,81.3,31.1,3.61
1972-06,62.2,68.6,55.7,78.3,39,6.66
1972-07,69.2,77.3,61,89.2,49.1,2.72
1972-08,65.6,74,57.6,81.3,44.1,2.38
1972-09,59.8,68.6,51,80.2,39,1.52
1972-10,45.6,53.8,37.3,69.3,21,2.79
1972-11,34.8,39.6,30,54.3,6.1,5.09
1972-12,27.8,33.2,22.7,54.3,3,5.67
1973-01,25.8,33.2,18.8,53.2,-6,4.55
1973-02,22.5,30.3,14.9,51.3,-6,1.83
1973-03,38.7,46.1,31.5,60.3,17.1,3.48
1973-04,46.1,54.5,37.7,81.3,23.2,4.75
1973-05,53.9,62,45.6,74.3,37,5.09
1973-06,66.4,74.7,58.6,87.3,40.1,6.16
1973-07,69.4,77.5,62,87.3,48,1.73
1973-08,70.5,78.8,62.3,90.3,48,2.37
1973-09,59.2,68.2,50.1,89.2,37,2.4
1973-10,50,60.1,40.2,72.3,30,2.48
1973-11,39.1,46.5,31.9,65.3,15.1,2.31
1973-12,31.4,38.9,23.5,58.3,-2.9,8.02
1974-01,23.7,31.8,16.4,56.3,-11.9,3.06
1974-02,21.6,30,13.9,51.3,-2.9,2.35
1974-03,32.3,40.4,24.4,62.2,6.1,4.33
1974-04,46.2,55.3,37.4,80.2,24.1,2.39
1974-05,52.3,60.7,44,81.3,28,3.66
1974-06,63,71.8,54,87.3,42.1,3.06
1974-07,68.2,77.3,59.3,87.3,48,3.1
1974-08,67.6,77,58.4,83.3,48,2.55
1974-09,58.7,66.2,51.7,80.2,31.1,7.63
1974-10,43.6,53.2,34.5,72.3,21,1.68
1974-11,39.4,46.8,32.3,69.3,15.1,2.85
1974-12,28.9,34.9,23.3,53.2,8.1,2.76
1975-01,25.1,32.6,17.7,53.2,-2.9,4.07
1975-02,23.6,31.1,16.5,47.3,-8,2.93
1975-03,30.7,37.3,23.6,51.3,6.1,3.04
1975-04,39.6,48.4,31.5,63.3,22.1,2.43
1975-05,59.4,70.2,48.8,85.3,37,1.98
1975-06,63.6,71.8,55.8,87.3,39,5.15
1975-07,70.9,79.1,62.4,83.3,48,4.33
1975-08,66.7,75.4,58.6,96.3,46,4.69
1975-09,56.6,65.1,48.3,72.3,33.1,6.93
1975-10,51.2,60,42.5,76.3,28,5.25
1975-11,44.1,51.2,37.2,69.3,24.1,5.07
1975-12,26.4,33.3,19.4,56.3,-4.9,3.72
1976-01,16.8,25.6,8.6,51.3,-11.9,3.32
1976-02,28.6,37.3,20.7,60.3,-2.9,3.32
1976-03,34.7,43.3,25.8,65.3,4.1,2.65
