date,airt,airtmax,airtmin,airtmmx,airtmmn,prec
1964-01,-4.3,-0.2,-8.2,10.7,-20.5,141
1964-02,-6,-0.8,-11,4.6,-20.5,38
1964-03,1.1,5.2,-3,17.4,-9.4,61
1964-04,5.8,10.6,0.9,25.7,-12.2,62
1964-05,14,20.7,7.5,31.8,-1.1,36
1964-06,17.6,23.9,11.4,32.4,2.8,56
1964-07,20.6,25.7,15.9,33.5,6.7,71
1964-08,16.3,21.5,11.4,29.6,4.5,43
1964-09,14.2,20,8.6,27.4,-0.5,21
1964-10,8.9,15.1,2.6,25.7,-5.5,32
1964-11,4.5,8.9,0.4,18.5,-8.3,52
1964-12,-3.8,-0.3,-7.2,13.5,-18.3,87
1965-01,-8.1,-4.2,-11.9,7.1,-25.5,32
1965-02,-7.7,-4.8,-10.6,4.6,-25.4,50
1965-03,-0.5,3.2,-4.1,12.6,-11.1,31
1965-04,4.9,9.8,0,18.5,-9.4,51
1965-05,14.2,21.7,7,30.7,0.6,26
1965-06,16.8,23.1,10.8,30.7,3.9,61
1965-07,19.1,25.2,13.1,31.8,6.7,65
1965-08,19.5,24.6,14.3,31.8,0.6,52
1965-09,15.6,20,11.6,27.4,3.9,54
1965-10,8.8,14.6,3.4,25.7,-6.1,63
1965-11,2,6.3,-2.2,15.7,-9.4,51
1965-12,-1.7,1.5,-4.7,12.4,-16.1,44
1966-01,-5.3,-0.8,-9.5,12.4,-20.5,59
1966-02,-4,0.2,-8,8.5,-20.5,71
1966-03,1.2,5.8,-3.5,15.7,-11.1,56
1966-04,5.4,10.8,0,17.4,-4.4,21
1966-05,11.2,17.5,5.2,28.5,-2.2,59
1966-06,17.8,23.6,12,30.7,4.5,41
1966-07,20.5,27.1,14.1,33.5,6.7,73
1966-08,19.2,25,13.4,29.6,7.8,37
1966-09,13.8,19.4,8.2,30.7,-0.5,110
1966-10,8.4,14.4,2.8,23.5,-7.2,81
1966-11,5.2,9.4,1,17.4,-9.4,83
1966-12,-3.6,0.6,-7.7,15.7,-17.2,52
1967-01,-2.7,1.1,-6.3,11.8,-19.4,26
1967-02,-7.4,-2.1,-12.4,11.8,-27.2,84
1967-03,-2.2,2.5,-6.5,16.8,-25.5,61
1967-04,4.9,9.4,0.4,18.5,-6.1,80
1967-05,8.5,14.1,2.9,24.6,-7.2,155
1967-06,19,24.8,13.4,31.8,7.8,83
1967-07,20.9,25.3,16.6,28.5,9.5,109
1967-08,19,23.7,14.5,27.4,7.8,73
1967-09,15,20.6,9.3,25.7,2.8,67
1967-10,9.4,14.4,4.6,24.6,-2.2,90
1967-11,0.7,4.7,-3.5,19.6,-12.2,102
1967-12,-2.2,2,-6.3,10.7,-16.1,111
1968-01,-8,-3.6,-12.3,5.7,-27.2,24
1968-02,-7.1,-2.7,-11.5,6.8,-21.1,11
1968-03,1.4,6.2,-3.3,18.7,-14.4,97
1968-04,8.9,15.2,2.7,26.8,-4.4,40
1968-05,11.8,17.8,6.1,22.4,-1.1,93
1968-06,17.2,21.3,13.3,30.7,7.8,173
1968-07,21.1,26.2,16.1,33.5,8.9,22
1968-08,18,24.2,11.9,31.8,5.6,13
1968-09,16.6,22.4,10.8,26.8,1.7,48
1968-10,10.8,16,5.8,25.7,-2.2,58
1968-11,2.2,5.6,-0.9,17.1,-7.1,118
1968-12,-5.4,-1.4,-9,8.5,-25.5,122
1969-01,-5.4,-1.8,-9,6.8,-19.4,31
1969-02,-4.1,-0.8,-7.3,3.5,-19.4,66
1969-03,-1.3,2.9,-5.2,13.5,-18.3,52
1969-04,7.9,13.4,2.7,26.8,-11.1,110
1969-05,12.3,18.2,6.5,27.4,-1.1,65
1969-06,17.5,22.9,12.5,30.7,5.6,76
1969-07,19.7,24,15.4,31.8,8.9,77
1969-08,19.9,25.1,15.2,29.6,5.6,131
1969-09,15.5,20.6,10.7,29.6,1.7,67
1969-10,9.6,14.9,4.3,23.5,-8.3,34
1969-11,3.7,7.5,0.2,13.5,-12.2,109
1969-12,-4.4,-1.2,-7.5,12.4,-20.5,138
1970-01,-10.7,-5.9,-15.4,5.7,-25.5,15
1970-02,-4.7,0.2,-9.5,8.5,-21.1,106
1970-03,-1.5,2.4,-5.3,10.7,-13.3,78
1970-04,6.3,11.7,1.2,23.5,-8.3,76
1970-05,13.8,19,8.5,28.5,-0.5,91
1970-06,17.2,22.2,12.2,28.5,4.5,94
1970-07,21.1,26.1,16.3,30.7,10.6,24
1970-08,20.6,26.4,15,31.8,7.4,77
1970-09,15.6,20.1,11.1,28.5,2.8,52
1970-10,9.9,14.7,5.3,23.5,-4.4,44
1970-11,4.7,8.2,1.3,15.7,-11.1,74
1970-12,-5.3,-1.3,-9.1,12.4,-19.4,76
1971-01,-9,-3.7,-14.2,5.7,-26.1,47
1971-02,-5,-1.2,-8.7,7.4,-27.2,86
1971-03,-1.2,2.7,-5,12.4,-13.3,68
1971-04,5,10.1,-0.3,20.7,-7.2,43
1971-05,11.7,16.8,6.7,27.4,0.6,79
1971-06,17.9,24.2,11.6,30.7,4.5,74
1971-07,20.1,25.9,14.6,30.7,7.8,114
1971-08,19.4,24.7,14.4,28.5,4.5,112
1971-09,16.9,21.2,12.9,30.7,1.7,71
1971-10,12.7,17.6,7.9,25.7,0.6,62
1971-11,2.2,5.7,-0.9,21.8,-10.5,99
1971-12,-1.5,2.5,-5.1,11.8,-15.5,72
1972-01,-4.3,-0.2,-8.3,11.8,-21.1,54
1972-02,-5.4,-1.5,-9.2,9.6,-22.2,78
1972-03,-1.2,2.4,-4.7,13.5,-17.2,130
1972-04,3.8,8.5,-0.9,22.4,-6.1,101
1972-05,12.9,18.1,7.7,27.4,-0.5,92
1972-06,16.8,20.3,13.2,25.7,3.9,169
1972-07,20.7,25.2,16.1,31.8,9.5,69
1972-08,18.7,23.3,14.2,27.4,6.7,60
1972-09,15.5,20.3,10.6,26.8,3.9,38
1972-10,7.5,12.1,3,20.7,-6.1,71
1972-11,1.6,4.2,-1.1,12.4,-14.4,129
1972-12,-2.4,0.7,-5.2,12.4,-16.1,144
1973-01,-3.4,0.7,-7.3,11.8,-21.1,116
1973-02,-5.3,-0.9,-9.5,10.7,-21.1,46
1973-03,3.7,7.8,-0.3,15.7,-8.3,88
1973-04,7.9,12.5,3.2,27.4,-4.9,121
1973-05,12.2,16.7,7.6,23.5,2.8,129
1973-06,19.1,23.7,14.8,30.7,4.5,156
1973-07,20.8,25.3,16.7,30.7,8.9,44
1973-08,21.4,26,16.8,32.4,8.9,60
1973-09,15.1,20.1,10.1,31.8,2.8,61
1973-10,10,15.6,4.6,22.4,-1.1,63
1973-11,4,8,0,18.5,-9.4,59
1973-12,-0.4,3.8,-4.7,14.6,-19.4,204
1974-01,-4.6,-0.1,-8.7,13.5,-24.4,78
1974-02,-5.8,-1.1,-10,10.7,-19.4,60
1974-03,0.2,4.7,-4.2,16.8,-14.4,110
1974-04,7.9,12.9,3,26.8,-4.4,61
1974-05,11.3,15.9,6.7,27.4,-2.2,93
1974-06,17.2,22.1,12.2,30.7,5.6,78
1974-07,20.1,25.2,15.1,30.7,8.9,79
1974-08,19.8,25,14.7,28.5,8.9,65
1974-09,14.8,19,11,26.8,-0.5,194
1974-10,6.5,11.8,1.4,22.4,-6.1,43
1974-11,4.1,8.2,0.2,20.7,-9.4,72
