"datasetID","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","provenance.lat","force","photo","chill","resp","force_type","photo_type","chill_type","chill.cen","photo.cen","force.cen","force.z","chill.z","photo.z","chill.hrs","chill.ports","chill.hrs.z","chill.ports.z","complex","complex.wname","prov.lat"
"falusi03","Fagus","sylvatica","","yes","15","","12","88.31",60,1710,43.732105,15,12,8.93958333333333,60,"exp","exp","fldest",888.069905561385,-2.68497138888889,-2.35184492348414,-0.472088062866376,1.0911503296405,-0.482157519852227,1710,111.466592216462,0.322173701653119,1.04674907803074,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","15","","12","87.53",60,531,43.732105,15,12,2.95833333333333,60,"exp","exp","fldest",-547.430094438615,-2.68497138888889,-2.35184492348414,-0.472088062866376,-0.672614311397287,-0.482157519852227,531,44.1353256727981,-1.04376244698762,-0.718382607327174,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","15","","12","94.03",60,1336,43.732105,15,12,7.01041666666667,60,"exp","exp","fldest",425.069905561385,-2.68497138888889,-2.35184492348414,-0.472088062866376,0.522273263252137,-0.482157519852227,1336,89.140516279768,-0.111125806058194,0.461456894049482,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","15","","12","87.45",60,118,43.732105,15,12,0.85625,60,"exp","exp","fldest",-1051.93009443861,-2.68497138888889,-2.35184492348414,-0.472088062866376,-1.29248143881182,-0.482157519852227,118,22.0926417078738,-1.52224559320359,-1.29624549175082,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","15","","12","67.01",60,531,43.732105,15,12,2.95833333333333,60,"exp","exp","fldest",-547.430094438615,-2.68497138888889,-2.35184492348414,-0.472088062866376,-0.672614311397287,-0.482157519852227,531,44.1353256727981,-1.04376244698762,-0.718382607327174,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","66.49",60,531,43.732105,25,12,2.95833333333333,60,"exp","exp","fldest",-547.430094438615,-2.68497138888889,7.64815507651586,1.53522142489952,-0.672614311397287,-0.482157519852227,531,44.1353256727981,-1.04376244698762,-0.718382607327174,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","93.08",60,1336,43.732105,25,12,7.01041666666667,60,"exp","exp","fldest",425.069905561385,-2.68497138888889,7.64815507651586,1.53522142489952,0.522273263252137,-0.482157519852227,1336,89.140516279768,-0.111125806058194,0.461456894049482,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","93.22",60,1710,43.732105,25,12,8.93958333333333,60,"exp","exp","fldest",888.069905561385,-2.68497138888889,7.64815507651586,1.53522142489952,1.0911503296405,-0.482157519852227,1710,111.466592216462,0.322173701653119,1.04674907803074,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","80.05",60,14,43.732105,25,12,-0.266666666666667,60,"exp","exp","fldest",-1321.43009443861,-2.68497138888889,7.64815507651586,1.53522142489952,-1.6236096664396,-0.482157519852227,14,0,-1.64273529588267,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","99.46",60,1710,43.732105,25,12,8.93958333333333,60,"exp","exp","fldest",888.069905561385,-2.68497138888889,7.64815507651586,1.53522142489952,1.0911503296405,-0.482157519852227,1710,111.466592216462,0.322173701653119,1.04674907803074,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","85.66",60,531,43.732105,25,12,2.95833333333333,60,"exp","exp","fldest",-547.430094438615,-2.68497138888889,7.64815507651586,1.53522142489952,-0.672614311397287,-0.482157519852227,531,44.1353256727981,-1.04376244698762,-0.718382607327174,9,"Fagus_sylvatica",12
"falusi03","Fagus","sylvatica","","yes","25","","12","86.33",60,1336,43.732105,25,12,7.01041666666667,60,"exp","exp","fldest",425.069905561385,-2.68497138888889,7.64815507651586,1.53522142489952,0.522273263252137,-0.482157519852227,1336,89.140516279768,-0.111125806058194,0.461456894049482,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","apical, lateral buds","yes","24","13","9","89.32",190,0,46.03333,17.125,9,0,190,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","apical, lateral buds","yes","24","13","13","89.79",130,0,46.03333,18.9583333333333,13,0,130,"exp","exp","exp",-1257.43009443861,-1.68497138888889,1.6064884098492,0.322471942707623,-1.54497439160406,-0.30258111101319,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","cotyledons and first node","yes","24","13","9","57.3",108,0,46.03333,17.125,9,0,108,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","first-year shoot","yes","24","13","9","62.7",108,0,46.03333,17.125,9,0,108,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","second-year shoot","yes","24","13","9","41.9",108,0,46.03333,17.125,9,0,108,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","leader apical bud","yes","24","13","9","62.5",94,0,46.03333,17.125,9,0,94,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","mean","yes","24","13","9","56.1",108,0,46.03333,17.125,9,0,108,"exp","exp","exp",-1257.43009443861,-5.68497138888889,-0.226844923484137,-0.0455347967161236,-1.54497439160406,-1.02088674636934,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
"falusi90","Fagus","sylvatica","cotyledons and first node","yes","24","13","13","71.9",94,0,46.03333,18.9583333333333,13,0,94,"exp","exp","exp",-1257.43009443861,-1.68497138888889,1.6064884098492,0.322471942707623,-1.54497439160406,-0.30258111101319,0,0,-1.65895506355101,-1.87541804996401,9,"Fagus_sylvatica",12
