Plant Trait,TRY Data set ID
Plant Height,773
Specific Leaf Area,"125, 3086, "
Leaf Dry Matter Content ,47
Leaf Carbon: Nitrogen Ratio ,146
Leaf Phosphorus Content,58
Stem Wood Density ,"4, 3064"
Whole Plant Woodiness,38
Leaf Life Span,12
Leaf Toughness ,
Number of Flowers ,2947
Seed Mass,132
