Fagus sylvatica
Pseudotsuga menziesii
Betula pendula
Prunus padus
Populus tremula
Alnus incana
Betula pubescens
Alnus glutinosa
Ribes nigrum
Quercus faginea
Quercus ilex
Acer pseudoplatanus
Aesculus hippocastanum
Syringa vulgaris
Corylus avellana
Fraxinus excelsior
Picea abies
Larix decidua
Prunus avium
Quercus petraea
Tilia cordata
Sorbus aucuparia
Abies alba
Actinidia deliciosa
Vitis vinifera
Salix smithiana
Quercus rubra
Acer saccharum
Betula alleghaniensis
Malus domestica
Ulmus pumila
Ulmus parvifolia
Ulmus villosa
Ulmus minor
Carpinus betulus
Cornus alba
Cornus mas
Robinia pseudoacacia
Quercus robur
Symphoricarpos albus
Quercus pubescens
Betula lenta
Aronia melanocarpa
Acer pensylvanicum
Acer rubrum
Betula papyrifera
Corylus cornuta
Fagus grandifolia
Fraxinus nigra
Hamamelis virginiana
Ilex mucronatus
Kalmia angustifolia
Lonicera canadensis
Lyonia ligustrina
Nyssa sylvatica
Populus grandidentata
Prunus pensylvanica
Quercus alba
Quercus velutina
Rhamnus frangula
Rhododendron prinophyllum
Spiraea alba
Vaccinium myrtilloides
Viburnum cassinoides
Viburnum lantanoides
