subset,cue,lambda,Lower95CI,Upper95CI,H2,Lower95CI,Upper95CI
52-complex,forcing,0.171446841,NA,0.650638627,0.330834872,0.008358609,0.751811447
,chilling,1.00E-06,NA,0.396954468,0.194753034,0.000682814,0.610910681
,photo,0.655354248,0.186405507,0.897899618,0.662218791,0.208150902,0.920502832
