"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",31.1559063698009,19.2005482181375,-7.48397178171608,69.8644624749327,1.00175226489179,2602,2212
"within_species",-6.51472492369268,0.331680776189868,-7.16610765042757,-5.88664529821583,0.999838869769186,7981,2229
"withinsp.chillmeans",-4.03040264090871,0.288743665831349,-4.58010711598945,-3.45683663034002,1.00017401739096,6487,2102
"withinsp.photomeans",-1.68867709410408,0.320063802846993,-2.31627771073863,-1.07517006909905,0.999526875038487,7275,1834
"sd(Intercept)",31.8438090106305,5.93974825620651,22.6370102145166,45.6618680604841,1.00345831401768,719,824
"sd(Intercept)",12.4615918920811,2.19157715797955,8.18598823960943,16.7225338479142,1.00345362094446,723,834
"sigma",15.2197323831078,0.182924618453731,14.8695900492312,15.5684137061443,1.00115660384689,7256,1993
