"","Estimate","Est.Error","Q2.5","Q97.5"
"mod.sps.intercept",0.422125311173306,0.0117876912366643,0.399075950814462,0.444881310971811
"mod.sps.phylo.intercept",0.422400770936879,0.0117536254434199,0.398315553987463,0.444799049215937
"mod.sps.interc.slope",0.529925849023458,0.00985401187689208,0.509859504498572,0.548675480441382
"mod.sps.phylo.interc.slope",0.530180099440499,0.0101331668995453,0.510559786567592,0.550247138458526
