"","lambda","Lower95CI","Upper95CI","H2","Lower95CI","Upper95CI"
"forcing",0.171446841089839,NA,0.650638626919355,0.330834872236869,0.00835860864096827,0.751811447211608
"chilling",1e-06,NA,0.396954467500755,0.194753033888836,0.00068281424852347,0.610910681296279
"photo",0.655354248032828,0.186405507286616,0.89789961848822,0.662218791456067,0.208150901802499,0.920502832085206
