"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model_NOphylo.FULL.b",0,0,-10944.8897540289,75.6273874229398,106.242170897566,5.98704644123705,21889.7795080579,151.25477484588
"model_phylo.FULL.c",-0.0899693991962938,0.366213004984147,-10944.9797234281,75.5721457979343,106.509707200943,6.01055489740554,21889.9594468563,151.144291595869
"model_phylo.int.only",-217.806410426213,24.0867737648218,-11162.6961644551,74.6621975196281,44.7760723019755,3.15233794743615,22325.3923289103,149.324395039256
"model_NOphylo.FULL",-218.150119983891,24.0413617498434,-11163.0398740128,74.7190028332145,45.0483877936074,3.18422153964016,22326.0797480256,149.438005666429
