"","Estimate","Est.Error","Q2.5","Q97.5"
"mod.sps.intercept",0.369452121280492,0.0120447266380642,0.345630395654284,0.392201170474865
"mod.sps.phylo.intercept",0.370140584626806,0.0120366950411475,0.345181960687864,0.393012239799039
"mod.sps.interc.slope",0.478041281269567,0.0107849291151615,0.455703775532506,0.498247240554039
"mod.sps.interc.slope.phy.int",0.477932263724309,0.0111248328893186,0.455467802559674,0.499286514899235
